gene	score	wave62_call	strong_l2g_disease_count	strong_l2g_diseases	strong_qtl_coloc_disease_count	strong_qtl_coloc_diseases	ms_max_l2g_score	ms_max_qtl_h4	broad_positive_disease_count	broad_positive_fdr10_compartment_count	broad_positive_diseases	chembl_target_id	druggable_activity_count	manual_blocker	prior_context_blocker	wave103_call	genetics_gate	cellstate_gate	reachable_gate	unblocked_gate	promote	blockers
ELP6	-0.5	NO_GO_WAVE62_TARGET_RESOLUTION	0		1	UC	0.0	0.0	1	0	psoriasis		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
CWF19L1	-0.5	NO_GO_WAVE62_TARGET_RESOLUTION	0		1	Psoriasis	0.0	0.0	1	0	type 1 diabetes mellitus		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
DSE	-0.5	NO_GO_WAVE62_TARGET_RESOLUTION	0		1	Celiac	0.0	0.0	1	0	Crohn disease		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
LAMB1	-0.5	NO_GO_WAVE62_TARGET_RESOLUTION	0		1	UC	0.0	0.0	1	0	psoriasis		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
IRS2	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	Sjogren	0		0.0	0.0	0	0			0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
AARS2	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	0		0		0.0	0.0	2	0	psoriasis;type 1 diabetes mellitus		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
RAVER1	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	0		0		0.0	0.0	2	0	Crohn disease;type 1 diabetes mellitus		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
SHISA2	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	Sjogren	0		0.0	0.0	0	0			0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
IL9	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	Sjogren	0		0.0	0.0	0	0			0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
TSC22D1	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	Psoriasis	0		0.0	0.0	0	0			0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
FRG2C	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	AS	0		0.0	0.0	0	0			0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
FAT4	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	AITD	0		0.0	0.0	0	0			0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
PPP2R3A	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	T1D	0		0.0	0.0	0	0			0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
TRIML1	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	Sjogren	0		0.0	0.0	0	0			0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
TFCP2L1	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	Celiac	0		0.0	0.0	0	0			0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
BMP5	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	RA	0		0.0	0.0	0	0			0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
RAPGEF4	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	AS	0		0.0	0.0	0	0			0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
KCNA1	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	SLE	0		0.0	0.0	0	0			0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
G3BP2	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	T1D	0		0.0	0.0	0	0			0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
C1QTNF8	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	Sjogren	0		0.0	0.0	0	0			0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
MAPRE2	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	0		0		0.0	0.0	2	0	Crohn disease;ulcerative colitis		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
CPXCR1	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	RA	0		0.0	0.0	0	0			0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
PLSCR2	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	0		0		0.0	0.0	2	0	Crohn disease;type 1 diabetes mellitus		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
SHISAL1	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	SLE	0		0.0	0.0	0	0			0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
FRY	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	AS	0		0.0	0.0	0	0			0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
MRPL33	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	0		0		0.0	0.0	2	0	Crohn disease;type 1 diabetes mellitus		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
ARFIP1	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	Sjogren	0		0.0	0.0	0	0			0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
KIF14	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	0		0		0.0	0.0	2	0	Crohn disease;psoriasis		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
MARCHF5	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	T1D	0		0.0	0.0	0	0			0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
ADGRF1	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	0		0		0.0	0.0	1	1	ulcerative colitis		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
ZNF704	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	Celiac	0		0.0	0.0	0	0			0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
TMEM45A	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	0		0		0.0	0.0	2	0	Sjogren syndrome;type 1 diabetes mellitus		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
NFKBIZ	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	0		0		0.0	0.0	2	0	Crohn disease;ulcerative colitis		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
PARN	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	0		0		0.0	0.0	2	0	Crohn disease;psoriasis		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
ZNF729	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	Celiac	0		0.0	0.0	0	0			0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
EDA	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	RA	0		0.0	0.0	0	0			0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
PRL	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	Celiac	0		0.0	0.0	0	0			0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
NCOA7	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	0		0		0.0	0.0	2	0	psoriasis;ulcerative colitis		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
RUBCNL	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	0		0		0.0	0.0	2	0	Crohn disease;ulcerative colitis		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
ESPNL	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	Psoriasis	0		0.0	0.0	0	0			0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
MRPL22	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	0		0		0.0	0.0	2	0	psoriasis;ulcerative colitis		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
INPP1	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	0		0		0.0	0.0	2	0	Crohn disease;ulcerative colitis		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
GPATCH11	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	SLE	0		0.0	0.0	0	0			0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
MMP16	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	Psoriasis	0		0.0	0.0	0	0			0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
TMEM217B	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	AS	0		0.0	0.0	0	0			0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
MAST4	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	Celiac	0		0.0	0.0	0	0			0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
UCHL3	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	0		0		0.0	0.0	2	0	psoriasis;ulcerative colitis		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
ATP23	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	Sjogren	0		0.2738099694252014	0.0	0	0			0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
CFAP90	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	UC	0		0.0	0.0	0	0			0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
POMC	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	0		0		0.0	0.0	2	0	Crohn disease;psoriasis		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
TM9SF2	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	0		0		0.0	0.0	2	0	Crohn disease;ulcerative colitis		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
EIF4E3	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	0		0		0.0	0.0	2	0	Crohn disease;ulcerative colitis		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
WDR37	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	SLE	0		0.0	0.0	0	0			0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
RGS4	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	SLE	0		0.0	0.0	0	0			0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
CAMKMT	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	0		0		0.0	0.0	2	0	Crohn disease;type 1 diabetes mellitus		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
ANXA11	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	AS	0		0.0	0.0	0	0			0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
LHFPL3	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	AITD	0		0.0	0.0	0	0			0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
COX7B2	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	Sjogren	0		0.0	0.0	0	0			0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
CCSER1	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	RA	0		0.0	0.0	0	0			0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
AGBL1	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	Celiac	0		0.0	0.0	0	0			0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
TMEM217	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	AS	0		0.0	0.0	0	0			0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
PTP4A1	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	0		0		0.0	0.0	2	0	Crohn disease;type 1 diabetes mellitus		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
RPLP1	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	RA	0		0.0	0.0	0	0			0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
SDF2L1	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	0		0		0.0	0.0	2	0	Crohn disease;psoriasis		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
NOVA1	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	AS	0		0.0	0.0	0	0			0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
KCNH1	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	T1D	0		0.0	0.0	0	0			0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
FGF16	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	RA	0		0.0	0.0	0	0			0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
AVEN	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	0		0		0.0	0.0	2	0	psoriasis;ulcerative colitis		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
CLASP1	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	0		0		0.0	0.0	2	0	Crohn disease;psoriasis		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
ORC5	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	0		0		0.0	0.0	2	0	psoriasis;type 1 diabetes mellitus		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
CDC42SE2	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	0		0		0.0	0.0	2	0	Crohn disease;type 1 diabetes mellitus		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
DMRT2	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	AS	0		0.0	0.0	0	0			0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
TOR3A	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	0		0		0.0	0.0	2	0	Crohn disease;Sjogren syndrome		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
PCDH20	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	Celiac	0		0.0	0.0	0	0			0	nan	nan	NO_GO_NO_MS_ANCHOR	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
PPEF2	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	AS	0		0.0	0.0	0	0			0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
ADGRA1	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	AITD	0		0.0	0.0	0	0			0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
PDE7A	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	0		0		0.0	0.0	2	0	Crohn disease;ulcerative colitis		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
MSX2	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	SLE	0		0.0	0.0	0	0			0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
TRMT11	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	0		0		0.0	0.0	2	0	psoriasis;ulcerative colitis		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
KLF2	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	0		0		0.050334732979536	0.0	2	0	Crohn disease;ulcerative colitis		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
SEMA5B	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	Celiac	0		0.0	0.0	0	0			0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
FARSB	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	0		0		0.0	0.0	2	0	psoriasis;type 1 diabetes mellitus		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
CDH12	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	AITD	0		0.0	0.0	0	0			0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
THUMPD2	-1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	SLE	0		0.0	0.0	0	0			0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
