analysis	gene	group	n_cells	mean_log_norm	detection_fraction
ibd_crohn_epithelial	HIF1A	case	4701	0.22567508529481545	0.18698149329929803
ibd_crohn_epithelial	HIF1A	control	6713	0.09251414057955659	0.08952778191568599
ibd_crohn_epithelial	HK2	case	4701	0.4959384385660032	0.3133375877472878
ibd_crohn_epithelial	HK2	control	6713	0.16374095112722875	0.1468791896320572
ibd_crohn_epithelial	HLA-DPA1	case	4701	0.1828691697807104	0.13656668793873644
ibd_crohn_epithelial	HLA-DPA1	control	6713	0.0578531439255658	0.03917771488157307
ibd_crohn_epithelial	HLA-DPB1	case	4701	0.14979430795495607	0.11848542863220592
ibd_crohn_epithelial	HLA-DPB1	control	6713	0.04034921539279621	0.028750186205869208
ibd_crohn_epithelial	HLA-DRA	case	4701	0.5422673981237891	0.32163369495851946
ibd_crohn_epithelial	HLA-DRA	control	6713	0.15764249539285485	0.08967674661105318
ibd_crohn_epithelial	HLA-DRB1	case	4701	0.3490851364248826	0.24399064028930015
ibd_crohn_epithelial	HLA-DRB1	control	6713	0.12110343527602045	0.07716371220020855
ibd_crohn_epithelial	IFI30	case	4701	0.043034297153451674	0.03446075303126994
ibd_crohn_epithelial	IFI30	control	6713	0.044625432074996536	0.03351705645761954
ibd_crohn_epithelial	IL1B	case	4701	0.028948112760285673	0.023611997447351627
ibd_crohn_epithelial	IL1B	control	6713	0.0048189468743763345	0.004766870251750335
ibd_crohn_epithelial	IRF1	case	4701	0.6364145627695318	0.39119336311423103
ibd_crohn_epithelial	IRF1	control	6713	0.3711424086705577	0.265604051839714
ibd_crohn_epithelial	LAMP1	case	4701	0.21219316090227375	0.1914486279514997
ibd_crohn_epithelial	LAMP1	control	6713	0.23917129115897334	0.21510502011023389
ibd_crohn_epithelial	LAMP2	case	4701	0.09397865998131233	0.10082961072112316
ibd_crohn_epithelial	LAMP2	control	6713	0.09192312952827406	0.10278563980336661
ibd_crohn_epithelial	LAMP3	case	4701	0.003930804918133606	0.0025526483726866626
ibd_crohn_epithelial	LAMP3	control	6713	0.001635841412594464	0.0010427528675703858
ibd_crohn_epithelial	LDHA	case	4701	0.4709575863010886	0.31737928100404167
ibd_crohn_epithelial	LDHA	control	6713	0.5074532577456359	0.33502159988082825
ibd_crohn_epithelial	LIPA	case	4701	0.013603631715638448	0.01871942139970219
ibd_crohn_epithelial	LIPA	control	6713	0.006455433472882063	0.009235811112766274
ibd_crohn_epithelial	LPL	case	4701	0.00980013581253883	0.010423314188470539
ibd_crohn_epithelial	LPL	control	6713	0.00023073644316441144	0.00014896469536719798
ibd_crohn_epithelial	MERTK	case	4701	0.0057295639559619355	0.006807062327164433
ibd_crohn_epithelial	MERTK	control	6713	0.005337055533265844	0.004915834947117533
ibd_crohn_epithelial	MSR1	case	4701	0.0	0.0
ibd_crohn_epithelial	MSR1	control	6713	0.0001411888011808438	0.00014896469536719798
ibd_crohn_epithelial	NAMPT	case	4701	0.3506580653346242	0.2631355030844501
ibd_crohn_epithelial	NAMPT	control	6713	0.19184755126878322	0.17473558766572322
ibd_crohn_epithelial	NFKBIA	case	4701	0.6113902945345828	0.3616251861306105
ibd_crohn_epithelial	NFKBIA	control	6713	0.5484522845986884	0.34902428124534485
ibd_crohn_epithelial	NLRC5	case	4701	0.5489953703940491	0.3503509891512444
ibd_crohn_epithelial	NLRC5	control	6713	0.3237250463917564	0.21733949054074184
