dataset	gene	sgRNA	gate	low_vs_high_log2
GSE162463	Mgrn1	Mgrn1_sg2	MHCII	-2.650249719336614
GSE162463	Mgrn1	Mgrn1_sg2	CD40	-0.20261766443285326
GSE162463	Mgrn1	Mgrn1_sg2	PDL1	3.2119835852941185
GSE162463	Pmvk	Pmvk_sg1	MHCII	1.00216013395998
GSE162463	Pmvk	Pmvk_sg1	CD40	1.6548790463542802
GSE162463	Pmvk	Pmvk_sg1	PDL1	0.11870680142736159
GSE162463	Thop1	Thop1_sg4	MHCII	-2.1541936675634146
GSE162463	Thop1	Thop1_sg4	CD40	-0.9099085483618873
GSE162463	Thop1	Thop1_sg4	PDL1	0.7125321993073699
GSE162463	St3gal6	St3gal6_sg4	MHCII	0.4609555622373187
GSE162463	St3gal6	St3gal6_sg4	CD40	-0.2355295998036536
GSE162463	St3gal6	St3gal6_sg4	PDL1	1.3491396430723237
GSE162463	Cox6a2	Cox6a2_sg4	MHCII	-1.7085084513276234
GSE162463	Cox6a2	Cox6a2_sg4	CD40	-2.1687206537787924
GSE162463	Cox6a2	Cox6a2_sg4	PDL1	-0.2259686550134732
GSE162463	Ipo9	Ipo9_sg4	MHCII	3.372747004095112
GSE162463	Ipo9	Ipo9_sg4	CD40	-1.5435952223034153
GSE162463	Ipo9	Ipo9_sg4	PDL1	1.54775696810899
GSE162463	Phkg2	Phkg2_sg2	MHCII	-2.7434072779717784
GSE162463	Phkg2	Phkg2_sg2	CD40	-2.360792964471672
GSE162463	Phkg2	Phkg2_sg2	PDL1	1.5558517000009944
GSE162463	Tcf7l2	Tcf7l2_sg3	MHCII	0.7862051102327688
GSE162463	Tcf7l2	Tcf7l2_sg3	CD40	-0.14205251695492666
GSE162463	Tcf7l2	Tcf7l2_sg3	PDL1	0.21202200696971665
GSE162463	Tnf	Tnf_sg3	MHCII	-0.7141468546016391
GSE162463	Tnf	Tnf_sg3	CD40	0.1416722687006215
GSE162463	Tnf	Tnf_sg3	PDL1	0.5225614651906471
GSE162463	Plxnb2	Plxnb2_sg3	MHCII	1.143129303878273
GSE162463	Plxnb2	Plxnb2_sg3	CD40	2.115198616306727
GSE162463	Plxnb2	Plxnb2_sg3	PDL1	0.36855629564688513
GSE162463	Bod1	Bod1_sg4	MHCII	6.526837899735396
GSE162463	Bod1	Bod1_sg4	CD40	-1.4363502168757203
GSE162463	Bod1	Bod1_sg4	PDL1	0.23650899781032525
GSE162463	Igf1r	Igf1r_sg4	MHCII	3.317020543669309
GSE162463	Igf1r	Igf1r_sg4	CD40	-1.845534935903398
GSE162463	Igf1r	Igf1r_sg4	PDL1	-1.418335389402524
GSE162463	Lrrc28	Lrrc28_sg2	MHCII	0.3993201300382179
GSE162463	Lrrc28	Lrrc28_sg2	CD40	-0.35932023772170696
GSE162463	Lrrc28	Lrrc28_sg2	PDL1	-0.19951973518777089
GSE162463	Wdr27	Wdr27_sg2	MHCII	2.1734127302497956
GSE162463	Wdr27	Wdr27_sg2	CD40	0.5596600968328778
GSE162463	Wdr27	Wdr27_sg2	PDL1	1.041649074350241
GSE162463	Rbfa	Rbfa_sg1	MHCII	0.17453124260758587
GSE162463	Rbfa	Rbfa_sg1	CD40	-0.3022513833548959
GSE162463	Rbfa	Rbfa_sg1	PDL1	-1.338446053120332
GSE162463	Ufd1	Ufd1_sg3	MHCII	-2.7989837864633675
GSE162463	Ufd1	Ufd1_sg3	CD40	-0.16987835779795157
GSE162463	Ufd1	Ufd1_sg3	PDL1	-0.926634239971437
GSE162463	Chm	Chm_sg2	MHCII	-0.818127220428986
GSE162463	Chm	Chm_sg2	CD40	2.331543210826485
GSE162463	Chm	Chm_sg2	PDL1	0.4319230646928191
GSE162463	Hdac1	Hdac1_sg2	MHCII	-0.501329901068577
GSE162463	Hdac1	Hdac1_sg2	CD40	-0.00022029628231931675
GSE162463	Hdac1	Hdac1_sg2	PDL1	1.0711079939337207
GSE162463	Lmf1	Lmf1_sg4	MHCII	0.07504527754633575
GSE162463	Lmf1	Lmf1_sg4	CD40	0.24552651418572322
GSE162463	Lmf1	Lmf1_sg4	PDL1	-1.731946322540557
GSE162463	Ttll5	Ttll5_sg3	MHCII	0.2475994844960986
GSE162463	Ttll5	Ttll5_sg3	CD40	1.170872988065211
GSE162463	Ttll5	Ttll5_sg3	PDL1	0.7736432067199126
GSE162463	Tsr2	Tsr2_sg1	MHCII	-5.546878151478139
GSE162463	Tsr2	Tsr2_sg1	CD40	-0.8979815276359788
GSE162463	Tsr2	Tsr2_sg1	PDL1	0.3858715758477816
GSE162463	Bbs9	Bbs9_sg3	MHCII	1.0220344323769106
GSE162463	Bbs9	Bbs9_sg3	CD40	2.217639761887458
GSE162463	Bbs9	Bbs9_sg3	PDL1	-0.913793901683662
GSE162463	Nsun2	Nsun2_sg2	MHCII	1.6430787498162505
GSE162463	Nsun2	Nsun2_sg2	CD40	-0.052729079422994936
GSE162463	Nsun2	Nsun2_sg2	PDL1	1.4096805615156351
GSE162463	Arhgap17	Arhgap17_sg3	MHCII	1.5681842935291002
GSE162463	Arhgap17	Arhgap17_sg3	CD40	0.34969144876472
GSE162463	Arhgap17	Arhgap17_sg3	PDL1	-0.6753297970982716
GSE162463	Uqcr11	Uqcr11_sg2	MHCII	-1.239042995873213
GSE162463	Uqcr11	Uqcr11_sg2	CD40	-0.18097254749905875
GSE162463	Uqcr11	Uqcr11_sg2	PDL1	1.192390169826634
GSE162463	Ablim3	Ablim3_sg2	MHCII	-0.7800401621073222
GSE162463	Ablim3	Ablim3_sg2	CD40	0.5938957706535539
GSE162463	Ablim3	Ablim3_sg2	PDL1	-0.34636456529724047
GSE162463	Akirin1	Akirin1_sg2	MHCII	1.8713612191068971
GSE162463	Akirin1	Akirin1_sg2	CD40	-1.5536202163461235
GSE162463	Akirin1	Akirin1_sg2	PDL1	0.4072489355742276
GSE162463	Zfp90	Zfp90_sg4	MHCII	1.0554844352931099
GSE162463	Zfp90	Zfp90_sg4	CD40	-2.1823636271697815
GSE162463	Zfp90	Zfp90_sg4	PDL1	0.2344625230271733
GSE162463	Reps2	Reps2_sg3	MHCII	1.8332512465945683
GSE162463	Reps2	Reps2_sg3	CD40	-1.1771210619667898
GSE162463	Reps2	Reps2_sg3	PDL1	0.3710292454791458
GSE162463	Tmem132a	Tmem132a_sg2	MHCII	2.429638008111089
GSE162463	Tmem132a	Tmem132a_sg2	CD40	2.09466674527688
GSE162463	Tmem132a	Tmem132a_sg2	PDL1	1.247988517434195
GSE162463	Apc	Apc_sg3	MHCII	-1.1383866625272547
GSE162463	Apc	Apc_sg3	CD40	0.4342772692418878
GSE162463	Apc	Apc_sg3	PDL1	0.13293466899397116
GSE162463	Mbl1	Mbl1_sg4	MHCII	1.4104695106950986
GSE162463	Mbl1	Mbl1_sg4	CD40	0.5935138403048145
GSE162463	Mbl1	Mbl1_sg4	PDL1	0.3969800384305812
GSE162463	Phf1	Phf1_sg3	MHCII	-0.9088193930895689
GSE162463	Phf1	Phf1_sg3	CD40	0.5749983784463629
GSE162463	Phf1	Phf1_sg3	PDL1	-0.46003467391142144
GSE162463	Ankrd10	Ankrd10_sg2	MHCII	0.7943209343287192
GSE162463	Ankrd10	Ankrd10_sg2	CD40	1.285146894887335
GSE162463	Ankrd10	Ankrd10_sg2	PDL1	-2.137669834471715
GSE162463	Ddx43	Ddx43_sg1	MHCII	1.3305478832093487
GSE162463	Ddx43	Ddx43_sg1	CD40	-0.3382453792210336
GSE162463	Ddx43	Ddx43_sg1	PDL1	-0.15140963363513554
GSE162463	Cdnf	Cdnf_sg1	MHCII	-0.9026093557401027
GSE162463	Cdnf	Cdnf_sg1	CD40	0.5676387628794799
GSE162463	Cdnf	Cdnf_sg1	PDL1	-1.3871470796316818
GSE162463	Apoa2	Apoa2_sg4	MHCII	-0.11310212267249764
GSE162463	Apoa2	Apoa2_sg4	CD40	-0.29775531677451744
GSE162463	Apoa2	Apoa2_sg4	PDL1	-1.1944058222378444
GSE162463	Vps11	Vps11_sg1	MHCII	1.56154912197856
GSE162463	Vps11	Vps11_sg1	CD40	-0.3326593757087071
GSE162463	Vps11	Vps11_sg1	PDL1	-0.4504700047997645
GSE162463	Igsf11	Igsf11_sg2	MHCII	0.2692849966804527
GSE162463	Igsf11	Igsf11_sg2	CD40	0.6264996652212167
GSE162463	Igsf11	Igsf11_sg2	PDL1	0.9799695330898194
GSE162463	Plpp5	Plpp5_sg1	MHCII	-1.3605308485436165
GSE162463	Plpp5	Plpp5_sg1	CD40	-0.45652509326247936
GSE162463	Plpp5	Plpp5_sg1	PDL1	1.753113835930006
GSE162463	Dhrs7b	Dhrs7b_sg1	MHCII	-0.45147404734639335
GSE162463	Dhrs7b	Dhrs7b_sg1	CD40	-0.5060297768681603
GSE162463	Dhrs7b	Dhrs7b_sg1	PDL1	0.0
GSE162463	Clock	Clock_sg4	MHCII	-1.3865767894749117
GSE162463	Clock	Clock_sg4	CD40	-0.4496660140988413
GSE162463	Clock	Clock_sg4	PDL1	-0.0537885129262075
GSE162463	Zfp7	Zfp7_sg4	MHCII	1.2047395553481188
GSE162463	Zfp7	Zfp7_sg4	CD40	0.4576044532435782
GSE162463	Zfp7	Zfp7_sg4	PDL1	-1.621587682131578
GSE162463	Bpnt2	Bpnt2_sg3	MHCII	-1.3151874112876538
GSE162463	Bpnt2	Bpnt2_sg3	CD40	1.1785503262550678
GSE162463	Bpnt2	Bpnt2_sg3	PDL1	-0.21813411087744497
GSE162463	Ms4a6b	Ms4a6b_sg1	MHCII	1.6546405224391
GSE162463	Ms4a6b	Ms4a6b_sg1	CD40	0.935801538384455
GSE162463	Ms4a6b	Ms4a6b_sg1	PDL1	0.6993439797846371
GSE162463	Poglut3	Poglut3_sg1	MHCII	-0.6364827887879388
GSE162463	Poglut3	Poglut3_sg1	CD40	0.32208529834028093
GSE162463	Poglut3	Poglut3_sg1	PDL1	0.8928063865964434
GSE162463	Paqr3	Paqr3_sg3	MHCII	0.30808669169777053
GSE162463	Paqr3	Paqr3_sg3	CD40	-2.6545219497661385
GSE162463	Paqr3	Paqr3_sg3	PDL1	-0.19850588319823922
GSE162463	Ecm1	Ecm1_sg3	MHCII	-0.651569265845413
GSE162463	Ecm1	Ecm1_sg3	CD40	0.8374971069954453
GSE162463	Ecm1	Ecm1_sg3	PDL1	-0.9769302319281813
GSE162463	Smyd2	Smyd2_sg4	MHCII	-0.44678773153462675
GSE162463	Smyd2	Smyd2_sg4	CD40	0.10765685432700992
GSE162463	Smyd2	Smyd2_sg4	PDL1	0.6780711450604365
GSE162463	Fbxo46	Fbxo46_sg2	MHCII	-0.6758605083054129
GSE162463	Fbxo46	Fbxo46_sg2	CD40	1.8347595732089035
GSE162463	Fbxo46	Fbxo46_sg2	PDL1	1.2432192274919731
GSE162463	Grina	Grina_sg2	MHCII	-0.17244789939617142
GSE162463	Grina	Grina_sg2	CD40	-1.9950889558096698
GSE162463	Grina	Grina_sg2	PDL1	-0.16640105094457425
GSE162463	Plekhf1	Plekhf1_sg1	MHCII	0.6627495840661444
GSE162463	Plekhf1	Plekhf1_sg1	CD40	-0.8286977409847945
GSE162463	Plekhf1	Plekhf1_sg1	PDL1	-0.1277324330706148
GSE162463	Cfap126	Cfap126_sg3	MHCII	-0.3776762043364591
GSE162463	Cfap126	Cfap126_sg3	CD40	1.609873752507892
GSE162463	Cfap126	Cfap126_sg3	PDL1	-1.1742169737395
GSE162463	Mgll	Mgll_sg2	MHCII	-1.0360479696287157
GSE162463	Mgll	Mgll_sg2	CD40	-0.7332024624008099
GSE162463	Mgll	Mgll_sg2	PDL1	-1.0626124666845438
GSE162463	Ice1	Ice1_sg3	MHCII	3.4272086728347793
GSE162463	Ice1	Ice1_sg3	CD40	-0.3335138519341523
GSE162463	Ice1	Ice1_sg3	PDL1	-1.1850993618939305
GSE162463	Prkcd	Prkcd_sg4	MHCII	1.0713169729488154
GSE162463	Prkcd	Prkcd_sg4	CD40	-3.4967282772735366
GSE162463	Prkcd	Prkcd_sg4	PDL1	-0.22294641898326323
GSE162463	D630045J12Rik	D630045J12Rik_sg3	MHCII	-0.9421273334974757
GSE162463	D630045J12Rik	D630045J12Rik_sg3	CD40	0.35070261786393686
GSE162463	D630045J12Rik	D630045J12Rik_sg3	PDL1	-0.3307728608635822
GSE162463	Gtf2a1	Gtf2a1_sg4	MHCII	-0.7390831226777153
GSE162463	Gtf2a1	Gtf2a1_sg4	CD40	-0.7699489726018353
GSE162463	Gtf2a1	Gtf2a1_sg4	PDL1	2.256496000379439
GSE162463	Btbd2	Btbd2_sg4	MHCII	-1.721312320608785
GSE162463	Btbd2	Btbd2_sg4	CD40	-0.5206303994196053
GSE162463	Btbd2	Btbd2_sg4	PDL1	0.19330909451183312
GSE162463	Myom1	Myom1_sg3	MHCII	-0.6483371461982377
GSE162463	Myom1	Myom1_sg3	CD40	-0.6396079713461391
GSE162463	Myom1	Myom1_sg3	PDL1	0.2160730218098946
GSE162463	Siah2	Siah2_sg2	MHCII	-0.0425583754632
GSE162463	Siah2	Siah2_sg2	CD40	0.7897400997555621
GSE162463	Siah2	Siah2_sg2	PDL1	-0.556077358516644
GSE162463	Aox3	Aox3_sg1	MHCII	-0.1685117880394133
GSE162463	Aox3	Aox3_sg1	CD40	-1.2399812706233282
GSE162463	Aox3	Aox3_sg1	PDL1	-2.5088300213161534
GSE162463	Camkk2	Camkk2_sg2	MHCII	0.027585442752282637
GSE162463	Camkk2	Camkk2_sg2	CD40	-0.7430691559361722
GSE162463	Camkk2	Camkk2_sg2	PDL1	-1.2447004282415985
GSE162463	Mroh2a	Mroh2a_sg3	MHCII	1.8187370050730787
GSE162463	Mroh2a	Mroh2a_sg3	CD40	0.48289281367758
GSE162463	Mroh2a	Mroh2a_sg3	PDL1	-0.5608049599913751
GSE162463	Zmat3	Zmat3_sg2	MHCII	-0.2193652002393539
GSE162463	Zmat3	Zmat3_sg2	CD40	0.5246130594244285
GSE162463	Zmat3	Zmat3_sg2	PDL1	0.5154640827170844
GSE162463	Cyp2s1	Cyp2s1_sg3	MHCII	-0.7616070726125294
GSE162463	Cyp2s1	Cyp2s1_sg3	CD40	0.6950067836174578
GSE162463	Cyp2s1	Cyp2s1_sg3	PDL1	-1.5164759198943982
GSE162463	Bclaf3	Bclaf3_sg4	MHCII	-0.23115395894362847
GSE162463	Bclaf3	Bclaf3_sg4	CD40	-0.17803333809355584
GSE162463	Bclaf3	Bclaf3_sg4	PDL1	1.9261418630468192
GSE162463	Glt8d1	Glt8d1_sg3	MHCII	-0.7760148271491225
GSE162463	Glt8d1	Glt8d1_sg3	CD40	-1.0156428900569499
GSE162463	Glt8d1	Glt8d1_sg3	PDL1	-0.7263834310214209
GSE162463	Zfp455	Zfp455_sg3	MHCII	-0.6566245551164963
GSE162463	Zfp455	Zfp455_sg3	CD40	0.8791548445281132
GSE162463	Zfp455	Zfp455_sg3	PDL1	0.2991311597731543
GSE162463	Gcc2	Gcc2_sg2	MHCII	-0.5781026820114458
GSE162463	Gcc2	Gcc2_sg2	CD40	-1.5508717562295495
GSE162463	Gcc2	Gcc2_sg2	PDL1	0.8339775446016773
GSE162463	Gng3	Gng3_sg4	MHCII	-1.1659245700223049
GSE162463	Gng3	Gng3_sg4	CD40	-0.4073635200926028
GSE162463	Gng3	Gng3_sg4	PDL1	-0.5210896357422826
GSE162463	Rrad	Rrad_sg2	MHCII	-0.1661261342663865
GSE162463	Rrad	Rrad_sg2	CD40	-0.19818850536852553
GSE162463	Rrad	Rrad_sg2	PDL1	-1.728680546788306
GSE162463	Stx4a	Stx4a_sg4	MHCII	0.45793266085276435
GSE162463	Stx4a	Stx4a_sg4	CD40	-2.434462084580503
GSE162463	Stx4a	Stx4a_sg4	PDL1	1.0120865444969105
GSE162463	Enah	Enah_sg1	MHCII	-0.7712570912507933
GSE162463	Enah	Enah_sg1	CD40	-0.2620517895770159
GSE162463	Enah	Enah_sg1	PDL1	-1.244652478372015
GSE162463	Ube2k	Ube2k_sg3	MHCII	4.012960706239276
GSE162463	Ube2k	Ube2k_sg3	CD40	-0.18785099397128396
GSE162463	Ube2k	Ube2k_sg3	PDL1	-0.8929444691607116
GSE162463	Pcdhb17	Pcdhb17_sg2	MHCII	1.6973550667885118
GSE162463	Pcdhb17	Pcdhb17_sg2	CD40	0.5368818219031878
GSE162463	Pcdhb17	Pcdhb17_sg2	PDL1	-3.7049809557283346
GSE162463	Zfp995	Zfp995_sg3	MHCII	2.1530565093129526
GSE162463	Zfp995	Zfp995_sg3	CD40	-0.9997961315622463
GSE162463	Zfp995	Zfp995_sg3	PDL1	-0.033598656313104214
GSE162463	Npff	Npff_sg3	MHCII	-1.427838098886965
GSE162463	Npff	Npff_sg3	CD40	-0.9708704283250148
GSE162463	Npff	Npff_sg3	PDL1	-1.3256189761520945
GSE162463	Gpr34	Gpr34_sg1	MHCII	-0.2318029236642097
GSE162463	Gpr34	Gpr34_sg1	CD40	0.66607517234664
GSE162463	Gpr34	Gpr34_sg1	PDL1	0.19639281070078993
GSE162463	Vmn2r10	Vmn2r10_sg4	MHCII	-0.3485476218971489
GSE162463	Vmn2r10	Vmn2r10_sg4	CD40	-1.4987257295359486
GSE162463	Vmn2r10	Vmn2r10_sg4	PDL1	0.3979461532434718
GSE162463	Urb1	Urb1_sg1	MHCII	-0.47052686324021364
GSE162463	Urb1	Urb1_sg1	CD40	-1.3713286314274946
GSE162463	Urb1	Urb1_sg1	PDL1	-0.44164809608277683
GSE162463	Abcb10	Abcb10_sg3	MHCII	-0.7431333219592661
GSE162463	Abcb10	Abcb10_sg3	CD40	1.1875684922034975
GSE162463	Abcb10	Abcb10_sg3	PDL1	-1.6777912669810269
GSE162463	Ubl3	Ubl3_sg4	MHCII	1.4382604523696092
GSE162463	Ubl3	Ubl3_sg4	CD40	-1.1975641027435773
GSE162463	Ubl3	Ubl3_sg4	PDL1	0.823161665961817
GSE162463	Ccdc59	Ccdc59_sg4	MHCII	5.609304389376132
GSE162463	Ccdc59	Ccdc59_sg4	CD40	-2.9199376313048155
GSE162463	Ccdc59	Ccdc59_sg4	PDL1	-0.24606188889226682
GSE162463	Nudt12	Nudt12_sg4	MHCII	1.6202578023824747
GSE162463	Nudt12	Nudt12_sg4	CD40	-0.7250172837646077
GSE162463	Nudt12	Nudt12_sg4	PDL1	0.6777004134816367
GSE162463	Jpt1	Jpt1_sg4	MHCII	0.5050854860379325
GSE162463	Jpt1	Jpt1_sg4	CD40	-1.970573747338712
GSE162463	Jpt1	Jpt1_sg4	PDL1	-0.2679091689005754
GSE162463	Mdk	Mdk_sg4	MHCII	-0.4365510240807684
GSE162463	Mdk	Mdk_sg4	CD40	0.6794834668905828
GSE162463	Mdk	Mdk_sg4	PDL1	2.317675958405467
GSE162463	A430005L14Rik	A430005L14Rik_sg4	MHCII	0.45800913581026
GSE162463	A430005L14Rik	A430005L14Rik_sg4	CD40	0.13713803869236194
GSE162463	A430005L14Rik	A430005L14Rik_sg4	PDL1	1.3121030121980026
GSE162463	Zfp971	Zfp971_sg3	MHCII	0.7818370338819475
GSE162463	Zfp971	Zfp971_sg3	CD40	-0.25866640536673857
GSE162463	Zfp971	Zfp971_sg3	PDL1	4.590885458353103
GSE162463	Gpr132	Gpr132_sg4	MHCII	-2.1039313963423374
GSE162463	Gpr132	Gpr132_sg4	CD40	1.0217694189472393
GSE162463	Gpr132	Gpr132_sg4	PDL1	0.2036905833043585
GSE162463	Slc2a6	Slc2a6_sg4	MHCII	1.5594672803846334
GSE162463	Slc2a6	Slc2a6_sg4	CD40	-0.8218081395791327
GSE162463	Slc2a6	Slc2a6_sg4	PDL1	1.764954547531608
GSE162463	Control	BRDN0000737440	MHCII	-1.759530045100538
GSE162463	Control	BRDN0000737440	CD40	-1.9814766854829322
GSE162463	Control	BRDN0000737440	PDL1	-0.5095101183803299
GSE162463	Bhmt2	Bhmt2_sg4	MHCII	-0.4646031626288627
GSE162463	Bhmt2	Bhmt2_sg4	CD40	0.8029020607988273
GSE162463	Bhmt2	Bhmt2_sg4	PDL1	-0.5022339664635868
GSE162463	Rab10	Rab10_sg4	MHCII	3.891918117791782
GSE162463	Rab10	Rab10_sg4	CD40	1.0953540602443144
GSE162463	Rab10	Rab10_sg4	PDL1	0.8666846293054754
GSE162463	Fcrl1	Fcrl1_sg3	MHCII	-2.34976314665668
GSE162463	Fcrl1	Fcrl1_sg3	CD40	-0.2669205403032859
GSE162463	Fcrl1	Fcrl1_sg3	PDL1	-1.277746323753678
GSE162463	Aak1	Aak1_sg2	MHCII	-0.16651566814431043
GSE162463	Aak1	Aak1_sg2	CD40	-1.6429715661739968
GSE162463	Aak1	Aak1_sg2	PDL1	1.431224566810949
GSE162463	Flot2	Flot2_sg4	MHCII	-1.2626828528433558
GSE162463	Flot2	Flot2_sg4	CD40	0.29790424215781003
GSE162463	Flot2	Flot2_sg4	PDL1	-0.8078292322521028
GSE162463	Zfp267	Zfp267_sg3	MHCII	0.11179333754914988
GSE162463	Zfp267	Zfp267_sg3	CD40	1.68273430790978
GSE162463	Zfp267	Zfp267_sg3	PDL1	5.345411770425862
GSE162463	Rhbdd1	Rhbdd1_sg4	MHCII	-0.6255768774855298
GSE162463	Rhbdd1	Rhbdd1_sg4	CD40	-0.9890093327064353
GSE162463	Rhbdd1	Rhbdd1_sg4	PDL1	-0.9462688496147597
GSE162463	Flot1	Flot1_sg1	MHCII	0.5765990248967404
GSE162463	Flot1	Flot1_sg1	CD40	0.29231719537394474
GSE162463	Flot1	Flot1_sg1	PDL1	-1.6051206209735487
GSE162463	Dok3	Dok3_sg1	MHCII	-1.0707361943623364
GSE162463	Dok3	Dok3_sg1	CD40	-1.5131679075625504
GSE162463	Dok3	Dok3_sg1	PDL1	-1.7664273539896083
GSE162463	Ube2k	Ube2k_sg2	MHCII	1.5126020165157108
GSE162463	Ube2k	Ube2k_sg2	CD40	-0.2200569911174518
GSE162463	Ube2k	Ube2k_sg2	PDL1	-1.493638463165455
GSE162463	Ddx28	Ddx28_sg3	MHCII	-0.8472008343521243
GSE162463	Ddx28	Ddx28_sg3	CD40	0.5971141486969106
GSE162463	Ddx28	Ddx28_sg3	PDL1	-0.432307269056612
GSE162463	Tagap	Tagap_sg1	MHCII	-0.6924837861507354
GSE162463	Tagap	Tagap_sg1	CD40	0.8563080393265066
GSE162463	Tagap	Tagap_sg1	PDL1	-0.4741587313852809
GSE162463	Tmem63b	Tmem63b_sg1	MHCII	0.6048005195146792
GSE162463	Tmem63b	Tmem63b_sg1	CD40	0.9347192014528025
GSE162463	Tmem63b	Tmem63b_sg1	PDL1	-1.1293281053395752
GSE162463	Esrra	Esrra_sg2	MHCII	3.751526658719125
GSE162463	Esrra	Esrra_sg2	CD40	0.9120240089820477
GSE162463	Esrra	Esrra_sg2	PDL1	0.05952831977009847
GSE162463	Mapkapk3	Mapkapk3_sg1	MHCII	0.7185588443886224
GSE162463	Mapkapk3	Mapkapk3_sg1	CD40	0.10351372901303664
GSE162463	Mapkapk3	Mapkapk3_sg1	PDL1	-1.3877379674332115
GSE162463	Cpn1	Cpn1_sg3	MHCII	4.656624204145311
GSE162463	Cpn1	Cpn1_sg3	CD40	-2.3306713792700755
GSE162463	Cpn1	Cpn1_sg3	PDL1	1.5692767953633306
GSE162463	Gfod1	Gfod1_sg3	MHCII	1.4995540099732585
GSE162463	Gfod1	Gfod1_sg3	CD40	0.46884144873568334
GSE162463	Gfod1	Gfod1_sg3	PDL1	-1.0768333825217495
GSE162463	Hmg20b	Hmg20b_sg1	MHCII	-0.5542090933844329
GSE162463	Hmg20b	Hmg20b_sg1	CD40	-2.160374401957768
GSE162463	Hmg20b	Hmg20b_sg1	PDL1	-0.3002691887571897
GSE162463	Immt	Immt_sg4	MHCII	-1.018828967870835
GSE162463	Immt	Immt_sg4	CD40	-1.3410154624116855
GSE162463	Immt	Immt_sg4	PDL1	-5.4027605037210416
GSE162463	Tctn1	Tctn1_sg2	MHCII	-2.7023448577593183
GSE162463	Tctn1	Tctn1_sg2	CD40	0.3955916990809987
GSE162463	Tctn1	Tctn1_sg2	PDL1	-1.8467292101478223
GSE162463	Atp6v1a	Atp6v1a_sg1	MHCII	-3.082921879012246
GSE162463	Atp6v1a	Atp6v1a_sg1	CD40	-2.1812888456367046
GSE162463	Atp6v1a	Atp6v1a_sg1	PDL1	-5.142924760667653
GSE162463	Fzd8	Fzd8_sg2	MHCII	-0.7055990808012398
GSE162463	Fzd8	Fzd8_sg2	CD40	-0.5255202636849167
GSE162463	Fzd8	Fzd8_sg2	PDL1	2.735651089961577
GSE162463	Hr	Hr_sg4	MHCII	1.5217963536854162
GSE162463	Hr	Hr_sg4	CD40	-0.1885624141130353
GSE162463	Hr	Hr_sg4	PDL1	0.9389342653476048
GSE162463	Control	BRDN0000738358	MHCII	2.5910236037430443
GSE162463	Control	BRDN0000738358	CD40	0.31211794042523033
GSE162463	Control	BRDN0000738358	PDL1	1.4649300149678286
GSE162463	Glrp1	Glrp1_sg1	MHCII	-0.3941349781266916
GSE162463	Glrp1	Glrp1_sg1	CD40	-2.054570394261281
GSE162463	Glrp1	Glrp1_sg1	PDL1	-1.7795092102832717
GSE162463	Ncoa4	Ncoa4_sg3	MHCII	2.456300830284438
GSE162463	Ncoa4	Ncoa4_sg3	CD40	-0.38136719274589237
GSE162463	Ncoa4	Ncoa4_sg3	PDL1	-0.29914016754353145
GSE162463	Dhx36	Dhx36_sg1	MHCII	1.5103550369360863
GSE162463	Dhx36	Dhx36_sg1	CD40	0.12412131474124109
GSE162463	Dhx36	Dhx36_sg1	PDL1	-3.8221751750949458
GSE162463	Pex11b	Pex11b_sg4	MHCII	1.6395859838914792
GSE162463	Pex11b	Pex11b_sg4	CD40	0.30799959937735955
GSE162463	Pex11b	Pex11b_sg4	PDL1	-1.3533162788223918
GSE162463	Fam104a	Fam104a_sg1	MHCII	-0.2702566873138849
GSE162463	Fam104a	Fam104a_sg1	CD40	1.3004665508339586
GSE162463	Fam104a	Fam104a_sg1	PDL1	-0.17681202996519096
GSE162463	Cpeb4	Cpeb4_sg3	MHCII	1.1799372612483425
GSE162463	Cpeb4	Cpeb4_sg3	CD40	1.763650878946558
GSE162463	Cpeb4	Cpeb4_sg3	PDL1	-1.1327337412628193
GSE162463	Parp6	Parp6_sg4	MHCII	1.1998565691383518
GSE162463	Parp6	Parp6_sg4	CD40	0.6324765231203627
GSE162463	Parp6	Parp6_sg4	PDL1	0.9495156418762124
GSE162463	Fam193a	Fam193a_sg3	MHCII	4.494745951659189
GSE162463	Fam193a	Fam193a_sg3	CD40	0.8207305958806599
GSE162463	Fam193a	Fam193a_sg3	PDL1	0.9998568269679661
GSE162463	Erbb2	Erbb2_sg2	MHCII	-2.2682022486009226
GSE162463	Erbb2	Erbb2_sg2	CD40	-1.078318724659683
GSE162463	Erbb2	Erbb2_sg2	PDL1	0.7286118071115805
GSE162463	Spag9	Spag9_sg3	MHCII	0.7581660794063512
GSE162463	Spag9	Spag9_sg3	CD40	-4.607506841612522
GSE162463	Spag9	Spag9_sg3	PDL1	-0.4048296747630594
GSE162463	Mtmr7	Mtmr7_sg3	MHCII	-0.5507697850996877
GSE162463	Mtmr7	Mtmr7_sg3	CD40	0.3962172381621731
GSE162463	Mtmr7	Mtmr7_sg3	PDL1	-0.253822660649484
GSE162463	Gzf1	Gzf1_sg2	MHCII	0.0843914680344389
GSE162463	Gzf1	Gzf1_sg2	CD40	0.5809233322093781
GSE162463	Gzf1	Gzf1_sg2	PDL1	1.7118389480564358
GSE162463	Nrp2	Nrp2_sg1	MHCII	-0.2001736137881429
GSE162463	Nrp2	Nrp2_sg1	CD40	1.036238992722866
GSE162463	Nrp2	Nrp2_sg1	PDL1	-0.8832321530114366
