analysis	dataset_path	disease_name	compartment	role	gene	n_case_donors	n_control_donors	mean_case_log2_cpm	mean_control_log2_cpm	delta_log2_cpm	hedges_g	welch_t	p	mean_case_detection_fraction	mean_control_detection_fraction	detected_donor_fraction	mean_log2_cpm	in_lipid_lysosomal_myeloid_neighborhood	fdr	positive_nominal	negative_nominal	positive_fdr10	negative_fdr10	contrast_call
psoriasis_skin_apc	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin APC	myeloid_apc	PIK3CD	3	3	4.907455314596579	4.588752413335832	0.3187029012607469	0.606066296359991	0.9278457352377424	0.4315099747585451	0.1715765107212475	0.1295684007707129	1.0	4.748103863966205	False	0.7946979106817369	False	False	False	False	null_or_weak
t1d_beta_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	PIK3CD	3	19	1.4227571300029134	2.0853450289136526	-0.6625878989107392	-0.513301804353471	-0.8601230587663163	0.4598373537494015	0.0071375041663747	0.0220473857207709	0.8636363636363636	1.994992133607643	False	0.8754921040642978	False	False	False	False	null_or_weak
t1d_ductal_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	PIK3CD	5	19	2.990806663708577	3.2467710442175304	-0.2559643805089533	-0.2681920920339958	-0.7233957578372867	0.485780073271305	0.0398835745114794	0.0456136415987982	0.9583333333333334	3.1934451316114987	False	0.7563044982003885	False	False	False	False	null_or_weak
t1d_stellate_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	PIK3CD	4	17	3.3004810648733636	3.0274775958099736	0.27300346906339	0.1797603943614242	0.6159429073097209	0.5457587688638518	0.0472798189249972	0.0669253497785804	0.9047619047619048	3.0794782565839527	False	0.8455491597231131	False	False	False	False	null_or_weak
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	PIK3CD	6	6	4.242570565540807	4.028748717382137	0.2138218481586697	0.3362724404661466	0.6309776980785919	0.5462099268669635	0.0740852098913332	0.0584938828102258	1.0	4.135659641461472	False	0.8227803069168912	False	False	False	False	null_or_weak
psoriasis_skin_stromal	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin stromal	tissue_resident	PIK3CD	3	3	2.900609572831012	2.77367499733176	0.1269345754992521	0.359042678231362	0.5496695984682015	0.6162666969540902	0.0653432464188654	0.0481851090239842	1.0	2.837142285081386	False	0.8708943351615034	False	False	False	False	null_or_weak
ibd_crohn_stromal	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon stromal	tissue_resident	PIK3CD	6	6	0.4220879770039853	0.617909654971434	-0.1958216779674487	-0.2535945013085779	-0.4758417741854282	0.6444182305649061	0.0054870741311419	0.0036319273981925	0.4166666666666667	0.5199988159877097	False	0.8862681475303832	False	False	False	False	null_or_weak
ibd_uc_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon epithelial	tissue_resident	PIK3CD	6	6	0.3212980476055901	0.4746147528007143	-0.1533167051951242	-0.2058242394044228	-0.3862062100841538	0.7081970476752694	0.0010964912280701	0.0011771969916566	0.4166666666666667	0.3979564002031523	False	0.8841260202300137	False	False	False	False	null_or_weak
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	tissue_resident	PIK3CD	6	6	0.5921648735002764	0.4746147528007143	0.117550120699562	0.2036987938106778	0.3822180486806401	0.7104725748656993	0.0021241305103662	0.0011771969916566	0.6666666666666666	0.5333898131504954	False	0.8604178383328485	False	False	False	False	null_or_weak
ibd_uc_stromal	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon stromal	tissue_resident	PIK3CD	6	6	0.4662667363954443	0.617909654971434	-0.1516429185759897	-0.196101836126038	-0.3679632055968308	0.7205758183549513	0.0046536796536796	0.0036319273981925	0.4166666666666667	0.5420881956834391	False	0.909743953324748	False	False	False	False	null_or_weak
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	PIK3CD	6	6	4.187397162942718	4.028748717382137	0.1586484455605807	0.1857240730172436	0.3484904915423727	0.7385946307220227	0.0805315931281469	0.0584938828102258	1.0	4.108072940162427	False	0.9254785486042396	False	False	False	False	null_or_weak
sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland APC	myeloid_apc	PIK3CD	9	13	5.296337945081735	5.2643063870028035	0.0320315580789314	0.0215905665604797	0.0580939823121549	0.9542958259845464	0.0720662505694352	0.1045280024465617	0.9545454545454546	5.277410206216912	False	0.9990053045348096	False	False	False	False	null_or_weak
t1d_endothelial_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	PIK3CG	5	17	2.4747562033231936	1.0351111423572932	1.4396450609659004	0.9688242645926404	2.4922074602490394	0.0315112702177117	0.019361177564623	0.011213676469173	0.5	1.362303201667725	False	0.3721174056229033	True	False	False	False	positive_nominal
psoriasis_skin_stromal	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin stromal	tissue_resident	PIK3CG	3	3	3.3709876982137614	2.837351993448445	0.5336357047653166	1.4915639289936804	2.283481590484623	0.0853162088725573	0.0875840577894467	0.0501865643095475	1.0	3.104169845831103	False	0.6070709429979066	False	False	False	False	null_or_weak
sjogren_gland_stromal	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	PIK3CG	10	14	1.0209278455089306	1.7112964976123135	-0.6903686521033832	-0.6061557601644476	-1.5866576682498037	0.1269622378122233	0.0021090732890479	0.0089941068182645	0.7083333333333334	1.4236428925692373	False	0.8473759520074123	False	False	False	False	null_or_weak
sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland APC	myeloid_apc	PIK3CG	9	13	4.638269056095435	5.696632704330407	-1.0583636482349714	-0.7942079881043922	-1.6366182879055649	0.1347773338880344	0.051572502694735	0.1092155456158833	0.9545454545454546	5.2636657573251915	False	0.941417255008202	False	False	False	False	null_or_weak
psoriasis_keratinocyte	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin keratinocyte	tissue_resident	PIK3CG	3	3	2.861131000025066	3.3931769973306536	-0.5320459973055875	-1.2821778361542655	-1.9629259113023776	0.169922197037528	0.0816664487423667	0.1053571019401395	1.0	3.12715399867786	False	0.5317935425804118	False	False	False	False	null_or_weak
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	PIK3CG	6	6	3.4841348896689923	3.880685599682298	-0.3965507100133059	-0.6581646163955197	-1.23497243495288	0.2608525463188065	0.043487630383345	0.0460690099484597	1.0	3.6824102446756446	False	0.6482352751336488	False	False	False	False	null_or_weak
ibd_uc_stromal	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon stromal	tissue_resident	PIK3CG	6	6	1.6318266967097723	0.9299893830891464	0.7018373136206261	0.5301167579531727	0.9947049219451368	0.3434448535027182	0.018405485119669	0.0100171058310759	0.6666666666666666	1.2809080398994597	False	0.716021931951948	False	False	False	False	null_or_weak
psoriasis_skin_apc	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin APC	myeloid_apc	PIK3CG	3	3	5.9191507969973545	5.51189688339105	0.4072539136063042	0.6122613140043931	0.9373298803479444	0.4089455326133706	0.2497076023391812	0.2018034682080924	1.0	5.715523840194202	False	0.7910449002964376	False	False	False	False	null_or_weak
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	PIK3CG	6	6	3.672444946416816	3.880685599682298	-0.2082406532654825	-0.3979014787294344	-0.7466177090300147	0.480362657056702	0.0451524253129605	0.0460690099484597	1.0	3.776565273049557	False	0.785307326087508	False	False	False	False	null_or_weak
ibd_uc_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon epithelial	tissue_resident	PIK3CG	6	6	2.6215481163590826	2.9743519731738357	-0.3528038568147531	-0.2212778167332401	-0.4152031229340437	0.6872165863144681	0.0157849941328294	0.0181472807367867	0.9166666666666666	2.7979500447664587	False	0.8747592904231501	False	False	False	False	null_or_weak
sjogren_gland_epithelial	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland epithelial	tissue_resident	PIK3CG	11	14	0.3571896206964484	0.2646462554039948	0.0925433652924536	0.1495333609226113	0.4057156841169758	0.6888717077715754	0.0005480480779153	0.0002323116830236	0.36	0.3053653361326744	False	0.8997590880933517	False	False	False	False	null_or_weak
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	tissue_resident	PIK3CG	6	6	2.6818292231592005	2.9743519731738357	-0.2925227500146352	-0.1828833526247049	-0.3431601968215675	0.7389678876429818	0.0155428965830638	0.0181472807367867	0.9166666666666666	2.8280905981665185	False	0.8750380349801785	False	False	False	False	null_or_weak
ibd_crohn_stromal	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon stromal	tissue_resident	PIK3CG	6	6	1.0817972676077232	0.9299893830891464	0.1518078845185767	0.128675474270636	0.241445164051827	0.8146589693741781	0.0104276440995735	0.0100171058310759	0.5833333333333334	1.0058933253484348	False	0.9433018129768638	False	False	False	False	null_or_weak
ibd_uc_stromal	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon stromal	tissue_resident	PROS1	6	6	5.65751104213696	6.823185972886841	-1.1656749307498808	-2.230246085995055	-4.184807828852151	0.0020709154523873	0.2432109688603709	0.3801260867259652	1.0	6.240348507511901	False	0.1120556113067343	False	True	False	False	negative_nominal
t1d_ductal_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	PROS1	5	19	4.106196257961434	3.1164281338405404	0.9897681241208938	0.7738495691093791	2.045434599993737	0.0689645672108985	0.0994090733679007	0.0519301781297608	0.9583333333333334	3.322629826365727	False	0.4862193275563672	False	False	False	False	null_or_weak
ibd_crohn_stromal	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon stromal	tissue_resident	PROS1	6	6	5.729179993815308	6.823185972886841	-1.0940059790715333	-1.0344249842306568	-1.9409830150816432	0.0952972859365336	0.2594773747780481	0.3801260867259652	1.0	6.276182983351075	False	0.6499878667922907	False	False	False	False	null_or_weak
psoriasis_skin_stromal	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin stromal	tissue_resident	PROS1	3	3	6.356019610709655	6.789481917945408	-0.4334623072357528	-1.0929005335232262	-1.6731554042171284	0.1737161448678273	0.4097468838631957	0.4235065992556645	1.0	6.572750764327531	False	0.6698662473830426	False	False	False	False	null_or_weak
sjogren_gland_stromal	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	PROS1	10	14	7.155900833189767	7.353725240209257	-0.1978244070194899	-0.558449077145414	-1.351824592812324	0.1940348569533302	0.2062283417075441	0.2521710034947626	1.0	7.271298403951136	False	0.8669837867647283	False	False	False	False	null_or_weak
t1d_acinar_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	PROS1	5	18	1.8944443628899752	1.0604514609263629	0.8339929019636125	0.7982998326077788	1.4716911239188055	0.1945427568415898	0.0167193759548335	0.0066696753327452	0.6521739130434783	1.241754265701061	False	0.6316516585368881	False	False	False	False	null_or_weak
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	PROS1	6	6	1.6007214624933912	2.83847434756447	-1.2377528850710782	-0.7313906554863052	-1.372372923440334	0.1999431479899309	0.0133049622019489	0.0324150378418177	0.75	2.2195979050289307	False	0.585922991712167	False	False	False	False	null_or_weak
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	PROS1	6	6	1.7286553508935454	2.83847434756447	-1.109818996670924	-0.7180408941007446	-1.3473235863692292	0.2087863478933122	0.0156755589799909	0.0324150378418177	0.8333333333333334	2.2835648492290077	False	0.591166531231145	False	False	False	False	null_or_weak
t1d_stellate_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	PROS1	4	17	5.416365338601423	4.917022514911585	0.4993428236898385	0.3507236061040776	1.146102818973184	0.2689885295051565	0.2100172027469799	0.1642026134653247	0.9523809523809524	5.012135433709649	False	0.7094198961220353	False	False	False	False	null_or_weak
psoriasis_keratinocyte	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin keratinocyte	tissue_resident	PROS1	3	3	5.045299440603251	5.30312096473974	-0.2578215241364896	-0.6975805235644468	-1.0679477107727695	0.3482551385626215	0.2385634640196478	0.2720619881625832	1.0	5.174210202671495	False	0.6566626528723928	False	False	False	False	null_or_weak
t1d_endothelial_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	PROS1	5	17	5.500356702140179	5.080772496707203	0.4195842054329759	0.285934322862502	0.8858529707172631	0.3881962661436144	0.1296788341497119	0.1174519885329689	0.9545454545454546	5.176132543396514	False	0.728920943527139	False	False	False	False	null_or_weak
ibd_uc_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon epithelial	tissue_resident	PROS1	6	6	1.4178315234446677	2.0111543326629526	-0.5933228092182852	-0.4398641888358705	-0.8253560504516151	0.4342349198425212	0.0115585809134196	0.0112509757016428	0.75	1.71449292805381	False	0.7357370275212912	False	False	False	False	null_or_weak
sjogren_gland_epithelial	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland epithelial	tissue_resident	PROS1	11	14	1.7742927297302344	1.4076968078115353	0.3665959219186991	0.3128111419804492	0.7673109873364697	0.4534416878878233	0.0074550182185429	0.0051622277571735	0.92	1.5689990134557628	False	0.8464170128534277	False	False	False	False	null_or_weak
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	tissue_resident	PROS1	6	6	1.7047230680626595	2.0111543326629526	-0.3064312646002929	-0.2276821413966998	-0.4272201232814289	0.6810091484249008	0.0145304105695503	0.0112509757016428	0.8333333333333334	1.8579387003628056	False	0.8428847150255496	False	False	False	False	null_or_weak
sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland APC	myeloid_apc	PROS1	9	13	3.9903566667805626	3.804937764703188	0.1854189020773748	0.1005694006424527	0.2435796924505746	0.8103148943188528	0.0273527621571297	0.0412841602592743	0.8636363636363636	3.88079095191666	False	0.9950515392526736	False	False	False	False	null_or_weak
t1d_beta_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	PROS1	3	19	2.4681708797634725	2.588422800673687	-0.1202519209102144	-0.0935519511602413	-0.1731851280363849	0.8738986747533087	0.0271581978489987	0.0380726861464855	0.9090909090909092	2.5720248114586575	False	0.9637189045406912	False	False	False	False	null_or_weak
psoriasis_skin_apc	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin APC	myeloid_apc	PROS1	3	3	3.9103694876315913	4.005153746145429	-0.0947842585138376	-0.1013176264834865	-0.1551103042715235	0.8854763685485509	0.0805799220272904	0.0965279383429672	1.0	3.95776161688851	False	0.9713132008574942	False	False	False	False	null_or_weak
t1d_endothelial_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	PTPN11	5	17	6.207145891031083	7.16953827811273	-0.9623923870816472	-1.4852556447396268	-4.686497080356604	0.0001947254760583	0.1980542460444019	0.2967264757590426	1.0	6.950812735594173	False	0.0595042109739035	False	True	False	True	negative_fdr10
ibd_crohn_stromal	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon stromal	tissue_resident	PTPN11	6	6	5.708269703588954	4.841927447469883	0.8663422561190712	2.655158728321333	4.982108971246895	0.000572036817088	0.2272661637823002	0.1240036146565423	1.0	5.275098575529418	False	0.3104980123663473	True	False	False	False	positive_nominal
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	tissue_resident	PTPN11	6	6	5.152209156523113	4.274199486311656	0.8780096702114566	2.570980554999269	4.824158025407894	0.0008930655515402	0.1001863425909997	0.0506622542390748	1.0	4.713204321417384	False	0.0854840383152886	True	False	True	False	positive_fdr10
psoriasis_skin_stromal	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin stromal	tissue_resident	PTPN11	3	3	6.2391796642214965	5.6205230973498965	0.6186565668716	3.763176584425093	5.761164027394437	0.0047105832994951	0.411627616176121	0.2746153841561007	1.0	5.9298513807856965	False	0.5085244711753214	True	False	False	False	positive_nominal
ibd_uc_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon epithelial	tissue_resident	PTPN11	6	6	5.201355352417484	4.274199486311656	0.927155866105828	1.9573022656931105	3.6726592174459904	0.0050842019814282	0.0864708993635139	0.0506622542390748	1.0	4.737777419364571	False	0.1508812692583913	True	False	False	False	positive_nominal
t1d_acinar_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	PTPN11	5	18	5.765273546805065	6.43426336252319	-0.6689898157181249	-1.544090001307361	-3.723713954082116	0.0053985877478092	0.1908072943017699	0.3047977356139997	1.0	6.288830793888815	False	0.3366771415084268	False	True	False	False	negative_nominal
ibd_uc_stromal	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon stromal	tissue_resident	PTPN11	6	6	5.388166797065456	4.841927447469883	0.5462393495955737	1.7214617633031772	3.230130840438896	0.0093644587862635	0.1961511847708093	0.1240036146565423	1.0	5.1150471222676686	False	0.208365335917094	True	False	False	False	positive_nominal
t1d_beta_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	PTPN11	3	19	6.254423688902675	6.678243814991024	-0.4238201260883487	-0.8631797336339739	-2.633237588710572	0.0334043410950615	0.2629280279253848	0.3985822006960935	1.0	6.620450161433523	False	0.4447375492304511	False	True	False	False	negative_nominal
t1d_ductal_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	PTPN11	5	19	6.511054110986505	7.146725212690477	-0.6356711017039718	-1.4100416558322295	-2.6647540673423484	0.0392405065614395	0.3782471387198063	0.4607358379659149	1.0	7.014293733168817	False	0.452814792820822	False	True	False	False	negative_nominal
psoriasis_keratinocyte	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin keratinocyte	tissue_resident	PTPN11	3	3	5.795770039133167	5.2413058578077525	0.5544641813254145	1.4654214795070193	2.243459301816621	0.0887631977232821	0.4137341232520327	0.2855952897657659	1.0	5.51853794847046	False	0.4440837886573233	False	False	False	False	null_or_weak
psoriasis_skin_apc	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin APC	myeloid_apc	PTPN11	3	3	5.662267187096103	4.985748446598325	0.6765187404977784	1.2444569513959054	1.905177836112184	0.1677787783886502	0.2387305068226121	0.1865433526011561	1.0	5.324007816847214	False	0.7297013371935511	False	False	False	False	null_or_weak
sjogren_gland_epithelial	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland epithelial	tissue_resident	PTPN11	11	14	5.506943577923521	6.084389669060426	-0.5774460911369053	-0.4254828665319595	-0.98196462474995	0.3465711476960791	0.1217681536090763	0.1885074828306656	0.96	5.830313388960189	False	0.8441184433525579	False	False	False	False	null_or_weak
sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland APC	myeloid_apc	PTPN11	9	13	5.233004751278258	5.8814281133090045	-0.6484233620307469	-0.4456689830212975	-0.917369758904756	0.3820317316993236	0.0795818830850677	0.130471466617616	0.9545454545454546	5.6161640106600625	False	0.9621803366179228	False	False	False	False	null_or_weak
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	PTPN11	6	6	4.723433866282124	4.848742561923884	-0.1253086956417597	-0.3466116952437679	-0.6503781555481012	0.5382365081411243	0.0915894104251883	0.0855330388178284	1.0	4.786088214103004	False	0.8179900711502427	False	False	False	False	null_or_weak
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	PTPN11	6	6	5.007535520893534	4.848742561923884	0.1587929589696504	0.3152814525334319	0.5915904523446878	0.5673723458612528	0.1076375230213633	0.0855330388178284	1.0	4.92813904140871	False	0.8394660073848051	False	False	False	False	null_or_weak
sjogren_gland_stromal	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	PTPN11	10	14	6.1499193348982875	6.03351159678152	0.1164077381167674	0.1604914554079771	0.4366509342806249	0.6667346366377653	0.1182659343206952	0.1293377600352578	1.0	6.082014820996839	False	0.9550107811941176	False	False	False	False	null_or_weak
t1d_stellate_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	PTPN11	4	17	6.4175592142709625	6.234055612315507	0.1835036019554552	0.1116132650666759	0.414914879019465	0.6829141472715899	0.3841111911512335	0.3475712510528586	0.9523809523809524	6.269008679354643	False	0.9023938128835596	False	False	False	False	null_or_weak
t1d_acinar_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	PTPN6	5	18	4.82263324045117	4.044392905777796	0.7782403346733737	1.1252004717898405	2.2600191640034537	0.0628979131471043	0.0977436533046775	0.0690838446713672	1.0	4.213575587228529	False	0.570651637425242	False	False	False	False	null_or_weak
psoriasis_keratinocyte	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin keratinocyte	tissue_resident	PTPN6	3	3	5.170823487361246	4.381352815056334	0.7894706723049119	1.828333800852311	2.799053057232198	0.0680546905244679	0.3023707713277436	0.1778259684682566	1.0	4.77608815120879	False	0.4220403181670811	False	False	False	False	null_or_weak
ibd_crohn_stromal	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon stromal	tissue_resident	PTPN6	6	6	0.7630001267366922	1.6560847324046015	-0.8930846056679094	-0.9529923098823696	-1.788183691600245	0.1107255490329365	0.0071707785545723	0.0135846849715084	0.75	1.2095424295706467	False	0.6567574006504245	False	False	False	False	null_or_weak
t1d_ductal_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	PTPN6	5	19	4.401895494807792	3.619285752736468	0.7826097420713238	0.6850433385957576	1.593159996929162	0.1522509949728688	0.1200757072593812	0.0730614541288575	0.9583333333333334	3.782329449001327	False	0.552991048272196	False	False	False	False	null_or_weak
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	PTPN6	6	6	7.247398788645028	6.994668103944551	0.2527306847004773	0.7670887082141763	1.4393563345842753	0.188812936387382	0.3020517543902783	0.2852960779781168	1.0	7.121033446294789	False	0.5718136268537979	False	False	False	False	null_or_weak
sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland APC	myeloid_apc	PTPN6	9	13	7.694484706718315	7.978015197230706	-0.2835304905123905	-0.558700451489592	-1.2768244923541667	0.2218981674422624	0.2864999279694457	0.3947889881111634	1.0	7.862025451112001	False	0.9458719359852288	False	False	False	False	null_or_weak
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	PTPN6	6	6	7.321095256540072	6.994668103944551	0.3264271525955218	0.6039035247644229	1.133157553408736	0.3006998472310068	0.3750171595862552	0.2852960779781168	1.0	7.157881680242312	False	0.6780573277298066	False	False	False	False	null_or_weak
sjogren_gland_stromal	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	PTPN6	10	14	2.253684373763764	2.663010128066566	-0.4093257543028019	-0.3261842181194783	-0.7955435451050871	0.4368501745133556	0.0066229680866623	0.011814669173273	0.9166666666666666	2.4924577304403988	False	0.9064836932244408	False	False	False	False	null_or_weak
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	tissue_resident	PTPN6	6	6	4.659977599427152	4.462984152414676	0.1969934470124759	0.3761947533564295	0.7058874618836933	0.4976051209722257	0.0761552935022565	0.0614682596586332	1.0	4.561480875920914	False	0.734657009762151	False	False	False	False	null_or_weak
ibd_uc_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon epithelial	tissue_resident	PTPN6	6	6	4.231903355195919	4.462984152414676	-0.2310807972187571	-0.360627196488628	-0.6766766791518808	0.5179812624570694	0.0499232523956632	0.0614682596586332	1.0	4.347443753805297	False	0.7830236213354782	False	False	False	False	null_or_weak
t1d_beta_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	PTPN6	3	19	4.10343153565211	3.551849032930426	0.5515825027216832	0.6805081073586928	0.694844181385308	0.5541231932943933	0.0987537949491782	0.0686889444766639	1.0	3.6270648287561102	False	0.8846884380344198	False	False	False	False	null_or_weak
ibd_uc_stromal	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon stromal	tissue_resident	PTPN6	6	6	1.366408375270306	1.6560847324046015	-0.2896763571342955	-0.3012725503237637	-0.5653043110938277	0.5862566832152332	0.0106807473554655	0.0135846849715084	0.8333333333333334	1.511246553837453	False	0.8526204442824414	False	False	False	False	null_or_weak
psoriasis_skin_apc	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin APC	myeloid_apc	PTPN6	3	3	6.721066837932749	6.487057698549342	0.2340091393834074	0.3759315596865436	0.5755253121504191	0.6226788493381441	0.4152290448343079	0.3918188824662813	1.0	6.604062268241045	False	0.8850941265518903	False	False	False	False	null_or_weak
sjogren_gland_epithelial	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland epithelial	tissue_resident	PTPN6	11	14	3.750937155201937	3.965390242263747	-0.2144530870618104	-0.2000916285709024	-0.4753233241281223	0.6420280383096152	0.038190726359822	0.0470786012786806	0.96	3.8710308839565513	False	0.8834273365734423	False	False	False	False	null_or_weak
psoriasis_skin_stromal	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin stromal	tissue_resident	PTPN6	3	3	3.8826998261647874	3.8469789607658336	0.0357208653989538	0.0760756238483975	0.1164665376828006	0.9148979916203062	0.0954425392774623	0.0773367986703494	1.0	3.8648393934653105	False	0.9750107397409744	False	False	False	False	null_or_weak
