disease	dataset	modality	compartment	gene	metric	n_case	n_control	delta	hedges_g	p	fdr	support_level	support_score
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	CXCR4	donor_mean_z_score	6	6	0.1566663598233619	0.6561987196420649	0.250981203665083	0.5862334684147925	positive_null	0.25
Graves disease	GSE248205	spatial_visium	thyroid tissue spots	CXCR4	sample_mean_log1p_cpm_gene	3	2	0.1084167304982799	1.817048563379501	0.0710304193422743	0.1791201879066048	trend	1.0
Hashimoto thyroiditis	GSE248205	spatial_visium	thyroid tissue spots	CXCR4	sample_mean_log1p_cpm_gene	3	2	0.6608435218456742	1.964281570502549	0.0587951731108981	0.1623866685920045	trend	1.0
MS	GSE111972	sorted_bulk_microglia	white matter microglia	CXCR4	log2_expression	10	11	0.3120868456565837	0.4215814445672457	0.3176858396110893	0.4992206051031403	positive_null	0.25
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	CXCR4	donor_mean_z_score	11	14	0.0779211596165917	0.8873480514885156	0.0519878302707072	0.3128441297448607	trend	1.0
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	CXCR4	donor_mean_z_score	9	13	0.0368745002501088	0.1463560991800229	0.7325954938397431	0.8771957269549776	positive_null	0.25
psoriasis	psoriasis_keratinocyte	single_cell_or_single_nucleus_h5ad	skin keratinocyte	CXCR4	donor_mean_z_score	3	3	0.4699337043487557	1.5593424145574506	0.1389727400525923	0.4761786513766461	positive_null	0.25
psoriasis	psoriasis_skin_apc	single_cell_or_single_nucleus_h5ad	skin APC	CXCR4	donor_mean_z_score	3	3	0.1213835015603385	0.3950384700881393	0.578373521338624	0.7968978550198478	positive_null	0.25
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	CXCR4	donor_mean_z_score	18	18	0.1115593634295749	0.3929889499316176	0.2385830287059454	0.5741159163065723	positive_null	0.25
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	CXCR4	donor_mean_z_score	5	18	0.141809049270385	1.2493517809689147	0.0697784963390242	0.3530467002107725	trend	1.0
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	CXCR4	donor_mean_z_score	5	19	0.2738525202632212	1.7911367944214085	0.0878398435420627	0.3903993046313901	trend	1.0
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	CXCR4	donor_mean_z_score	3	19	0.0589608121186317	0.3467915524038995	0.7266512939071956	0.8748329096586961	positive_null	0.25
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	CXCR4	donor_mean_z_score	6	6	0.736188470939277	2.020939490531653	0.0083020759719801	0.2115464453984163	trend	1.0
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	CXCR4	donor_mean_z_score	6	6	0.0545468905432049	0.2626587929468099	0.6332704194027952	0.8180336240334876	positive_null	0.25
MS	GSE111972	sorted_bulk_microglia	white matter microglia	DDT	log2_expression	10	11	0.350392864644327	0.7429394313280557	0.0920548867284566	0.3041381514381535	trend	1.0
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	FABP5	donor_mean_z_score	6	6	0.0776612911447008	0.3273692293748096	0.5581926641849598	0.7800072163283281	positive_null	0.25
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	FABP5	donor_mean_z_score	6	6	0.1734502009247977	0.9505930676918318	0.1094608650979631	0.4350495747835078	positive_null	0.25
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	FABP5	donor_mean_z_score	11	14	0.0412013946482093	0.1918569176158292	0.6356731434069532	0.8180336240334876	positive_null	0.25
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	FABP5	donor_mean_z_score	9	13	-0.0561166186664584	-0.2246234649712729	0.6130801402258144	0.808389386477243	null_or_negative	0.0
psoriasis	psoriasis_keratinocyte	single_cell_or_single_nucleus_h5ad	skin keratinocyte	FABP5	donor_mean_z_score	3	3	1.966531706622281	2.566875277464428	0.0586078198924082	0.335704974199654	trend	1.0
psoriasis	psoriasis_skin_apc	single_cell_or_single_nucleus_h5ad	skin APC	FABP5	donor_mean_z_score	3	3	-0.007237531423822	-0.0735551619071489	0.9184556513454856	0.9628614744881466	null_or_negative	0.0
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	FABP5	donor_mean_z_score	18	18	1.936601854316683e-05	0.0002145454469031	0.999478823380508	1.0	positive_null	0.25
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	FABP5	donor_mean_z_score	5	18	0.002522386464008	0.0106511356745836	0.9888774857044796	1.0	positive_null	0.25
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	FABP5	donor_mean_z_score	3	19	0.9690671015159212	1.6778019291924533	0.310633177068323	0.6423033562007203	positive_null	0.25
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	FABP5	donor_mean_z_score	5	19	-0.0526946789108897	-0.1298910394613504	0.6501419925883346	0.8275351338681973	null_or_negative	0.0
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	FABP5	donor_mean_z_score	6	6	0.5134929454383045	1.1712996986275863	0.0678651400939029	0.3484216973152504	trend	1.0
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	FABP5	donor_mean_z_score	6	6	-0.2088092216381994	-1.3472752231098222	0.0304723054244837	0.2524236222046254	negative_trend	-1.0
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	GBP1	donor_mean_z_score	6	6	0.2106542315401983	1.4656116667678478	0.0204929502180742	0.2261291058546121	trend	1.0
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	GBP1	donor_mean_z_score	6	6	2.004720799372931	2.8722440631064794	0.0019175079329932	0.1917174114402367	trend	1.0
Graves disease	GSE248205	spatial_visium	thyroid tissue spots	GBP1	sample_mean_log1p_cpm_gene	3	2	0.0663733462032372	0.2947807880509223	0.659679735581923	0.659679735581923	positive_null	0.25
Hashimoto thyroiditis	GSE248205	spatial_visium	thyroid tissue spots	GBP1	sample_mean_log1p_cpm_gene	3	2	0.1035182025986251	1.0142334669088813	0.4418531085084561	0.4576335766694724	positive_null	0.25
MS	GSE111972	sorted_bulk_microglia	white matter microglia	GBP1	log2_expression	10	11	0.491428502182563	0.8000728439177743	0.0681848307220474	0.2727393228881897	trend	1.0
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	GBP1	donor_mean_z_score	9	13	0.0854116055527183	0.1938031610626121	0.6520260479612573	0.8279695847127077	positive_null	0.25
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	GBP1	donor_mean_z_score	11	14	0.0257325538917156	0.2137076011737679	0.5745645690318331	0.7933577652219486	positive_null	0.25
psoriasis	psoriasis_skin_apc	single_cell_or_single_nucleus_h5ad	skin APC	GBP1	donor_mean_z_score	3	3	0.5695498110388926	1.8150754958183808	0.0928033621837707	0.4040418489633558	trend	1.0
psoriasis	psoriasis_keratinocyte	single_cell_or_single_nucleus_h5ad	skin keratinocyte	GBP1	donor_mean_z_score	3	3	0.7231284376570979	1.167130104035596	0.2091458702186815	0.5548997911703838	positive_null	0.25
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	GBP1	donor_mean_z_score	18	18	-0.039875516052414	-0.1694839669506034	0.6074209985517266	0.8080290610838258	null_or_negative	0.0
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	GBP1	donor_mean_z_score	5	18	0.0756933189310381	0.4098229404583923	0.5243611312141243	0.7558358648131522	positive_null	0.25
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	GBP1	donor_mean_z_score	3	19	1.2866726902170729	3.2997471053153364	0.1937456677827303	0.5496916006937076	positive_null	0.25
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	GBP1	donor_mean_z_score	5	19	0.0483057949500943	0.290121424642436	0.6036121071494623	0.8064963435817452	positive_null	0.25
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	GBP1	donor_mean_z_score	6	6	0.2325829379828274	1.070762058418871	0.081696840540892	0.373471271044078	trend	1.0
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	GBP1	donor_mean_z_score	6	6	1.4444273015875064	2.009665794892707	0.010172377973366	0.2115464453984163	trend	1.0
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	GPNMB	donor_mean_z_score	6	6	0.0023426149847947	0.0611393501740591	0.9109536088637732	0.95943254514824	positive_null	0.25
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	GPNMB	donor_mean_z_score	6	6	-0.3049438927589203	-0.9864886209464434	0.1087890473353923	0.4350495747835078	null_or_negative	0.0
MS	GSE111972	sorted_bulk_microglia	white matter microglia	GPNMB	log2_expression	10	11	1.4339584334150557	1.3559119980959509	0.0049097425501504	0.1973405041340664	trend	1.0
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	GPNMB	donor_mean_z_score	11	14	0.0514548937913528	0.6368383192171839	0.1588805123949963	0.4974777681264423	positive_null	0.25
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	GPNMB	donor_mean_z_score	9	13	-0.0438396396569542	-0.1180240968940775	0.7688460481684692	0.8909259431450516	null_or_negative	0.0
psoriasis	psoriasis_skin_apc	single_cell_or_single_nucleus_h5ad	skin APC	GPNMB	donor_mean_z_score	3	3	-0.2205110049778748	-0.9189244264875438	0.2714557603274229	0.6072696506124344	null_or_negative	0.0
psoriasis	psoriasis_keratinocyte	single_cell_or_single_nucleus_h5ad	skin keratinocyte	GPNMB	donor_mean_z_score	3	3	-0.8257228970982049	-2.206501048689012	0.0755062489039943	0.3606268604369879	negative_trend	-1.0
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	GPNMB	donor_mean_z_score	18	18	0.0139027309779337	0.2392151770788014	0.4714883740271189	0.7218960750654453	positive_null	0.25
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	GPNMB	donor_mean_z_score	5	18	0.1010055766200976	0.267000516701234	0.40201901396017	0.6848058288937101	positive_null	0.25
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	GPNMB	donor_mean_z_score	5	19	0.0940672402082989	0.5588711131405399	0.1856703581368105	0.5376879149663292	positive_null	0.25
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	GPNMB	donor_mean_z_score	3	19	-0.0856060774498882	-0.3375304458403657	0.609178159332728	0.8080290610838258	null_or_negative	0.0
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	GPNMB	donor_mean_z_score	6	6	-0.0110560237034404	-0.3033682972088074	0.581756176223202	0.7995557875792962	null_or_negative	0.0
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	GPNMB	donor_mean_z_score	6	6	-0.4361496697900381	-1.4757001031288388	0.034288376346186	0.2616408663245656	negative_trend	-1.0
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	HIF1A	donor_mean_z_score	6	6	0.3602294235489117	2.7200892191071953	0.0019125952671321	0.1917174114402367	trend	1.0
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	HIF1A	donor_mean_z_score	6	6	0.6208882641175218	1.4200584871308668	0.0362790224754876	0.2684228252521629	trend	1.0
MS	GSE111972	sorted_bulk_microglia	white matter microglia	HIF1A	log2_expression	10	11	-0.1231736174707265	-0.1509074129292437	0.7282461776522897	0.8900786615750207	null_or_negative	0.0
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	HIF1A	donor_mean_z_score	9	13	-0.2197573321226252	-0.6144773984001185	0.1356691709476678	0.4695183860845563	null_or_negative	0.0
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	HIF1A	donor_mean_z_score	11	14	-0.0970131397459942	-0.3608340819036569	0.3394863314385489	0.6538120058436172	null_or_negative	0.0
psoriasis	psoriasis_keratinocyte	single_cell_or_single_nucleus_h5ad	skin keratinocyte	HIF1A	donor_mean_z_score	3	3	0.5254737424336464	1.826734144250856	0.0938985967064831	0.4060479857577648	trend	1.0
psoriasis	psoriasis_skin_apc	single_cell_or_single_nucleus_h5ad	skin APC	HIF1A	donor_mean_z_score	3	3	0.0681491637481793	0.1751382957308001	0.8026626891219681	0.9053027787529804	positive_null	0.25
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	HIF1A	donor_mean_z_score	18	18	0.0619366839443455	0.1723253634164648	0.6005534058794785	0.8064963435817452	positive_null	0.25
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	HIF1A	donor_mean_z_score	5	18	0.2416495781481758	0.7204642135159085	0.2302555807369799	0.5709747281018511	positive_null	0.25
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	HIF1A	donor_mean_z_score	5	19	0.3311316168900752	1.0231575232565713	0.1825501264718799	0.5317960318952636	positive_null	0.25
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	HIF1A	donor_mean_z_score	3	19	-0.0961066471183556	-0.2401585741358798	0.6609646694693742	0.8292524459469693	null_or_negative	0.0
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	HIF1A	donor_mean_z_score	6	6	0.3743478046046665	1.2726137431085145	0.0602088109846281	0.335704974199654	trend	1.0
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	HIF1A	donor_mean_z_score	6	6	0.8356624249943984	2.0526958105066577	0.0075178233223718	0.2115464453984163	trend	1.0
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	HK2	donor_mean_z_score	6	6	0.5780823761368016	2.579230093052839	0.0017397853460592	0.1917174114402367	trend	1.0
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	HK2	donor_mean_z_score	6	6	0.2962340094078533	2.2037119238385365	0.0024718171138378	0.2115464453984163	trend	1.0
MS	GSE111972	sorted_bulk_microglia	white matter microglia	HK2	log2_expression	10	11	-0.167534089015211	-0.3255612418423427	0.4404203518116172	0.6055779837409737	null_or_negative	0.0
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	HK2	donor_mean_z_score	9	13	-0.0925081568977371	-0.4074040265624489	0.3222892566913043	0.6507782815140176	null_or_negative	0.0
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	HK2	donor_mean_z_score	11	14	-0.0864496081269216	-0.538860945139866	0.1498957739217757	0.4883885502603076	null_or_negative	0.0
psoriasis	psoriasis_keratinocyte	single_cell_or_single_nucleus_h5ad	skin keratinocyte	HK2	donor_mean_z_score	3	3	0.4614837157848949	3.0542259973119035	0.0203563203520121	0.2261291058546121	trend	1.0
psoriasis	psoriasis_skin_apc	single_cell_or_single_nucleus_h5ad	skin APC	HK2	donor_mean_z_score	3	3	-0.0429451067891322	-0.2427213926668652	0.7315701333292026	0.8771957269549776	null_or_negative	0.0
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	HK2	donor_mean_z_score	18	18	-0.0074722935856147	-0.0604125151448668	0.854081645708292	0.933581986769098	null_or_negative	0.0
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	HK2	donor_mean_z_score	5	18	0.111398575077266	0.8046041912410875	0.4010371621827842	0.6848058288937101	positive_null	0.25
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	HK2	donor_mean_z_score	3	19	-0.0695721986693923	-0.3212382065992307	0.1842381735663662	0.5347502543422874	null_or_negative	0.0
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	HK2	donor_mean_z_score	5	19	-0.0238375812546628	-0.1066715075759012	0.7597198780322961	0.8895468240242101	null_or_negative	0.0
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	HK2	donor_mean_z_score	6	6	1.0150341766785815	2.307516281466363	0.0060019580008518	0.2115464453984163	trend	1.0
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	HK2	donor_mean_z_score	6	6	0.4942349966444395	1.866366312260123	0.0129200795478223	0.2115464453984163	trend	1.0
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	HLA-DPA1	donor_mean_z_score	6	6	0.4100813737020541	0.9692064199440802	0.1130488133436974	0.4362298680148599	positive_null	0.25
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	HLA-DPA1	donor_mean_z_score	6	6	0.1507246686920739	0.3920048514877832	0.480786801917818	0.7256708609965344	positive_null	0.25
Graves disease	GSE248205	spatial_visium	thyroid tissue spots	HLA-DPA1	sample_mean_log1p_cpm_gene	3	2	0.6950262830858474	1.192132619472004	0.1456374120798776	0.2724829000204162	positive_null	0.25
Hashimoto thyroiditis	GSE248205	spatial_visium	thyroid tissue spots	HLA-DPA1	sample_mean_log1p_cpm_gene	3	2	2.150237322971672	31.088672173329037	1.8906175110802928e-05	0.0010965581564265	strong	3.0
MS	GSE111972	sorted_bulk_microglia	white matter microglia	HLA-DPA1	log2_expression	10	11	0.564665600429203	1.1896638011859288	0.0134550343727772	0.1973405041340664	trend	1.0
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	HLA-DPA1	donor_mean_z_score	11	14	0.1159147051427194	0.8787194757914314	0.0509176564605631	0.3118401926771332	trend	1.0
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	HLA-DPA1	donor_mean_z_score	9	13	0.1058697962706559	0.6889296723958502	0.1166336779143717	0.4378572877174881	positive_null	0.25
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	HLA-DPA1	donor_mean_z_score	18	18	-0.1091211808368237	-0.5603857516693027	0.0955362795189641	0.4103571737727319	negative_trend	-1.0
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	HLA-DPA1	donor_mean_z_score	5	18	0.0389020205104944	0.3332212287342889	0.5634394221772906	0.7822152498773666	positive_null	0.25
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	HLA-DPA1	donor_mean_z_score	3	19	0.4536505475816671	1.9321701683632413	0.3630110755474928	0.6697088274008902	positive_null	0.25
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	HLA-DPA1	donor_mean_z_score	5	19	0.0808602551482162	0.3493007582711752	0.6406615278110153	0.8208676232213208	positive_null	0.25
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	HLA-DPA1	donor_mean_z_score	6	6	0.3145741995006061	1.0930201918240114	0.0702920955509621	0.3542278830914626	trend	1.0
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	HLA-DPA1	donor_mean_z_score	6	6	0.155741146321758	0.6105670000887968	0.2851340251304962	0.6154663611585752	positive_null	0.25
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	HLA-DPB1	donor_mean_z_score	6	6	0.4009158435456774	0.9254543314474364	0.1338449434779153	0.4670416751060026	positive_null	0.25
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	HLA-DPB1	donor_mean_z_score	6	6	0.1616399725565639	0.3724296704267227	0.5015541989561367	0.7379188214527069	positive_null	0.25
Graves disease	GSE248205	spatial_visium	thyroid tissue spots	HLA-DPB1	sample_mean_log1p_cpm_gene	3	2	0.7776691894672837	0.8905767468971099	0.2254376942290204	0.2815372107282357	positive_null	0.25
Hashimoto thyroiditis	GSE248205	spatial_visium	thyroid tissue spots	HLA-DPB1	sample_mean_log1p_cpm_gene	3	2	2.0812039022809667	11.007974774332023	0.0021283725683059	0.0123445608961745	strong	3.0
MS	GSE111972	sorted_bulk_microglia	white matter microglia	HLA-DPB1	log2_expression	10	11	0.4960756722429025	0.9478883118254368	0.0397661138040672	0.2187136259223697	trend	1.0
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	HLA-DPB1	donor_mean_z_score	9	13	0.1256133630953153	0.7110579880089873	0.0918748657542891	0.4013646012474063	trend	1.0
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	HLA-DPB1	donor_mean_z_score	11	14	0.1552572557796742	0.759355153785741	0.0695302069459454	0.3530467002107725	trend	1.0
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	HLA-DPB1	donor_mean_z_score	18	18	-0.0773109154568091	-0.394198516789656	0.2361230318982073	0.5741159163065723	null_or_negative	0.0
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	HLA-DPB1	donor_mean_z_score	3	19	0.3150103518733546	1.776059585399072	0.3422762332423725	0.6538120058436172	positive_null	0.25
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	HLA-DPB1	donor_mean_z_score	5	19	0.0580414217536005	0.203346569298826	0.6184704176525267	0.8096291704598979	positive_null	0.25
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	HLA-DPB1	donor_mean_z_score	5	18	-0.0271407864671757	-0.2494080481252171	0.5007323841662382	0.737557481855909	null_or_negative	0.0
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	HLA-DPB1	donor_mean_z_score	6	6	0.3820727854704348	1.799402500837908	0.0079238868791354	0.2115464453984163	trend	1.0
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	HLA-DPB1	donor_mean_z_score	6	6	0.0807453272777049	0.2937780993827519	0.6024899752017908	0.8064963435817452	positive_null	0.25
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	HLA-DRA	donor_mean_z_score	6	6	0.6514620028256559	1.333009983233245	0.0327782903151082	0.2581301461691236	trend	1.0
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	HLA-DRA	donor_mean_z_score	6	6	0.2323418297856536	0.5811005241452247	0.3013531266832383	0.6318108940969792	positive_null	0.25
Graves disease	GSE248205	spatial_visium	thyroid tissue spots	HLA-DRA	sample_mean_log1p_cpm_gene	3	2	0.9092367637744664	0.9471550126588848	0.206462623800826	0.2811133221822033	positive_null	0.25
Hashimoto thyroiditis	GSE248205	spatial_visium	thyroid tissue spots	HLA-DRA	sample_mean_log1p_cpm_gene	3	2	2.4674974456073233	21.542468736794785	9.92808293309816e-05	0.0019194293670656	strong	3.0
MS	GSE111972	sorted_bulk_microglia	white matter microglia	HLA-DRA	log2_expression	10	11	0.2891316379039903	0.7323559303695486	0.0967712300030488	0.3041381514381535	trend	1.0
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	HLA-DRA	donor_mean_z_score	11	14	0.4006147137389178	1.0437442576315723	0.0334762533313082	0.2581301461691236	trend	1.0
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	HLA-DRA	donor_mean_z_score	9	13	0.1496931345489782	0.5333424255987796	0.1819049595211722	0.5315944022536542	positive_null	0.25
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	HLA-DRA	donor_mean_z_score	18	18	-0.0937749716921935	-0.3650281881677815	0.2708145968966015	0.6072696506124344	null_or_negative	0.0
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	HLA-DRA	donor_mean_z_score	5	18	0.0177794248822503	0.0841994577088028	0.7679087055997056	0.8909259431450516	positive_null	0.25
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	HLA-DRA	donor_mean_z_score	3	19	0.5401217389734584	2.175871811319276	0.3170414147644242	0.647229682453689	positive_null	0.25
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	HLA-DRA	donor_mean_z_score	5	19	0.1210570489241705	0.4863212179850917	0.4128243754018769	0.6913944253840034	positive_null	0.25
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	HLA-DRA	donor_mean_z_score	6	6	0.4983642502880665	1.378743644327284	0.0297854949103166	0.2524236222046254	trend	1.0
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	HLA-DRA	donor_mean_z_score	6	6	0.2892437805271051	0.994773347361388	0.1064338843182056	0.4311245947066559	positive_null	0.25
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	HLA-DRB1	donor_mean_z_score	6	6	0.4720293566450045	1.3613227801432393	0.0286769611521098	0.2512684831355159	trend	1.0
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	HLA-DRB1	donor_mean_z_score	6	6	0.0868743956381675	0.2165543247218971	0.6933336177375309	0.8491441762477725	positive_null	0.25
Graves disease	GSE248205	spatial_visium	thyroid tissue spots	HLA-DRB1	sample_mean_log1p_cpm_gene	3	2	0.9371208953408025	0.9543116511791122	0.1986730356260306	0.2811133221822033	positive_null	0.25
Hashimoto thyroiditis	GSE248205	spatial_visium	thyroid tissue spots	HLA-DRB1	sample_mean_log1p_cpm_gene	3	2	2.285487703198666	11.09962487408344	0.0019933813432096	0.0123445608961745	strong	3.0
MS	GSE111972	sorted_bulk_microglia	white matter microglia	HLA-DRB1	log2_expression	10	11	0.5468677387854282	0.8375223417578668	0.057765674762618	0.2541689689555193	trend	1.0
