gene	chembl_target_chembl_id	chembl_pref_name	chembl_target_type	chembl_organism	chembl_nM_activity_count	chembl_search_url	uniprot_accession	uniprot_protein	uniprot_function_excerpt	uniprot_location	uniprot_url
CALR	CHEMBL6066425	Calreticulin	SINGLE PROTEIN	Homo sapiens	4	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=CALR&limit=10	P27797	Calreticulin	Calcium-binding chaperone that promotes folding, oligomeric assembly and quality control in the endoplasmic reticulum (ER) via the calreticulin/calnexin cycle. This lectin interacts transiently with almost all of the monoglucosylated glycoproteins that are synthesized in the ER (PubMed:7876246). Interacts with the DNA-binding domain of NR3C1 and mediates its nuclear export (PubMed:11149926). Involved in maternal gene expression regulation. May participate in oocyte maturation via the regulation of calcium homeostasis (By similarity). Present in the cortical granules of non-activated oocytes, is exocytosed during the cortical reaction in response to oocyte activation and might participate in the block to polyspermy (By similarity)	Endoplasmic reticulum lumen;Cytoplasm, cytosol;Secreted, extracellular space, extracellular matrix;Cell surface;Sarcoplasmic reticulum lumen;Cytoplasmic vesicle, secretory vesicle, Cortical granule;Cytolytic granule	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3ACALR%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
CNN3					0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=CNN3&limit=10	Q15417	Calponin-3	Thin filament-associated protein that is implicated in the regulation and modulation of smooth muscle contraction. It is capable of binding to actin, calmodulin and tropomyosin. The interaction of calponin with actin inhibits the actomyosin Mg-ATPase activity		https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3ACNN3%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
P4HB	CHEMBL5422	Protein disulfide-isomerase	SINGLE PROTEIN	Homo sapiens	702	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=P4HB&limit=10	P07237	Protein disulfide-isomerase	This multifunctional protein catalyzes the formation, breakage and rearrangement of disulfide bonds. At the cell surface, seems to act as a reductase that cleaves disulfide bonds of proteins attached to the cell. May therefore cause structural modifications of exofacial proteins. Inside the cell, seems to form/rearrange disulfide bonds of nascent proteins. At high concentrations and following phosphorylation by FAM20C, functions as a chaperone that inhibits aggregation of misfolded proteins (PubMed:32149426). At low concentrations, facilitates aggregation (anti-chaperone activity). May be involved with other chaperones in the structural modification of the TG precursor in hormone biogenesis. Also acts as a structural subunit of various enzymes such as prolyl 4-hydroxylase and microsomal tr	Endoplasmic reticulum;Endoplasmic reticulum lumen;Melanosome;Cell membrane	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3AP4HB%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
IL2RG	CHEMBL4665588	IL-2R beta/gamma	PROTEIN COMPLEX	Homo sapiens	0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=IL2RG&limit=10	P31785	Cytokine receptor common subunit gamma	Common subunit for the receptors for a variety of interleukins. Probably in association with IL15RA, involved in the stimulation of neutrophil phagocytosis by IL15 (PubMed:15123770)	Cell membrane;Cell surface	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3AIL2RG%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
OSM	CHEMBL4794	Transient receptor potential cation channel subfamily V member 1	SINGLE PROTEIN	Homo sapiens	7347	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=OSM&limit=10	P13725	Oncostatin-M	Growth regulator. Inhibits the proliferation of a number of tumor cell lines. Stimulates proliferation of AIDS-KS cells. It regulates cytokine production, including IL-6, G-CSF and GM-CSF from endothelial cells. Uses both type I OSM receptor (heterodimers composed of LIFR and IL6ST) and type II OSM receptor (heterodimers composed of OSMR and IL6ST). Involved in the maturation of fetal hepatocytes, thereby promoting liver development and regeneration (By similarity)	Secreted	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3AOSM%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
LIPA	CHEMBL4184	Lysosomal acid lipase/cholesteryl ester hydrolase	SINGLE PROTEIN	Homo sapiens	12	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=LIPA&limit=10	P38571	Lysosomal acid lipase/cholesteryl ester hydrolase	Catalyzes the deacylation of cholesteryl ester core lipids of endocytosed low density lipoproteins to generate free fatty acids and cholesterol (PubMed:15269241, PubMed:1718995, PubMed:7204383, PubMed:8112342, PubMed:9633819). Hydrolyzes triglycerides (1,2,3-triacylglycerol) and diglycerides (such as 1,2-diacylglycerol and 1,3-diacylglycerol) with preference for the acyl moieties at the sn-1 or sn-3 positions (PubMed:7204383, PubMed:8112342)	Lysosome	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3ALIPA%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
FXYD5					0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=FXYD5&limit=10	Q96DB9	FXYD domain-containing ion transport regulator 5	Associates with and regulates the activity of the sodium/potassium-transporting ATPase (NKA) which catalyzes the hydrolysis of ATP coupled with the exchange of Na(+) and K(+) ions across the plasma membrane (By similarity). May increase NKA activity by increasing the apparent affinity for Na(+) (PubMed:18263667). Involved in down-regulation of E-cadherin which results in reduced cell adhesion. Promotes metastasis (PubMed:11756660)	Cell membrane;Basolateral cell membrane	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3AFXYD5%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
PDE4D	CHEMBL288	3',5'-cyclic-AMP phosphodiesterase 4D	SINGLE PROTEIN	Homo sapiens	4945	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=PDE4D&limit=10	Q08499	3',5'-cyclic-AMP phosphodiesterase 4D	Hydrolyzes the second messenger cAMP, which is a key regulator of many important physiological processes	Apical cell membrane;Cytoplasm;Membrane;Cytoplasm, cytoskeleton;Cytoplasm, cytoskeleton, microtubule organizing center, centrosome	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3APDE4D%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
LYZ	CHEMBL2297	Lysozyme C	SINGLE PROTEIN	Rattus norvegicus	8	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=LYZ&limit=10	P61626	Lysozyme C	Lysozymes have primarily a bacteriolytic function; those in tissues and body fluids are associated with the monocyte-macrophage system and enhance the activity of immunoagents	Secreted	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3ALYZ%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
S100P	CHEMBL6066932	Protein S100-P	SINGLE PROTEIN	Homo sapiens	2	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=S100P&limit=10	P25815	Protein S100-P	May function as calcium sensor and contribute to cellular calcium signaling. In a calcium-dependent manner, functions by interacting with other proteins, such as EZR and PPP5C, and indirectly plays a role in physiological processes like the formation of microvilli in epithelial cells. May stimulate cell proliferation in an autocrine manner via activation of the receptor for activated glycation end products (RAGE)	Nucleus;Cytoplasm;Cell projection, microvillus membrane	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3AS100P%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
GSTO1	CHEMBL3174	Glutathione S-transferase omega-1	SINGLE PROTEIN	Homo sapiens	123	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=GSTO1&limit=10	P78417	Glutathione S-transferase omega-1	Exhibits glutathione-dependent thiol transferase and dehydroascorbate reductase activities. Has S-(phenacyl)glutathione reductase activity. Also has glutathione S-transferase activity. Participates in the biotransformation of inorganic arsenic and reduces monomethylarsonic acid (MMA) and dimethylarsonic acid	Cytoplasm, cytosol	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3AGSTO1%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
PKM	CHEMBL1075189	Pyruvate kinase PKM	SINGLE PROTEIN	Homo sapiens	14174	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=PKM&limit=10	P14618	Pyruvate kinase PKM	Pyruvate kinase isoform expressed in adult tissues, which replaces isoform M2 after birth (PubMed:18337823). In contrast to isoform M2, has high pyruvate kinase activity by itself and does not require allosteric activation by D-fructose 1,6-bisphosphate (FBP) for activity (PubMed:20847263)	Cytoplasm	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3APKM%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
CCL19					0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=CCL19&limit=10	Q99731	C-C motif chemokine 19	May play a role not only in inflammatory and immunological responses but also in normal lymphocyte recirculation and homing. May play an important role in trafficking of T-cells in thymus, and T-cell and B-cell migration to secondary lymphoid organs. Binds to chemokine receptor CCR7. Recombinant CCL19 shows potent chemotactic activity for T-cells and B-cells but not for granulocytes and monocytes. Binds to atypical chemokine receptor ACKR4 and mediates the recruitment of beta-arrestin (ARRB1/2) to ACKR4	Secreted	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3ACCL19%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
GALE	CHEMBL5843	UDP-glucose 4-epimerase	SINGLE PROTEIN	Homo sapiens	6	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=GALE&limit=10	Q14376	UDP-glucose 4-epimerase	Catalyzes two distinct but analogous reactions: the reversible epimerization of UDP-glucose to UDP-galactose and the reversible epimerization of UDP-N-acetylglucosamine to UDP-N-acetylgalactosamine. The reaction with UDP-Gal plays a critical role in the Leloir pathway of galactose catabolism in which galactose is converted to the glycolytic intermediate glucose 6-phosphate. It contributes to the catabolism of dietary galactose and enables the endogenous biosynthesis of both UDP-Gal and UDP-GalNAc when exogenous sources are limited. Both UDP-sugar interconversions are important in the synthesis of glycoproteins and glycolipids		https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3AGALE%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
MMP15	CHEMBL2963	Matrix metalloproteinase-15	SINGLE PROTEIN	Homo sapiens	42	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=MMP15&limit=10	P51511	Matrix metalloproteinase-15	Endopeptidase that degrades various components of the extracellular matrix. May activate progelatinase A	Membrane	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3AMMP15%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
DNAJB11	CHEMBL6067236	DnaJ homolog subfamily B member 11	SINGLE PROTEIN	Homo sapiens	2	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=DNAJB11&limit=10	Q9UBS4	DnaJ homolog subfamily B member 11	As a co-chaperone for HSPA5 it is required for proper folding, trafficking or degradation of proteins (PubMed:10827079, PubMed:15525676, PubMed:29706351). Binds directly to both unfolded proteins that are substrates for ERAD and nascent unfolded peptide chains, but dissociates from the HSPA5-unfolded protein complex before folding is completed (PubMed:15525676). May help recruiting HSPA5 and other chaperones to the substrate. Stimulates HSPA5 ATPase activity (PubMed:10827079). It is necessary for maturation and correct trafficking of PKD1 (PubMed:29706351)	Endoplasmic reticulum lumen	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3ADNAJB11%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
