gene	tested_compartment_count	positive_compartment_count	negative_compartment_count	positive_fdr10_compartment_count	negative_fdr10_compartment_count	positive_disease_count	negative_disease_count	positive_diseases	negative_diseases	best_positive_p	best_positive_fdr	max_positive_delta_log2_cpm	median_positive_hedges_g	best_negative_p	min_negative_delta_log2_cpm	top_positive_compartments	in_lipid_lysosomal_myeloid_neighborhood
NUTM1	5	0	0	0	0	0	0										False
NUTM2A-AS1	17	1	1	0	0	1	1	ulcerative colitis	Crohn disease	0.038245782276436886	0.346592052587256	0.46200204886712637	1.2800249831456318	0.003813814305307845	-0.7360766000528001	ibd_uc_stromal:0.462,p=0.038	False
NUTM2B	7	0	0	0	0	0	0										False
NUTM2B-AS1	17	0	0	0	0	0	0										False
NUTM2D	10	0	0	0	0	0	0										False
NUTM2E	4	0	0	0	0	0	0										False
NUTM2F	3	0	0	0	0	0	0										False
NUTM2G	5	0	0	0	0	0	0										False
NVL	17	2	0	0	0	1	0	type 1 diabetes mellitus		0.00837854293894783	0.3308333198855159	1.2703676908666268	1.0224914776517784			t1d_ductal_cell:0.713,p=0.0084;t1d_endothelial_cell:1.27,p=0.028	False
NWD1	9	0	0	0	0	0	0										False
NWD2	6	0	0	0	0	0	0										False
NXF1	17	0	2	0	0	0	2		Crohn disease;ulcerative colitis					0.0017747004705245238	-1.0599136418529405		False
NXF3	10	0	0	0	0	0	0										False
NXN	13	1	0	0	0	1	0	ulcerative colitis		0.04914977283421749	0.3721787324899612	0.5543465963941818	1.194113529385352			ibd_uc_stromal:0.554,p=0.049	False
NXNL2	11	0	0	0	0	0	0										False
NXPE1	4	0	0	0	0	0	0										False
NXPE2	6	0	0	0	0	0	0										False
NXPE3	17	0	1	0	0	0	1		ulcerative colitis					0.031882794822367194	-0.6748381119528372		False
NXPE4	6	0	0	0	0	0	0										False
NXPH1	4	0	0	0	0	0	0										False
NXPH2	4	0	0	0	0	0	0										False
NXPH3	11	0	2	0	0	0	2		psoriasis;type 1 diabetes mellitus					0.027635727037668166	-1.294022665626941		False
NXPH4	10	0	1	0	0	0	1		Sjogren syndrome					0.028322338440835804	-1.1345554413920595		False
NXT1	17	2	1	0	0	1	1	Crohn disease	psoriasis	0.01572139540282718	0.19025826275139868	1.4504373310905887	1.6175839405030374	0.007352261610889602	-0.8874146305679265	ibd_crohn_epithelial:1.09,p=0.016;ibd_crohn_stromal:1.45,p=0.021	False
NXT2	17	3	1	0	0	1	1	type 1 diabetes mellitus	Sjogren syndrome	0.007601106341188573	0.24511576046155686	1.4433951747048908	0.9045675782043442	0.021889221586648636	-2.0414299006766017	t1d_stellate_cell:0.948,p=0.0076;t1d_acinar_cell:0.481,p=0.01;t1d_endothelial_cell:1.44,p=0.037	False
NYAP1	10	0	0	0	0	0	0										False
NYAP2	14	0	0	0	0	0	0										False
NYNRIN	17	0	2	0	0	0	2		Crohn disease;Sjogren syndrome					0.033946966186722057	-1.8138995860757035		False
NYX	4	0	0	0	0	0	0										False
OAF	17	1	4	0	0	1	3	psoriasis	Crohn disease;psoriasis;ulcerative colitis	0.013994425907760321	0.3921590108107973	1.5906434338774245	4.804527251361386	0.004602469720041035	-1.2001381956503687	psoriasis_keratinocyte:1.59,p=0.014	False
OARD1	17	0	2	0	0	0	2		Crohn disease;ulcerative colitis					0.023425546933630793	-0.7377518025220455		False
OAS1	14	2	1	0	0	1	1	type 1 diabetes mellitus	ulcerative colitis	0.006226815218642232	0.3570111565118459	1.9156358595635932	1.6256363763332082	0.027103666574583053	-0.8379514366074279	t1d_acinar_cell:1.92,p=0.0062;t1d_ductal_cell:1.89,p=0.034	False
OAS2	16	1	0	0	0	1	0	Crohn disease		0.024154002291029375	0.22060163408186825	1.3361219942416824	1.53942056579532			ibd_crohn_epithelial:1.34,p=0.024	False
OAS3	17	1	0	0	0	1	0	type 1 diabetes mellitus		0.009715805849515707	0.2568733467003799	1.8949682957642966	0.8853598186320082			t1d_endothelial_cell:1.89,p=0.0097	False
OASL	17	2	1	0	0	2	1	Crohn disease;ulcerative colitis	ulcerative colitis	0.0030857513793957863	0.1513210809488511	3.0060427321889085	1.8178245328734481	0.04395461180333167	-2.282651599226299	ibd_crohn_myeloid:3.01,p=0.0031;ibd_uc_myeloid:2.45,p=0.015	False
OAT	17	0	1	0	0	0	1		ulcerative colitis					0.026336855333264002	-0.45456674376380946		False
OAZ1	17	2	2	0	0	1	2	type 1 diabetes mellitus	Crohn disease;ulcerative colitis	0.028128969225105795	0.38209750132845083	0.3243074269158388	0.906605379083238	0.003233530396640806	-0.517501309152852	t1d_stellate_cell:0.324,p=0.028;t1d_ductal_cell:0.246,p=0.048	False
OAZ2	17	1	0	0	0	1	0	type 1 diabetes mellitus		0.02556676992910887	0.42689011240890784	0.2827086501116334	0.8538964189247392			t1d_ductal_cell:0.283,p=0.026	False
OAZ3	17	2	0	0	0	2	0	type 1 diabetes mellitus;ulcerative colitis		0.02339549249511659	0.2905980855169031	1.7079102641013435	1.2084986098755939			ibd_uc_stromal:1.71,p=0.023;t1d_acinar_cell:0.838,p=0.032	False
OBI1	8	1	0	0	0	1	0	type 1 diabetes mellitus		0.04672618258685649	0.5040079843276347	0.4832924647719379	0.8806460085781765			t1d_beta_cell:0.483,p=0.047	False
OBP2A	3	0	0	0	0	0	0										False
OBP2B	4	0	0	0	0	0	0										False
OBSCN	16	2	2	0	0	2	2	Crohn disease;type 1 diabetes mellitus	type 1 diabetes mellitus;ulcerative colitis	0.033430267783809	0.24796390387895623	1.2683703679824405	1.1588073577209967	0.0424370167510363	-1.7540409023467434	ibd_crohn_epithelial:0.771,p=0.033;t1d_endothelial_cell:1.27,p=0.049	False
OBSCN-AS1	14	0	0	0	0	0	0										False
OBSL1	17	0	1	0	0	0	1		ulcerative colitis					0.010014892485457621	-1.1660055608775548		False
OCA2	7	0	0	0	0	0	0										False
OCEL1	17	0	0	0	0	0	0										False
OCIAD1	17	0	0	0	0	0	0										False
OCIAD2	17	1	1	0	0	1	1	ulcerative colitis	Crohn disease	0.009279325419563484	0.2077324590716259	1.981862353159463	1.7341795195376624	0.010639648275660225	-1.1655878196842684	ibd_uc_stromal:1.98,p=0.0093	False
OCLN	14	2	0	1	0	1	0	type 1 diabetes mellitus		0.00010833947255968956	0.04776255334340176	2.401095061169185	1.2735279385323954			t1d_endothelial_cell:2.4,p=0.00011;t1d_stellate_cell:1.81,p=0.0085	False
OCM	4	0	0	0	0	0	0										False
OCM2	3	0	0	0	0	0	0										False
OCRL	17	1	0	0	0	1	0	Crohn disease		0.027846940033128587	0.23413201849282486	0.5146072819098495	1.3716597035324172			ibd_crohn_epithelial:0.515,p=0.028	False
OCSTAMP	4	0	1	0	0	0	1		psoriasis					0.005139245356546867	-2.220752374929208		False
ODAD1	5	0	0	0	0	0	0										False
ODAD2	4	0	1	0	0	0	1		type 1 diabetes mellitus					0.002052664373091034	-0.4598062241624877		False
ODAD3	8	0	0	0	0	0	0										False
ODAD4	7	0	0	0	0	0	0										False
ODAM	5	2	0	0	0	2	0	Sjogren syndrome;type 1 diabetes mellitus		0.010216504615675808	0.3524588331490807	2.0278978712663225	1.4113138406209118			t1d_ductal_cell:2.03,p=0.01;sjogren_gland_stromal:0.953,p=0.047	False
ODAPH	11	0	0	0	0	0	0										False
ODC1	17	1	0	0	0	1	0	Crohn disease		0.04593022065881399	0.2800600900859461	0.5166868258846185	1.2142569942263532			ibd_crohn_epithelial:0.517,p=0.046	False
ODC1-DT	7	0	0	0	0	0	0										False
ODF1	3	0	0	0	0	0	0										False
ODF2	17	1	1	0	0	1	1	type 1 diabetes mellitus	Sjogren syndrome	0.004169404284677752	0.269070773680158	1.0880189048192044	0.8899833927079129	0.04165191639128884	-0.5035413873624428	t1d_ductal_cell:1.09,p=0.0042	False
ODF2-AS1	2	0	0	0	0	0	0										False
ODF2L	17	1	0	0	0	1	0	psoriasis		0.01961152824777251	0.40019800162873154	0.8936911260151605	2.4713618435445137			psoriasis_keratinocyte:0.894,p=0.02	False
ODF3	2	0	0	0	0	0	0										False
ODF3B	9	4	0	0	0	2	0	Crohn disease;psoriasis		0.0023846455491193363	0.12749137645617747	2.027589375151554	2.1727865724023814			ibd_crohn_myeloid:1.7,p=0.0024;ibd_crohn_epithelial:2.03,p=0.0033;psoriasis_keratinocyte:1.35,p=0.0047;psoriasis_skin_apc:1.49,p=0.033	False
ODF3L1	9	0	1	0	0	0	1		ulcerative colitis					0.0175068327667447	-0.9835179520474201		False
ODF3L2	3	0	0	0	0	0	0										False
ODF4	2	0	0	0	0	0	0										False
ODR4	17	0	0	0	0	0	0										False
OFCC1	3	0	0	0	0	0	0										False
OFD1	17	0	1	0	0	0	1		ulcerative colitis					0.008934917886007596	-0.6036374141873955		False
OGA	17	1	0	0	0	1	0	psoriasis		0.02996499086568208	0.7297013371935511	0.7583515489951083	3.040253481144631			psoriasis_skin_apc:0.758,p=0.03	False
OGDH	17	0	0	0	0	0	0										False
OGDHL	10	1	1	0	0	1	1	psoriasis	ulcerative colitis	0.04800077437538221	0.407603224589803	0.30625488697810677	2.2536572962752337	0.021305531800051063	-2.4388909042677303	psoriasis_keratinocyte:0.306,p=0.048	False
OGFOD1	17	1	0	0	0	1	0	type 1 diabetes mellitus		0.03172744864613716	0.3721174056229033	0.911345533354055	0.7019316856010598			t1d_endothelial_cell:0.911,p=0.032	False
OGFOD2	17	1	1	0	0	1	1	type 1 diabetes mellitus	ulcerative colitis	0.005181300782548551	0.21424400171280056	1.4643565448400233	1.0015418947087391	0.025104411072177778	-1.5628894719221667	t1d_stellate_cell:1.46,p=0.0052	False
OGFOD3	17	1	0	0	0	1	0	Crohn disease		0.006877472994460438	0.1502258377440572	0.7867869896389283	1.8397098588703644			ibd_crohn_epithelial:0.787,p=0.0069	False
OGFR	17	3	0	0	0	3	0	Crohn disease;psoriasis;type 1 diabetes mellitus		0.018464612797527345	0.2651036517051161	0.6725556638103027	1.2690489249582426			psoriasis_skin_stromal:0.43,p=0.018;t1d_acinar_cell:0.673,p=0.03;ibd_crohn_epithelial:0.561,p=0.04	False
OGFR-AS1	7	0	0	0	0	0	0										False
OGFRL1	17	0	1	0	0	0	1		type 1 diabetes mellitus					0.024213815209255446	-0.7604573947511319		False
OGFRP1	6	0	0	0	0	0	0										False
OGG1	17	3	1	0	0	1	1	type 1 diabetes mellitus	Sjogren syndrome	0.01374557610183123	0.2898128821194258	2.079190556268183	0.9556885556925747	0.012969881325506284	-0.3916380656882854	t1d_ductal_cell:1.34,p=0.014;t1d_endothelial_cell:2.08,p=0.014;t1d_acinar_cell:0.806,p=0.049	False
OGN	9	0	0	0	0	0	0										False
OGT	17	1	0	0	0	1	0	type 1 diabetes mellitus		0.023888647562091764	0.49919932534877826	0.5193682476445174	1.2447370218998206			t1d_acinar_cell:0.519,p=0.024	False
OIP5	12	0	0	0	0	0	0										False
OIP5-AS1	3	0	0	0	0	0	0										False
OIT3	8	0	0	0	0	0	0										False
OLA1	17	2	0	0	0	2	0	type 1 diabetes mellitus;ulcerative colitis		0.032626392577322534	0.33539965560265417	0.4079897974216271	1.1907612311785867			t1d_acinar_cell:0.307,p=0.033;ibd_uc_epithelial:0.408,p=0.048	False
OLAH	11	0	0	0	0	0	0										False
OLFM1	16	1	0	0	0	1	0	ulcerative colitis		0.03957850377023347	0.3503132880238431	1.3592867570805112	1.327249182050089			ibd_uc_stromal:1.36,p=0.04	False
OLFM2	16	0	2	0	0	0	1		psoriasis					0.032587963802333614	-1.751775364509943		False
OLFM3	6	0	0	0	0	0	0										False
OLFM4	14	6	0	2	0	3	0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		3.6329143283003095e-05	0.016210321418572253	5.651583352626967	2.9515327047235234			ibd_uc_epithelial:5.58,p=3.6e-05;ibd_crohn_epithelial:4.68,p=0.00028;t1d_endothelial_cell:5.65,p=0.0023;t1d_acinar_cell:3.05,p=0.015;t1d_ductal_cell:1.45,p=0.027;t1d_stellate_cell:5.2,p=0.031	False
OLFML1	11	0	1	0	1	0	1		ulcerative colitis					0.0003781391061575409	-1.398459822827263		False
OLFML2A	16	0	3	0	0	0	2		Sjogren syndrome;type 1 diabetes mellitus					0.0005716618456587199	-1.814687009563647		False
OLFML2B	15	0	0	0	0	0	0										False
OLFML3	17	0	5	0	0	0	3		Crohn disease;psoriasis;ulcerative colitis					0.0014851145766691142	-2.695786614507629		False
OLIG1	8	1	0	0	0	1	0	Crohn disease		0.0027408322732157962	0.14784605890098404	2.0466421684920664	2.9248648269391913			ibd_crohn_myeloid:2.05,p=0.0027	False
OLIG2	2	0	0	0	0	0	0										False
OLIG3	1	0	1	0	1	0	1		type 1 diabetes mellitus					0.0005995035106377464	-0.7755029090128776		False
OLMALINC	17	0	0	0	0	0	0										False
OLR1	11	2	0	0	0	2	0	Crohn disease;ulcerative colitis		0.010193132359021513	0.23458595985591693	2.437294656562165	1.673673807686585			ibd_uc_myeloid:2.44,p=0.01;ibd_crohn_myeloid:1.68,p=0.044	False
OMA1	17	2	0	1	0	1	0	type 1 diabetes mellitus		0.00010313413347925513	0.037771648599473864	2.3589574911576072	1.4148525369717577			t1d_stellate_cell:2.36,p=0.0001;t1d_ductal_cell:1.72,p=0.036	False
OMD	9	1	1	0	0	1	1	psoriasis	psoriasis	0.044594241239050196	0.4067867496825199	0.5006698801735615	2.7024266989448527	0.013687545352165837	-1.7767685331988041	psoriasis_keratinocyte:0.501,p=0.045	False
OMG	8	1	2	0	0	1	2	Sjogren syndrome	Crohn disease;ulcerative colitis	0.035843021865773254	0.9414172550082021	1.2987874165922055	1.2774091216934673	0.009126132304632098	-2.508971507142167	sjogren_gland_apc:1.3,p=0.036	False
OMP	2	0	0	0	0	0	0										False
ONECUT1	8	0	0	0	0	0	0										False
ONECUT2	12	0	1	0	0	0	1		Crohn disease					0.017015395156085234	-0.9449936634619296		False
ONECUT3	9	0	0	0	0	0	0										False
OOEP	15	0	1	0	0	0	1		type 1 diabetes mellitus					0.004418669641916017	-0.33242542017609533		False
OOSP1	1	0	0	0	0	0	0										False
OOSP2	3	0	0	0	0	0	0										False
OOSP3	6	0	0	0	0	0	0										False
OPA1	17	1	1	1	0	1	1	Crohn disease	type 1 diabetes mellitus	0.000725081339400122	0.07923216329630389	0.7535311566874956	2.769457554245626	0.045552708480405595	-0.43514948473848225	ibd_crohn_epithelial:0.754,p=0.00073	False
OPA1-AS1	4	2	0	0	0	1	0	psoriasis		0.024838542393339727	0.5792247905546628	1.208246594753796	2.4323592241250473			psoriasis_skin_apc:1.21,p=0.025;psoriasis_skin_stromal:0.472,p=0.046	False
OPA3	17	4	0	0	0	2	0	Crohn disease;type 1 diabetes mellitus		0.0023488910985730526	0.16157141390098342	1.5213797422987625	0.8696781687954276			t1d_stellate_cell:1.52,p=0.0023;t1d_endothelial_cell:1.25,p=0.03;ibd_crohn_stromal:0.726,p=0.04;t1d_beta_cell:0.794,p=0.041	False
OPALIN	1	0	0	0	0	0	0										False
OPCML	7	0	0	0	0	0	0										False
OPHN1	17	0	1	0	0	0	1		ulcerative colitis					0.04335129404323568	-1.3061233765535154		False
OPLAH	17	4	0	0	0	3	0	Crohn disease;psoriasis;ulcerative colitis		0.018752709381407447	0.21347913189137213	1.7497732069578538	2.0834467154061245			psoriasis_keratinocyte:1.15,p=0.019;ibd_crohn_epithelial:1.75,p=0.022;ibd_uc_myeloid:1.3,p=0.029;psoriasis_skin_stromal:0.574,p=0.032	False
OPN1LW	2	0	0	0	0	0	0										False
OPN1SW	5	0	0	0	0	0	0										False
OPN3	17	2	0	0	0	1	0	type 1 diabetes mellitus		0.007988737815954905	0.25129399812887193	1.7365683024678882	1.1657242455471994			t1d_stellate_cell:1.74,p=0.008;t1d_acinar_cell:1.43,p=0.033	False
OPN4	5	0	2	0	0	0	2		Sjogren syndrome;ulcerative colitis					0.03081130002917885	-0.8715452758974107		False
OPN5	2	0	0	0	0	0	0										False
OPRD1	12	0	1	0	0	0	1		type 1 diabetes mellitus					0.04294497733462259	-0.38240683171406353		False
OPRK1	2	0	0	0	0	0	0										False
OPRL1	14	1	1	0	0	1	1	psoriasis	type 1 diabetes mellitus	0.033978580844397435	0.7297013371935511	1.5217442234037177	3.4526246804181717	0.02215616866918278	-0.4424897093678236	psoriasis_skin_apc:1.52,p=0.034	False
OPRM1	1	0	0	0	0	0	0										False
OPRPN	4	0	0	0	0	0	0										False
OPTC	2	0	0	0	0	0	0										False
OPTN	17	1	0	0	0	1	0	Crohn disease		0.026012063173712654	0.5502690600846767	0.48118655948256084	1.3969200828754886			ibd_crohn_stromal:0.481,p=0.026	False
OR10A2	1	0	0	0	0	0	0										False
OR10A4	2	0	0	0	0	0	0										False
OR10A5	2	0	0	0	0	0	0										False
OR10AD1	2	0	0	0	0	0	0										False
OR10D3	1	0	0	0	0	0	0										False
OR10G3	6	0	0	0	0	0	0										False
OR10G4	3	0	0	0	0	0	0										False
OR10H1	6	0	0	0	0	0	0										False
OR10H3	1	0	0	0	0	0	0										False
OR10H4	1	0	0	0	0	0	0										False
OR10H5	1	0	0	0	0	0	0										False
OR10K1	5	0	0	0	0	0	0										False
OR10Q1	1	0	0	0	0	0	0										False
OR11G2	12	0	0	0	0	0	0										False
OR11H4	1	0	0	0	0	0	0										False
OR11H7	1	0	0	0	0	0	0										False
OR13A1	1	0	0	0	0	0	0										False
OR14A16	1	0	0	0	0	0	0										False
OR14K1	1	0	0	0	0	0	0										False
OR1A1	5	0	0	0	0	0	0										False
OR1D2	3	0	0	0	0	0	0										False
OR1D4	1	0	0	0	0	0	0										False
OR1I1	7	0	0	0	0	0	0										False
OR1J1	2	0	0	0	0	0	0										False
OR1L3	1	0	0	0	0	0	0										False
OR1L6	2	0	0	0	0	0	0										False
OR1L8	1	0	0	0	0	0	0										False
OR1M1	2	0	0	0	0	0	0										False
OR1Q1	1	0	0	0	0	0	0										False
OR1R1P	1	0	0	0	0	0	0										False
OR1S1	1	0	0	0	0	0	0										False
OR2A1	2	0	0	0	0	0	0										False
OR2A1-AS1	15	1	0	0	0	1	0	Crohn disease		0.04661965831360024	0.2819024878449253	0.46692820592978046	1.265103080420215			ibd_crohn_epithelial:0.467,p=0.047	False
OR2A2	1	0	0	0	0	0	0										False
OR2A25	7	0	1	0	0	0	1		type 1 diabetes mellitus					0.0033521238467221367	-0.40995436197371715		False
OR2A4	2	0	0	0	0	0	0										False
OR2A42	2	0	0	0	0	0	0										False
OR2A5	2	0	0	0	0	0	0										False
OR2A7	7	0	1	0	0	0	1		ulcerative colitis					0.021232404290395853	-0.39614867598377795		False
OR2AE1	3	0	0	0	0	0	0										False
OR2AG2	5	0	0	0	0	0	0										False
OR2AJ1	1	0	0	0	0	0	0										False
OR2AT4	2	0	0	0	0	0	0										False
OR2B11	5	0	0	0	0	0	0										False
OR2B2	2	0	0	0	0	0	0										False
OR2B6	5	0	0	0	0	0	0										False
OR2C3	1	0	0	0	0	0	0										False
OR2D2	1	0	0	0	0	0	0										False
OR2D3	1	0	0	0	0	0	0										False
OR2F1	5	0	0	0	0	0	0										False
OR2G6	2	0	0	0	0	0	0										False
OR2I1P	5	0	0	0	0	0	0										False
OR2K2	2	0	0	0	0	0	0										False
OR2L13	3	0	0	0	0	0	0										False
OR2L2	11	1	0	0	0	1	0	type 1 diabetes mellitus		0.026699883581636875	0.5078228046844044	0.23122190690348388	2.66629829518966			t1d_acinar_cell:0.231,p=0.027	False
OR2L3	3	0	0	0	0	0	0										False
OR2M3	1	0	0	0	0	0	0										False
OR2M4	3	0	0	0	0	0	0										False
OR2T10	3	0	0	0	0	0	0										False
OR2T12	2	0	0	0	0	0	0										False
OR2T33	2	0	0	0	0	0	0										False
OR2V1	3	0	0	0	0	0	0										False
OR2V2	2	0	0	0	0	0	0										False
OR3A1	1	0	0	0	0	0	0										False
OR3A2	3	0	0	0	0	0	0										False
OR3A3	11	1	0	0	0	1	0	type 1 diabetes mellitus		0.032979825916616995	0.43858167537796405	0.964248276972935	1.4254033210688424			t1d_ductal_cell:0.964,p=0.033	False
OR4C3	2	0	0	0	0	0	0										False
OR4D1	4	0	0	0	0	0	0										False
OR4D10	1	0	0	0	0	0	0										False
OR4D2	2	0	0	0	0	0	0										False
OR4D9	14	1	0	0	0	1	0	type 1 diabetes mellitus		0.0030723565715561505	0.1798772893513306	2.082001191517374	1.7773121982342053			t1d_stellate_cell:2.08,p=0.0031	False
OR4E1	1	0	0	0	0	0	0										False
OR4E2	2	0	0	0	0	0	0										False
OR4K2	1	0	0	0	0	0	0										False
OR4N2	3	0	0	0	0	0	0										False
OR51D1	1	0	0	0	0	0	0										False
OR51E1	10	2	0	0	0	2	0	Crohn disease;ulcerative colitis		0.017434122597414718	0.25852662400332477	2.129255353084655	1.6589250573236995			ibd_uc_stromal:2.12,p=0.017;ibd_crohn_stromal:2.13,p=0.041	False
OR51E2	4	0	0	0	0	0	0										False
OR51I1	2	0	0	0	0	0	0										False
OR51I2	1	0	0	0	0	0	0										False
OR51M1	12	0	0	0	0	0	0										False
OR52A1	6	0	0	0	0	0	0										False
OR52A5	1	0	0	0	0	0	0										False
OR52H1	5	0	0	0	0	0	0										False
OR52I1	7	0	0	0	0	0	0										False
OR52I2	1	0	0	0	0	0	0										False
OR52K1	3	0	2	0	0	0	1		psoriasis					0.041584865418840225	-0.6811797312568049		False
OR52K2	2	0	0	0	0	0	0										False
OR52N1	4	0	0	0	0	0	0										False
OR52N2	1	0	0	0	0	0	0										False
OR52N4	1	0	0	0	0	0	0										False
OR52N5	1	0	0	0	0	0	0										False
OR56A1	4	0	0	0	0	0	0										False
OR56A4	1	0	0	0	0	0	0										False
OR56B1	2	0	0	0	0	0	0										False
OR5A1	2	0	0	0	0	0	0										False
OR5AN1	1	0	0	0	0	0	0										False
OR5AS1	7	0	0	0	0	0	0										False
OR5AU1	9	0	0	0	0	0	0										False
OR5B2	3	0	0	0	0	0	0										False
OR5B21	3	0	0	0	0	0	0										False
OR5H1	2	0	0	0	0	0	0										False
OR5H14	5	0	0	0	0	0	0										False
OR5K1	2	0	0	0	0	0	0										False
OR5K2	2	0	0	0	0	0	0										False
OR5K3	1	0	0	0	0	0	0										False
OR6A2	2	0	0	0	0	0	0										False
OR6C4	1	0	0	0	0	0	0										False
OR6C75	5	0	0	0	0	0	0										False
OR6F1	1	0	0	0	0	0	0										False
OR6J1	3	0	0	0	0	0	0										False
OR6M1	2	0	0	0	0	0	0										False
OR6N1	2	0	0	0	0	0	0										False
OR6N2	2	0	0	0	0	0	0										False
OR6Q1	1	0	0	0	0	0	0										False
OR6Y1	2	0	0	0	0	0	0										False
OR7A17	6	0	0	0	0	0	0										False
OR7A5	1	0	0	0	0	0	0										False
OR7C1	5	0	0	0	0	0	0										False
OR7D2	9	0	1	0	0	0	1		psoriasis					0.011142214486240804	-0.7464116601516384		False
OR7E11P	3	0	0	0	0	0	0										False
OR7G2	2	0	0	0	0	0	0										False
OR8A1	3	0	0	0	0	0	0										False
OR8B8	3	1	0	0	0	1	0	psoriasis		0.04463833019113931	0.4067867496825199	0.3208879656773228	1.8972646858096962			psoriasis_keratinocyte:0.321,p=0.045	False
OR8D1	4	0	0	0	0	0	0										False
OR8D4	5	0	1	0	0	0	1		ulcerative colitis					0.004342013798458001	-1.71070656987192		False
OR8G5	2	0	0	0	0	0	0										False
OR8J3	2	0	0	0	0	0	0										False
OR9I1	1	0	0	0	0	0	0										False
OR9Q1	3	0	0	0	0	0	0										False
OR9Q2	2	0	0	0	0	0	0										False
ORAI1	17	2	1	0	0	2	1	Crohn disease;psoriasis	psoriasis	0.0027709732851095084	0.1226471298902874	0.8132448362191322	2.1968510264629826	0.01108574178547201	-0.474599674118533	ibd_crohn_epithelial:0.813,p=0.0028;psoriasis_skin_stromal:0.514,p=0.035	False
ORAI2	17	1	0	0	0	1	0	psoriasis		0.03430761395942847	0.5646879596057841	0.8331819029567389	2.8754917004762808			psoriasis_skin_stromal:0.833,p=0.034	False
ORAI3	17	0	1	0	0	0	1		ulcerative colitis					0.03425630667015015	-0.9662485289935288		False
ORAOV1	6	0	0	0	0	0	0										False
ORC1	14	1	1	0	0	1	1	psoriasis	type 1 diabetes mellitus	0.024331879978977067	0.40019800162873154	1.3489904929764973	2.692104997373791	0.028465123359327764	-0.6195199403437921	psoriasis_keratinocyte:1.35,p=0.024	False
ORC2	17	1	0	0	0	1	0	type 1 diabetes mellitus		0.0046571091942642405	0.19772721435142596	0.8214691868518784	1.1056304275515019			t1d_beta_cell:0.821,p=0.0047	False
ORC3	17	1	1	0	0	1	1	psoriasis	ulcerative colitis	0.043523288247915626	0.7297013371935511	0.8094363715985593	2.1127414341531447	0.017232376213699222	-1.542441188144906	psoriasis_skin_apc:0.809,p=0.044	False
ORC4	17	0	0	0	0	0	0										False
ORC5	17	3	0	0	0	2	0	psoriasis;type 1 diabetes mellitus		0.01209030071756812	0.40019800162873154	1.4046775826521398	2.2736827238491757			psoriasis_skin_apc:1.24,p=0.012;psoriasis_keratinocyte:1.15,p=0.028;t1d_endothelial_cell:1.4,p=0.049	False
ORC6	17	2	0	0	0	1	0	psoriasis		0.015153728225416375	0.3921590108107973	1.109214434045573	2.5704338397214057			psoriasis_keratinocyte:1.02,p=0.015;psoriasis_skin_stromal:1.11,p=0.025	False
ORM1	5	1	0	0	0	1	0	type 1 diabetes mellitus		0.012027331596339782	0.4280659819637966	1.2913659885776454	1.0203549409468142			t1d_acinar_cell:1.29,p=0.012	False
ORM2	3	0	0	0	0	0	0										False
ORMDL1	17	1	0	0	0	1	0	Sjogren syndrome		0.044400787032246626	0.9414172550082021	0.4799340576128701	0.774332981092296			sjogren_gland_apc:0.48,p=0.044	False
ORMDL2	17	3	0	0	0	3	0	psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.006012477592490493	0.1780260582244402	0.9882537094383741	2.007371694662601			ibd_uc_stromal:0.758,p=0.006;psoriasis_keratinocyte:0.892,p=0.034;t1d_endothelial_cell:0.988,p=0.046	False
ORMDL3	17	0	1	0	0	0	1		type 1 diabetes mellitus					0.011729985463289207	-1.019213066027941		False
OS9	17	1	0	0	0	1	0	type 1 diabetes mellitus		0.04182103149424525	0.4624179481012665	0.34280590517548415	0.7827100063758959			t1d_ductal_cell:0.343,p=0.042	False
OSBP	17	1	0	0	0	1	0	Crohn disease		0.003844337887675766	0.13029670758274856	0.6802530444243722	2.004153187970259			ibd_crohn_epithelial:0.68,p=0.0038	False
OSBP2	14	0	1	0	0	0	1		psoriasis					0.026180989612423586	-0.6207721945858813		False
OSBPL10	16	2	1	1	0	2	1	Crohn disease;ulcerative colitis	ulcerative colitis	4.405462206327904e-05	0.032647953554855245	1.579007402082584	3.009978320731224	0.0132376663396255	-0.9803985311040702	ibd_crohn_epithelial:0.842,p=4.4e-05;ibd_uc_epithelial:1.58,p=0.0057	False
OSBPL10-AS1	13	1	0	0	0	1	0	psoriasis		0.014159916383530922	0.527871547606902	0.4374844733114781	3.090671121593292			psoriasis_skin_stromal:0.437,p=0.014	False
OSBPL11	17	0	0	0	0	0	0										False
OSBPL1A	17	0	5	0	0	0	3		Crohn disease;type 1 diabetes mellitus;ulcerative colitis					0.0025365527513235464	-2.3080406021035547		False
OSBPL2	17	0	0	0	0	0	0										False
OSBPL3	17	2	0	0	0	2	0	Crohn disease;ulcerative colitis		0.007243241429650826	0.1926331554212288	2.2556311342978894	1.9236509243891362			ibd_uc_stromal:2.26,p=0.0072;ibd_crohn_stromal:1.35,p=0.036	False
OSBPL5	17	3	0	1	0	2	0	psoriasis;type 1 diabetes mellitus		0.0005816545522376593	0.08849560581493457	1.8591648294872773	1.1340520223886952			t1d_endothelial_cell:1.86,p=0.00058;psoriasis_skin_stromal:0.818,p=0.03;t1d_ductal_cell:0.717,p=0.046	False
