feature_type	feature	contrast	n_case	n_control	mean_case	mean_control	delta_log2	hedges_g	welch_t	p	ols_beta_disease_ms	ols_p_disease_ms	ols_note	fdr
gene	HLA-DRB1	MS_all_vs_CON_all	15	16	14.203797632239283	13.598442405062823	0.6053552271764602	0.6966495746357184	1.997580091501836	0.055237494011834185	0.7217594638926945	0.03319929693511385	HC3 robust SE; covariates disease, region, age, sex	0.21245976976776068
gene	STAT1	MS_all_vs_CON_all	15	16	10.898847491094113	10.33719882437511	0.5616486667190035	0.6968119806037836	1.954008309542348	0.06411777919649668	0.36559100257967514	0.2571928193649411	HC3 robust SE; covariates disease, region, age, sex	0.21245976976776068
gene	CD74	MS_all_vs_CON_all	15	16	16.881926528207547	16.588262816688133	0.2936637115194145	0.6516545692580615	1.855230844298802	0.07405579530988594	0.17723691796878221	0.4155103391539091	HC3 robust SE; covariates disease, region, age, sex	0.21245976976776068
gene	GBP1	MS_all_vs_CON_all	15	16	9.785949051084334	9.299726115837071	0.48622293524726246	0.6427021903380521	1.8360097873665637	0.07667868251133096	0.36147659955799766	0.25333389914896365	HC3 robust SE; covariates disease, region, age, sex	0.21245976976776068
gene	CXCL10	MS_all_vs_CON_all	15	16	8.822016990666159	7.673255079341806	1.1487619113243523	0.6312983648266413	1.801572663552534	0.08212387578135658	0.5981807429310829	0.3131279518563127	HC3 robust SE; covariates disease, region, age, sex	0.21245976976776068
gene	HLA-DRA	MS_all_vs_CON_all	15	16	15.959228400606772	15.612801836282634	0.34642656432413865	0.6223795516940456	1.7834810011086992	0.08498390790710428	0.29010466945572766	0.1415569693341505	HC3 robust SE; covariates disease, region, age, sex	0.21245976976776068
gene	CD44	MS_all_vs_CON_all	15	16	9.60942558736827	8.72853653374159	0.8808890536266798	0.5495740164569483	1.577747196554375	0.12553873121619108	1.4375730391223258	0.02003528874946113	HC3 robust SE; covariates disease, region, age, sex	0.2789749582582024
gene	CTSS	MS_all_vs_CON_all	15	16	13.0054243797618	12.827102854581018	0.17832152518078281	0.4963137506248155	1.4121088641706887	0.16893969467487693	0.289290238283167	0.024131589004829774	HC3 robust SE; covariates disease, region, age, sex	0.3180901125363622
gene	CXCR4	MS_all_vs_CON_all	15	16	13.42489310769191	12.52963800610212	0.8952551015897896	0.48102410787497235	1.3972962464049168	0.17494956189499922	0.9729067248667964	0.04471452220120355	HC3 robust SE; covariates disease, region, age, sex	0.3180901125363622
gene	CTSD	MS_all_vs_CON_all	15	16	13.740162373823894	13.458751268447324	0.28141110537657	0.4372271044005797	1.2260116544399418	0.23375434247802485	0.3176077987952846	0.17500702572506066	HC3 robust SE; covariates disease, region, age, sex	0.3895905707967081
gene	RFX5	MS_all_vs_CON_all	15	16	10.541121651555072	10.481016427383949	0.06010522417112263	0.13801655446578992	0.39484158680002696	0.6958509294677456	-0.031950967457268664	0.875717022882153	HC3 robust SE; covariates disease, region, age, sex	0.8927716323674441
gene	LAMP3	MS_all_vs_CON_all	15	16	4.314027737747096	4.676209139357093	-0.36218140160999734	-0.138144118948865	-0.3915696908384797	0.6984971912169103	0.41981195868446336	0.6714520951882987	HC3 robust SE; covariates disease, region, age, sex	0.8927716323674441
gene	CTSB	MS_all_vs_CON_all	15	16	15.3208463131651	15.396933337371648	-0.07608702420654723	-0.13578599672692002	-0.3809432613953724	0.7070202193230957	-0.2068212743451191	0.4611398973967805	HC3 robust SE; covariates disease, region, age, sex	0.8927716323674441
gene	CIITA	MS_all_vs_CON_all	15	16	12.069737353748184	11.991518674367867	0.07821867938031701	0.11512057120842192	0.3283189073083668	0.7450628314062223	-0.12634336261654194	0.7136297298373965	HC3 robust SE; covariates disease, region, age, sex	0.8927716323674441
gene	LAMP2	MS_all_vs_CON_all	15	16	12.029260244239262	11.999510804934129	0.029749439305133407	0.09705988030423288	0.27327275447536786	0.7870581934086436	0.07972932439293101	0.5308787018897763	HC3 robust SE; covariates disease, region, age, sex	0.8927716323674441
gene	LAMP1	MS_all_vs_CON_all	15	16	12.031036784076347	11.993650969649565	0.03738581442678246	0.08571317618905432	0.241592666103748	0.8111631393330242	0.020902963734722557	0.9036707728334518	HC3 robust SE; covariates disease, region, age, sex	0.8927716323674441
gene	IRF1	MS_all_vs_CON_all	15	16	10.245137019709158	10.194762312412756	0.05037470729640248	0.06639158551006943	0.1901241840613779	0.8505364493572998	0.10218247138732617	0.7556017443510519	HC3 robust SE; covariates disease, region, age, sex	0.8927716323674441
gene	IFI30	MS_all_vs_CON_all	15	16	11.965560384522082	11.93380312334434	0.03175726117774147	0.04730686864994313	0.13600423168027245	0.8927716323674441	0.2280738350360041	0.44025102457379717	HC3 robust SE; covariates disease, region, age, sex	0.8927716323674441
