context	gene	ensembl_id	token_id	n_disease_cells	n_control_cells	n_disease_cells_with_token	mean_shift_to_control_cosine	mean_projection_to_control	mean_embedding_delta_norm	random_mean_shift_to_control_cosine	random_sd_shift_to_control_cosine	random_mean_projection_to_control	interpretation	cosine_shift_z_vs_random	projection_minus_random	candidate_support_flag
psoriasis_stromal	CTSL	ENSG00000135047	6899	24	24	6	0.0003403524460736	0.0046749371103942	0.4242467880249023	-9.881456693013509e-05	0.0005203322269056	-0.0035583173125309	positive_shift_means_deleted_embedding_moved_toward_control_centroid	0.8440127101399197	0.0082332544229251	True
psoriasis_stromal	CTSD	ENSG00000117984	4727	24	24	0				-9.881456693013509e-05	0.0005203322269056	-0.0035583173125309	token_not_detected_in_selected_disease_cells			False
psoriasis_stromal	FABP5	ENSG00000164687	11227	24	24	0				-9.881456693013509e-05	0.0005203322269056	-0.0035583173125309	token_not_detected_in_selected_disease_cells			False
psoriasis_stromal	MSR1	ENSG00000038945	554	24	24	0				-9.881456693013509e-05	0.0005203322269056	-0.0035583173125309	token_not_detected_in_selected_disease_cells			False
psoriasis_stromal	SCARB2	ENSG00000138760	7621	24	24	0				-9.881456693013509e-05	0.0005203322269056	-0.0035583173125309	token_not_detected_in_selected_disease_cells			False
psoriasis_stromal	GPNMB	ENSG00000136235	7137	24	24	1	-0.0007696151733398	-0.0439300313591957	0.4691559672355652	-9.881456693013509e-05	0.0005203322269056	-0.0035583173125309	positive_shift_means_deleted_embedding_moved_toward_control_centroid	-1.2891775133723617	-0.0403717140466648	False
psoriasis_stromal	SPP1	ENSG00000118785	4804	24	24	0				-9.881456693013509e-05	0.0005203322269056	-0.0035583173125309	token_not_detected_in_selected_disease_cells			False
sjogren_APC	LGALS3	ENSG00000131981	6432	24	24	2	0.0005204677581787	-0.0487436242401599	0.8521283268928528	-9.376472896999784e-05	0.0006610989020336	0.0050148423987492	positive_shift_means_deleted_embedding_moved_toward_control_centroid	0.9291083153507942	-0.0537584666389091	False
sjogren_APC	LGALS1	ENSG00000100097	2170	24	24	2	7.677078247070312e-05	-0.0842312276363372	0.7946570515632629	-9.376472896999784e-05	0.0006610989020336	0.0050148423987492	positive_shift_means_deleted_embedding_moved_toward_control_centroid	0.25795763828395163	-0.0892460700350864	False
sjogren_APC	LGALS9	ENSG00000168961	12261	24	24	4	-0.0001847743988037	0.0263421684503555	0.3601099848747253	-9.376472896999784e-05	0.0006610989020336	0.0050148423987492	positive_shift_means_deleted_embedding_moved_toward_control_centroid	-0.13766422777854898	0.0213273260516063	False
sjogren_APC	LGALS3BP	ENSG00000108679	3539	24	24	0				-9.376472896999784e-05	0.0006610989020336	0.0050148423987492	token_not_detected_in_selected_disease_cells			False
sjogren_APC	CD44	ENSG00000026508	457	24	24	2	-0.0001373589038848	-0.0196046698838472	0.4118911623954773	-9.376472896999784e-05	0.0006610989020336	0.0050148423987492	positive_shift_means_deleted_embedding_moved_toward_control_centroid	-0.06594198656313381	-0.024619512282596397	False
sjogren_APC	TYROBP	ENSG00000011600	309	24	24	4	-0.0007492899894714	-0.0546471364796161	0.5772250890731812	-9.376472896999784e-05	0.0006610989020336	0.0050148423987492	positive_shift_means_deleted_embedding_moved_toward_control_centroid	-0.9915691260187351	-0.0596619788783653	False
sjogren_APC	CTSB	ENSG00000164733	11238	24	24	8	-1.154094934463501e-05	-0.0551952309906482	0.7178698778152466	-9.376472896999784e-05	0.0006610989020336	0.0050148423987492	positive_shift_means_deleted_embedding_moved_toward_control_centroid	0.1243744005207618	-0.0602100733893974	False
sjogren_APC	CTSL	ENSG00000135047	6899	24	24	4	0.0003096312284469	0.0486282855272293	0.5662970542907715	-9.376472896999784e-05	0.0006610989020336	0.0050148423987492	positive_shift_means_deleted_embedding_moved_toward_control_centroid	0.6101900278097807	0.0436134431284801	True
sjogren_APC	CTSD	ENSG00000117984	4727	24	24	5	-0.0003832459333352	0.0237387381494045	0.5111294984817505	-9.376472896999784e-05	0.0006610989020336	0.0050148423987492	positive_shift_means_deleted_embedding_moved_toward_control_centroid	-0.43787881582427646	0.018723895750655303	False
sjogren_APC	FABP5	ENSG00000164687	11227	24	24	1	0.0001696348190307	-0.0947525203227996	0.5635850429534912	-9.376472896999784e-05	0.0006610989020336	0.0050148423987492	positive_shift_means_deleted_embedding_moved_toward_control_centroid	0.3984268423233756	-0.0997673627215488	False
sjogren_APC	MSR1	ENSG00000038945	554	24	24	1	0.0008006691932678	0.003777970559895	0.5272381901741028	-9.376472896999784e-05	0.0006610989020336	0.0050148423987492	positive_shift_means_deleted_embedding_moved_toward_control_centroid	1.3529502461529406	-0.0012368718388541997	False
sjogren_APC	SCARB2	ENSG00000138760	7621	24	24	1	0.0004295110702514	0.0490750707685947	0.4661366045475006	-9.376472896999784e-05	0.0006610989020336	0.0050148423987492	positive_shift_means_deleted_embedding_moved_toward_control_centroid	0.7915242297510314	0.0440602283698455	False
sjogren_APC	GPNMB	ENSG00000136235	7137	24	24	1	1.3530254364013672e-05	-0.0053995847702026	0.4581076204776764	-9.376472896999784e-05	0.0006610989020336	0.0050148423987492	positive_shift_means_deleted_embedding_moved_toward_control_centroid	0.1622979300131379	-0.010414427168951801	False
sjogren_APC	SPP1	ENSG00000118785	4804	24	24	0				-9.376472896999784e-05	0.0006610989020336	0.0050148423987492	token_not_detected_in_selected_disease_cells			False
sjogren_epithelial	LGALS3	ENSG00000131981	6432	24	24	1	-0.0001313090324401	0.0194480456411838	0.6227176785469055	-0.0001452217499415	0.0005790566443025	-0.0066734688524674	positive_shift_means_deleted_embedding_moved_toward_control_centroid	0.024026522514318947	0.0261215144936512	False
sjogren_epithelial	LGALS1	ENSG00000100097	2170	24	24	0				-0.0001452217499415	0.0005790566443025	-0.0066734688524674	token_not_detected_in_selected_disease_cells			False
sjogren_epithelial	LGALS9	ENSG00000168961	12261	24	24	0				-0.0001452217499415	0.0005790566443025	-0.0066734688524674	token_not_detected_in_selected_disease_cells			False
sjogren_epithelial	LGALS3BP	ENSG00000108679	3539	24	24	7	-0.0004587599250953	-0.014139050617814	0.5480337142944336	-0.0001452217499415	0.0005790566443025	-0.0066734688524674	positive_shift_means_deleted_embedding_moved_toward_control_centroid	-0.5414637380276863	-0.0074655817653466	False
sjogren_epithelial	CD44	ENSG00000026508	457	24	24	0				-0.0001452217499415	0.0005790566443025	-0.0066734688524674	token_not_detected_in_selected_disease_cells			False
sjogren_epithelial	TYROBP	ENSG00000011600	309	24	24	0				-0.0001452217499415	0.0005790566443025	-0.0066734688524674	token_not_detected_in_selected_disease_cells			False
sjogren_epithelial	CTSB	ENSG00000164733	11238	24	24	1	0.0006846189498901	-0.0052632382139563	0.3561347424983978	-0.0001452217499415	0.0005790566443025	-0.0066734688524674	positive_shift_means_deleted_embedding_moved_toward_control_centroid	1.4330907140029119	0.0014102306385111	False
sjogren_epithelial	CTSL	ENSG00000135047	6899	24	24	3	3.9736431034498316e-08	0.0180089566856622	0.4189414978027344	-0.0001452217499415	0.0005790566443025	-0.0066734688524674	positive_shift_means_deleted_embedding_moved_toward_control_centroid	0.25085885431382715	0.0246824255381296	True
sjogren_epithelial	CTSD	ENSG00000117984	4727	24	24	0				-0.0001452217499415	0.0005790566443025	-0.0066734688524674	token_not_detected_in_selected_disease_cells			False
sjogren_epithelial	FABP5	ENSG00000164687	11227	24	24	0				-0.0001452217499415	0.0005790566443025	-0.0066734688524674	token_not_detected_in_selected_disease_cells			False
sjogren_epithelial	MSR1	ENSG00000038945	554	24	24	0				-0.0001452217499415	0.0005790566443025	-0.0066734688524674	token_not_detected_in_selected_disease_cells			False
