gene	n_sgrna	MHCII_median_low_vs_high_log2	MHCII_mean_low_vs_high_log2	MHCII_positive_sgrna_fraction	MHCII_p	MHCII_t	CD40_median_low_vs_high_log2	CD40_mean_low_vs_high_log2	CD40_positive_sgrna_fraction	CD40_p	CD40_t	PDL1_median_low_vs_high_log2	PDL1_mean_low_vs_high_log2	PDL1_positive_sgrna_fraction	PDL1_p	PDL1_t	MHCII_fdr	MHCII_rank_required_low_vs_high	CD40_fdr	CD40_rank_required_low_vs_high	PDL1_fdr	PDL1_rank_required_low_vs_high
Hc	4	-0.8509423847231193	-0.21620364391571878	0.25	0.7821198244339364	-0.30237293966166956	0.04915370241409138	-0.2999703683923675	0.5	0.5336293107341061	-0.701285120366936	-0.6463566884730925	-0.7255918486185569	0.0	0.09801564902052136	-2.3754971583008286	0.9730754940320135	10342.0	0.9205531597501877	5076.0	0.8688130809597039	9326.0
Cdc25c	4	-0.8510417816921668	-0.914655040203801	0.0	0.03186197706662196	-3.806575069246138	-0.584037408870469	-0.6507567509788614	0.25	0.20219922410039376	-1.6270774423885224	-1.0937369416423774	-0.9364631406604553	0.25	0.10534363266549478	-2.2963170984073926	0.9248624482023996	10343.0	0.889841996245348	8867.0	0.8688130809597039	10671.0
Cntnap1	4	-0.8511233579307278	-1.2163825156575236	0.5	0.37478606428654	-1.040012126545608	0.028521641224043548	-0.009864353958342731	0.5	0.9924341135847891	-0.010292492267245561	0.17050236285427975	0.2692296909518944	0.5	0.5875665450600154	0.6055306376750621	0.9291302535167016	10344.0	0.9988976791585885	5221.0	0.9005166134030406	3850.0
Dtx2	4	-0.8518509956832396	-1.1330599777091206	0.0	0.08838599633340673	-2.4912556128749475	-0.17056536883890827	0.04718587806902741	0.5	0.9310031724996838	0.09404414674248467	-0.8369499679074465	-0.7190026550373229	0.25	0.38849701591703456	-1.0060770272483286	0.9248624482023996	10345.0	0.9879449460601621	6564.0	0.8688130809597039	10012.0
Habp4	4	-0.8518988838796713	-0.6663462531454786	0.25	0.14374757148054698	-1.9678504520032347	-0.6965919087460413	-0.8722443148515989	0.25	0.3154318732832622	-1.2024771931698812	1.1772002214727701	0.6373297884376479	0.75	0.5341801036112247	0.7002704656296876	0.9248624482023996	10346.0	0.8998711791380146	9331.0	0.8870663647132596	449.0
Adamts6	4	-0.8523384974012906	-0.9108832952228112	0.0	0.07546723473638982	-2.673466909176431	-0.20498585455855525	-0.045879686069672354	0.25	0.9268527613599227	-0.09972555330090048	0.08642712719269419	0.05329598598188991	0.5	0.7816420459484016	0.3030631984356137	0.9248624482023996	10347.0	0.9879241690652194	6782.0	0.9514540117589123	4448.0
Whamm	4	-0.8534427524049991	-0.3663654451410668	0.25	0.5663206722470719	-0.6424219003652929	0.038012771126989545	-0.3465386530033163	0.5	0.537217023219164	-0.6946907052455903	-1.0572733098164855	-1.6119577702869217	0.0	0.14707885003255713	-1.944387172113955	0.9374098377664276	10348.0	0.9211623892370244	5154.0	0.8688130809597039	10594.0
Card11	4	-0.8534975204659746	-0.9498913992682221	0.0	0.03323524587379966	-3.744778120515054	0.31766300455768737	-0.2526044584431161	0.5	0.7583387498513244	-0.3369667445042214	-0.7390042935113026	-0.8790317075675875	0.25	0.36965582000904795	-1.0530166020135643	0.9248624482023996	10349.0	0.9546828591729929	3308.0	0.8688130809597039	9689.0
Mcu	4	-0.8536016230384822	-0.5732454012303799	0.25	0.4041141409676405	-0.968779959345922	0.33668241809728783	0.5802140322783832	0.75	0.4070102843583279	0.9620120832735954	-0.7219733941702373	-1.1901020226900916	0.25	0.4010378699320626	-0.9760184752222085	0.9291302535167016	10350.0	0.9063156717736436	3184.0	0.8688130809597039	9626.0
Med14	4	-0.8545091308350449	-1.3598285686829583	0.25	0.3476559202086203	-1.1108504314499785	-1.8724464805685705	-2.0121008010383443	0.0	0.106483178039527	-2.284604718952281	-1.1559755197073043	-0.8700522255927305	0.25	0.6937065353536417	-0.43384572945214317	0.9291302535167016	10351.0	0.889841996245348	11315.0	0.9266860242582643	10785.0
