gene	tested_compartment_count	positive_compartment_count	negative_compartment_count	positive_fdr10_compartment_count	negative_fdr10_compartment_count	positive_disease_count	negative_disease_count	positive_diseases	negative_diseases	best_positive_p	best_positive_fdr	max_positive_delta_log2_cpm	median_positive_hedges_g	best_negative_p	min_negative_delta_log2_cpm	top_positive_compartments	in_lipid_lysosomal_myeloid_neighborhood	ms_wm_delta_log2	ms_wm_hedges_g	ms_wm_p	ms_wm_fdr	opentargets_disease_count	opentargets_diseases	opentargets_max_overall	opentargets_max_genetic_association	opentargets_max_known_drug_or_clinical	opentargets_channels_present	existing_priority_score	existing_weighted_evidence_score	existing_ms_anchor_score	existing_positive_disease_count	existing_negative_disease_count	existing_positive_diseases	existing_negative_diseases	existing_prior_flag	ms_positive_nominal	ms_positive_trend	genetic_or_target_db_breadth	discovery_priority_score	has_ms_anchor	broad_pool_reason	uniprot_status	uniprot_accession	protein_name	sequence_length	uniprot_locations	uniprot_keywords	uniprot_accessible	uniprot_enzymatic_or_catalytic	uniprot_transmembrane_feature_count	uniprot_active_or_binding_features	function_excerpt	family	n_delta_fdr10_positive_diseases	n_delta_trend_or_better_diseases	n_delta_negative_trend_diseases	n_state_resid_non_ifn_r_ge_0_35_diseases	n_confounder_dominant_diseases	rank_score	go_no_go	demotion_or_support_reason	chembl_status	chembl_target_chembl_id	chembl_target_pref_name	chembl_target_type	chembl_target_organism	chembl_target_accessions	chembl_search_hit_count	chembl_url	chembl_activity_count	chembl_activity_values_nM_count	chembl_unique_molecules_returned	chembl_best_standard_value_nM_returned	chembl_median_standard_value_nM_returned	europepmc_query	europepmc_hit_count	europepmc_examples_json	europepmc_url	clinicaltrials_query	clinicaltrials_hit_count	clinicaltrials_examples_json	clinicaltrials_url	prior_flags	google_patents_url	wave39_call	wave39_reason	wave39_score
PPP3CA	17.0	3.0	0.0	0.0	0.0	3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		0.0205854152888919	0.2278588582611697	1.134251689439493	1.3995648663447775			ibd_uc_epithelial:1.13,p=0.021;ibd_crohn_epithelial:0.631,p=0.026;t1d_acinar_cell:0.448,p=0.039	False	0.3662550380794975	0.9635579832567176	0.0343364012152779	0.8506970233122761							1.4374843793644525	-0.0625156206355478	1.5	0.0	0.0				True	True	0.0	19.071874218968222	True	positive_disease_count>=3_with_MS_anchor	found	Q08209	Protein phosphatase 3 catalytic subunit alpha	521.0	Cell membrane;Cell membrane, sarcolemma;Cell projection, dendritic spine;Cytoplasm;Cytoplasm, myofibril, sarcomere, Z line	3D-structure;Acetylation;Alternative splicing;Calmodulin-binding;Cell membrane;Cell projection;Craniosynostosis;Cytoplasm;Disease variant;Dwarfism;Epilepsy;Hydrolase;Intellectual disability;Iron;Membrane;Metal-binding;Nitration;Phosphoprotein;Protein phosphatase;Proteomics identification;Reference proteome;Synapse;Zinc	True	True	0.0	Active site:Proton donor;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site	Calcium-dependent, calmodulin-stimulated protein phosphatase which plays an essential role in the transduction of intracellular Ca(2+)-mediated signals (PubMed:15671020, PubMed:18838687, PubMed:19154138, PubMed:23468591, PubMed:30254215). Many of the substrates contain a PxIxIT motif and/or a LxVP motif (PubMed:17498738, PubMed:17502104, PubMed:22343722, PubMed:23468591, PubMed:27974827). In response to increased Ca(2+) levels, dephosphorylates and activates phosphatase SSH1 which results in cofilin dephosphorylation (PubMed:15671020). In response to increased Ca(2+) levels following mitochondrial depolarization, dephosphorylates DNM1L inducing DNM1L translocation to the mitochondrion (PubMe																															Wave34 genetics/druggability: NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY; no_target_resolved_coloc_or_mr	https://patents.google.com/?q=PPP3CA+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	insufficient_breadth; prior_demoted_or_class_blocked; reachable protein class by UniProt location/features	8.5
RHOF	17.0	3.0	0.0	0.0	0.0	3.0	0.0	Crohn disease;Sjogren syndrome;type 1 diabetes mellitus		0.0131153672458357	0.2491755809733345	1.1926780429927222	0.920996608548408			ibd_crohn_myeloid:1.13,p=0.013;sjogren_gland_stromal:0.876,p=0.027;t1d_stellate_cell:1.19,p=0.032	False	0.958311358264864	0.5565395633110964	0.1915339443614679	0.8993702893651148															False	False	0.0	12.0	True	positive_disease_count>=3_with_MS_anchor	found	Q9HBH0	Rho-related GTP-binding protein RhoF	211.0	Cell membrane;Cytoplasm, cytoskeleton	Acetylation;Alternative splicing;Cell membrane;Cytoplasm;Cytoskeleton;GTP-binding;Lipoprotein;Membrane;Methylation;Nucleotide-binding;Prenylation;Proteomics identification;Reference proteome	True	False	0.0	Binding site;Binding site;Binding site	Plasma membrane-associated small GTPase which cycles between an active GTP-bound and an inactive GDP-bound state. Causes the formation of thin, actin-rich surface projections called filopodia. Functions cooperatively with CDC42 and Rac to generate additional structures, increasing the diversity of actin-based morphology																																https://patents.google.com/?q=RHOF+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	insufficient_breadth; reachable protein class by UniProt location/features	10.0
ROMO1	17.0	4.0	0.0	1.0	0.0	3.0	0.0	Sjogren syndrome;psoriasis;type 1 diabetes mellitus		5.5843759745480903e-05	0.022900027624409	0.888403312950981	1.2476693173815911			t1d_beta_cell:0.716,p=5.6e-05;psoriasis_keratinocyte:0.888,p=0.0082;t1d_acinar_cell:0.767,p=0.012;sjogren_gland_stromal:0.531,p=0.049	False	0.4378196442775728	0.8060766004973745	0.0660650677266765	0.8989378106274888															False	True	0.0	17.0	True	positive_disease_count>=3_with_MS_anchor	found	P60602	Reactive oxygen species modulator 1	79.0	Mitochondrion inner membrane	Alternative splicing;Antibiotic;Antimicrobial;Membrane;Mitochondrion;Mitochondrion inner membrane;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix	True	False	1.0		Induces production of reactive oxygen species (ROS) which are necessary for cell proliferation. May play a role in inducing oxidative DNA damage and replicative senescence. May play a role in the coordination of mitochondrial morphology and cell proliferation Has antibacterial activity against a variety of bacteria including S.aureus, P.aeruginosa and M.tuberculosis. Acts by inducing bacterial membrane breakage																																https://patents.google.com/?q=ROMO1+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	insufficient_breadth; reachable protein class by UniProt location/features	10.0
RYR2	15.0	3.0	0.0	0.0	0.0	3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		0.0119478045744934	0.2269938222609267	2.454313699192237	1.379969256845273			ibd_uc_stromal:2.45,p=0.012;t1d_stellate_cell:0.775,p=0.028;ibd_crohn_stromal:1.82,p=0.049	False	1.7419257483873338	0.64587516052174	0.137559744547624	0.8989378106274888							1.7838603728217448	0.1419301864108723	1.6419301864108724	0.0	0.0				False	True	0.0	14.089193018641089	True	positive_disease_count>=3_with_MS_anchor	found	Q92736	Ryanodine receptor 2	4967.0	Sarcoplasmic reticulum membrane	3D-structure;Alternative splicing;Calcium;Calcium channel;Calcium transport;Calmodulin-binding;Cardiomyopathy;Coiled coil;Developmental protein;Disease variant;Ion channel;Ion transport;Ligand-gated ion channel;Membrane;Phosphoprotein;Proteomics identification;Receptor;Reference proteome;Repeat;Sarcoplasmic reticulum;Transmembrane;Transmembrane helix;Transport	True	False	6.0		Cytosolic calcium-activated calcium channel that mediates the release of Ca(2+) from the sarcoplasmic reticulum into the cytosol and thereby plays a key role in triggering cardiac muscle contraction. Aberrant channel activation can lead to cardiac arrhythmia. In cardiac myocytes, calcium release is triggered by increased Ca(2+) cytosolic levels due to activation of the L-type calcium channel CACNA1C. The calcium channel activity is modulated by formation of heterotetramers with RYR3. Required for cellular calcium ion homeostasis. Required for embryonic heart development																																https://patents.google.com/?q=RYR2+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	insufficient_breadth; reachable protein class by UniProt location/features	10.0
SCD	17.0	5.0	1.0	1.0	0.0	4.0	1.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	ulcerative colitis	0.0001951488150924	0.0498889491681599	3.5155494075923612	2.245733053435906	0.0160363963283292	-2.8386545581094484	psoriasis_keratinocyte:3.52,p=0.0002;ibd_uc_epithelial:2.82,p=0.00053;ibd_crohn_epithelial:2.55,p=0.0018;ibd_uc_stromal:1.46,p=0.041;t1d_endothelial_cell:2.71,p=0.041	False	0.3699574700771606	0.6257125213812322	0.1572805657312676	0.8989378106274888															False	False	0.0	15.0	True	positive_disease_count>=4	found	O00767	Stearoyl-CoA desaturase	359.0	Endoplasmic reticulum membrane	3D-structure;Direct protein sequencing;Endoplasmic reticulum;Fatty acid biosynthesis;Fatty acid metabolism;Iron;Lipid biosynthesis;Lipid metabolism;Membrane;Metal-binding;Oxidoreductase;Phosphoprotein;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix	True	False	4.0	Binding site;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site	Stearoyl-CoA desaturase that utilizes O(2) and electrons from reduced cytochrome b5 to introduce the first double bond into saturated fatty acyl-CoA substrates (PubMed:15907797, PubMed:18765284). Catalyzes the insertion of a cis double bond at the delta-9 position into fatty acyl-CoA substrates including palmitoyl-CoA and stearoyl-CoA (PubMed:15907797, PubMed:18765284). Gives rise to a mixture of 16:1 and 18:1 unsaturated fatty acids (PubMed:15610069). Plays an important role in lipid biosynthesis. Plays an important role in regulating the expression of genes that are involved in lipogenesis and in regulating mitochondrial fatty acid oxidation (By similarity). Plays an important role in body										found	CHEMBL5555	Stearoyl-CoA desaturase	SINGLE PROTEIN	Homo sapiens	O00767	2.0	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=SCD	1320.0	100.0	100.0	0.05	105.0	"""SCD"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	7514.0	"[{""doi"": ""10.3389/fimmu.2026.1726566"", ""id"": ""41983129"", ""source"": ""MED"", ""title"": ""Ferroptosis: unveiling a transformative perspective in the landscape of autoimmune diseases."", ""year"": ""2026""}, {""doi"": ""10.1155/grp/4038190"", ""id"": ""41953070"", ""source"": ""MED"", ""title"": ""Identification of Symptom Clusters and Core Symptoms in Inflammatory Bowel Disease: A Network Analysis in Chinese Cohorts."", ""year"": ""2026""}, {""doi"": ""10.3389/fimmu.2025.1713148"", ""id"": ""41280910"", ""source"": ""MED"", ""title"": ""Immunocyte lipid metabolic reprogramming: a novel pathway for targeted intervention in autoimmune diseases."", ""year"": ""2025""}]"	https://europepmc.org/search?query=%22SCD%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29	SCD autoimmune	5.0	"[{""conditions"": [""Rheumatoid Arthritis"", ""Palindromic Arthritis"", ""Juvenile Rheumatoid Arthritis"", ""Ankylosing Spondylitis"", ""Sacroiliitis"", ""Psoriatic Arthritis"", ""Mixed Connective Tissue Disease"", ""Lupus"", ""Enteropathic Arthropathies"", ""Systemic Sclerosis"", ""Sjogren's Syndrome"", ""Sicca Syndrome"", ""Inflammatory Arthritis"", ""Undifferentiated Connective Tissue Diseases""], ""nct_id"": ""NCT05715463"", ""status"": ""ACTIVE_NOT_RECRUITING"", ""title"": ""Rheumatology-based Adaptive Intervention for Social Determinants and Health Equity""}, {""conditions"": [""Alpha-Thalassemia"", ""Beta-Thalassemia"", ""Amyloidosis"", ""Amyotrophic Lateral Sclerosis"", ""Creutzfeld-Jakob Disease"", ""Cystic Fibrosis"", ""Duchenne Muscular Dystrophy"", ""Early-Onset Alzheimer Disease"", ""Ehlers-Danlos Syndrome"", ""Huntington Disease"", ""Gaucher Disease"", ""GM1 Gangliosidosis"", ""Myasthenia Gravis"", ""Pompe Disease"", ""Sickle Cell Disease"", ""Transthyretin Amyloid Cardiomyopathy"", ""Rare Diseases""], ""nct_id"": ""NCT06539169"", ""status"": ""RECRUITING"", ""title"": ""FLOWER: Following Longitudinal Outcomes With Epidemiology for Rare Diseases""}, {""conditions"": [""Diabetes Mellitus, Type I"", ""Hypoglycemia""], ""nct_id"": ""NCT00351234"", ""status"": ""COMPLETED"", ""title"": ""Carnitine Levels and Carnitine Supplementation in Type I Diabetes""}, {""conditions"": [""All Diagnosed Health Conditions"", ""ADD/ADHD"", ""Alopecia Areata"", ""Ankylosing Spondylitis"", ""Asthma"", ""Atopic Dermatitis Eczema"", ""Beta Thalassemia"", ""Bipolar Disorder"", ""Breast Cancer"", ""Celiac Disease"", ""Cervical Cancer"", ""Chronic Inflammatory Demyelinating Polyneuropathy"", ""Chronic Kidney Diseases"", ""Chronic Obstructive Pulmonary Disease"", ""Colon Cancer"", ""Colorectal Cancer"", ""Crohn's Disease"", ""Cystic Fibrosis"", ""Depression"", ""Diabetes Mellitus"", ""Duchenne Muscular Dystrophy"", ""Endometriosis"", ""Epilepsy"", ""Facioscapulohumeral Muscular Dystrophy"", ""G6PD Deficiency"", ""General Anxiety Disorder"", ""Hepatitis B"", ""Hereditary Hemorrhagic Telangiectasia"", ""HIV/AIDS"", ""Human Papilloma Virus"", ""Huntington's Disease"", ""Idiopathic Thrombocytopenic Purpura"", ""Insomnia"", ""Kidney Cancer"", ""Leukemia"", ""Lung Cancer"", ""Lupus Nephritis"", ""Lymphoma"", ""Melanoma"", ""Multiple Myeloma"", ""Multiple Sclerosis"", ""Myositis"", ""Myotonic Dystrophy"", ""Ovarian Cancer"", ""Pancreatic Cancer"", ""Parkinson's Disease"", ""Polycystic Kidney Diseases"", ""Prostate Cancer"", ""Psoriasis"", ""Psoriatic Arthritis"", ""Rosacea"", ""Scleroderma"", ""Sickle Cell Anemia"", ""Sickle Cell Trait"", ""Sjogren's Syndrome"", ""Skin Cancer"", ""Spinal Muscular Atrophy"", ""Systemic Lupus Erythematosus"", ""Thrombotic Thrombocytopenic Purpura"", ""Trisomy 21"", ""Ulcerative Colitis""], ""nct_id"": ""NCT01931644"", ""status"": ""COMPLETED"", ""title"": ""At-Home Research Study for Patients With Autoimmune, Inflammatory, Genetic, Hematological, Infectious, Neurological, CNS, Oncological, Respiratory, Metabolic Conditions""}, {""conditions"": [""Myocarditis Acute"", ""Myocardial Inflammation""], ""nct_id"": ""NCT03525639"", ""status"": ""COMPLETED"", ""title"": ""CMR Evaluation of Myocardial Inflammation Persistence After Acute Myocarditis: Prognostic Relevance""}]"	https://clinicaltrials.gov/search?term=SCD+autoimmune		https://patents.google.com/?q=SCD+autoimmune+antibody+inhibitor+agonist	PARK_REVIEW	directional_negative_disease_signal; prior_art_or_trial_saturation; reachable protein class by UniProt location/features; ChEMBL exact target found; ChEMBL activity records: 1320	10.5
SEL1L3	17.0	3.0	0.0	1.0	0.0	3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		0.0010368895881306	0.0851932372069878	2.092734190002885	1.807884168162816			ibd_uc_stromal:2.09,p=0.001;ibd_crohn_stromal:1.46,p=0.007;t1d_endothelial_cell:1.55,p=0.0076	False	0.922501683138024	1.11834180243498	0.0181382735511015	0.8372898579012464															True	True	0.0	21.0	True	positive_disease_count>=3_with_MS_anchor	found	Q68CR1	Protein sel-1 homolog 3	1132.0	Membrane	Alternative splicing;Glycoprotein;Membrane;Phosphoprotein;Proteomics identification;Reference proteome;Repeat;Transmembrane;Transmembrane helix	True	False	1.0																																		https://patents.google.com/?q=SEL1L3+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	insufficient_breadth; reachable protein class by UniProt location/features	10.0
SPNS1	17.0	5.0	0.0	0.0	0.0	4.0	0.0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus		0.002552579203456	0.1202095769864437	1.0736029438716854	1.3712897843397718			ibd_crohn_epithelial:1.07,p=0.0026;sjogren_gland_apc:0.892,p=0.022;ibd_crohn_myeloid:0.469,p=0.035;psoriasis_skin_stromal:0.635,p=0.037;t1d_ductal_cell:0.325,p=0.045	False	-0.1044989193858096	-0.3036219395843364	0.4834570887940685	0.926038761164836															False	False	0.0	17.0	False	positive_disease_count>=4	found	Q9H2V7	Protein spinster homolog 1	528.0	Lysosome membrane;Mitochondrion inner membrane	3D-structure;Acetylation;Alternative splicing;Lipid transport;Lysosome;Membrane;Mitochondrion;Mitochondrion inner membrane;Phosphoprotein;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix;Transport	True	False	12.0		Plays a critical role in the phospholipid salvage pathway from lysosomes to the cytosol (PubMed:36161949, PubMed:37075117). Mediates the rate-limiting, proton-dependent, lysosomal efflux of lysophospholipids, which can then be reacylated by acyltransferases in the endoplasmic reticulum to form phospholipids (PubMed:36161949, PubMed:37075117). Selective for zwitterionic headgroups such as lysophosphatidylcholine (LPC) and lysophosphatidylethanolamine (LPE), can also transport lysophosphatidylglycerol (LPG), but not other anionic lysophospholipids, sphingosine, nor sphingomyelin (PubMed:36161949). Transports lysophospholipids with saturated, monounsaturated, and polyunsaturated fatty acids, su										not_found_exact						0.0	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=SPNS1	0.0	0.0				"""SPNS1"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	55.0	"[{""doi"": ""10.1038/s41531-025-01148-z"", ""id"": ""41120349"", ""source"": ""MED"", ""title"": ""Peripheral immune cell-specific genes in Parkinson's disease uncovered by multi-omics with therapeutic implications."", ""year"": ""2025""}, {""doi"": ""10.1007/s10067-025-07693-5"", ""id"": ""41203929"", ""source"": ""MED"", ""title"": ""Inflammatory cytokines mediate the common genetic and immunological background between rheumatoid arthritis and osteoporosis."", ""year"": ""2026""}, {""doi"": ""10.3389/fmed.2025.1693787"", ""id"": ""41384115"", ""source"": ""MED"", ""title"": ""SPP1, LYZ, and MCM5: potential diagnostic biomarkers for rheumatoid arthritis and cervical cancer comorbidity."", ""year"": ""2025""}]"	https://europepmc.org/search?query=%22SPNS1%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29	SPNS1 autoimmune	0.0	[]	https://clinicaltrials.gov/search?term=SPNS1+autoimmune		https://patents.google.com/?q=SPNS1+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	insufficient_breadth; no_ms_anchor; reachable protein class by UniProt location/features	10.0
SRPRB	17.0	3.0	0.0	1.0	0.0	3.0	0.0	Crohn disease;psoriasis;ulcerative colitis		0.0009782529960792	0.0887611741911268	0.9544847491241376	2.191613716085276			ibd_crohn_epithelial:0.883,p=0.00098;ibd_uc_epithelial:0.954,p=0.0035;psoriasis_keratinocyte:0.61,p=0.039	False	0.3675286242333886	0.5375269196499866	0.2065821317720323	0.8993702893651148															False	False	0.0	14.0	True	positive_disease_count>=3_with_MS_anchor	found	Q9Y5M8	Signal recognition particle receptor subunit beta	271.0	Endoplasmic reticulum membrane	3D-structure;Endoplasmic reticulum;GTP-binding;Membrane;Nucleotide-binding;Phosphoprotein;Proteomics identification;Receptor;Reference proteome;Transmembrane;Transmembrane helix	True	False	1.0	Binding site;Binding site;Binding site;Binding site	Component of the signal recognition particle (SRP) complex receptor (SR) (By similarity). Ensures, in conjunction with the SRP complex, the correct targeting of the nascent secretory proteins to the endoplasmic reticulum membrane system (By similarity). May mediate the membrane association of SR (By similarity)																																https://patents.google.com/?q=SRPRB+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	insufficient_breadth; reachable protein class by UniProt location/features	10.0
STARD3NL	17.0	3.0	0.0	0.0	0.0	3.0	0.0	psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0156824190828098	0.2869120920854114	0.7110203178341314	1.4615997254682802			psoriasis_keratinocyte:0.711,p=0.016;ibd_uc_stromal:0.547,p=0.022;t1d_stellate_cell:0.494,p=0.026	False	0.390165879492395	0.6653790243297889	0.123344185153865	0.8989378106274888															False	True	0.0	14.0	True	positive_disease_count>=3_with_MS_anchor	found	O95772	STARD3 N-terminal-like protein	234.0	Late endosome membrane	Acetylation;Alternative initiation;Endosome;Membrane;Phosphoprotein;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix	True	False	4.0		Tethering protein that creates contact site between the endoplasmic reticulum and late endosomes: localizes to late endosome membranes and contacts the endoplasmic reticulum via interaction with VAPA and VAPB (PubMed:24105263)																																https://patents.google.com/?q=STARD3NL+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	insufficient_breadth; reachable protein class by UniProt location/features	10.0
TTYH3	17.0	5.0	0.0	2.0	0.0	3.0	0.0	Crohn disease;psoriasis;ulcerative colitis		5.721484198175509e-05	0.0185970673633638	2.068088033664196	2.4026347479358625			ibd_uc_epithelial:2.07,p=5.7e-05;ibd_crohn_epithelial:1.52,p=0.001;ibd_uc_stromal:1.76,p=0.0025;psoriasis_skin_stromal:0.797,p=0.033;ibd_crohn_stromal:1.35,p=0.043	False	0.3792362363776007	0.5887946841863607	0.1845335127721597	0.8993702893651148							4.232849587204522	1.366424793602261	2.866424793602261	0.0	0.0				False	False	0.0	18.211642479360226	True	positive_disease_count>=3_with_MS_anchor	found	Q9C0H2	Protein tweety homolog 3	523.0	Cell membrane	3D-structure;Alternative splicing;Calcium;Cell membrane;Chloride;Chloride channel;Disulfide bond;Glycoprotein;Ion channel;Ion transport;Membrane;Metal-binding;Phosphoprotein;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix;Transport;Ubl conjugation	True	False	5.0	Binding site;Binding site	Calcium-independent, swelling-dependent volume-regulated anion channel (VRAC-swell) which plays a pivotal role in the process of regulatory volume decrease (RVD) in the brain through the efflux of anions like chloride and organic osmolytes like glutamate (By similarity). Probable large-conductance Ca(2+)-activated chloride channel (PubMed:15010458)																															Wave34 genetics/druggability: NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY; no_target_resolved_coloc_or_mr	https://patents.google.com/?q=TTYH3+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	insufficient_breadth; prior_demoted_or_class_blocked; reachable protein class by UniProt location/features	7.0
