n_requested	latent_event_probability	molecular_progression_hr_per_latent_sd	visit_interval_years	attendance_mechanism	analysis_route	n_simulated_cohorts	n_valid_fits	valid_fit_rate	significant_count	significant_probability	significant_probability_ci_low	significant_probability_ci_high	minimum_seed_probability	maximum_seed_probability	positive_call_probability	negative_call_probability	median_score_z_across_seeds	median_one_step_log_hr_across_seeds	median_usable_n_across_seeds	median_analyzed_events_across_seeds	median_latent_events_across_seeds	median_unconfirmed_latent_events_across_seeds	median_detection_delay_across_seeds	achieved_missing_visit_probability
120	0.15	1.7	0.25	joint_score_progression_risk_20pct	ascertained_latent_time_oracle	1200	779	0.6491666666666667	78	0.065	0.052393091788581946	0.08038307873579742	0.0575	0.075	0.06166666666666667	0.0033333333333333335	0.6554231462824651	0.20498747323390873	108.0	11.0	16.0	6.0	0.15250831496365463	0.19974305555555558
120	0.15	1.7	0.25	joint_score_progression_risk_20pct	detected_visit_time	1200	779	0.6491666666666667	78	0.065	0.052393091788581946	0.08038307873579742	0.0575	0.075	0.06166666666666667	0.0033333333333333335	0.6341397305372612	0.19891918243658124	108.0	11.0	16.0	6.0	0.15250831496365463	0.19974305555555558
120	0.15	1.7	0.25	joint_score_progression_risk_20pct	full_latent_time_oracle	1200	1177	0.9808333333333333	303	0.2525	0.22873564548387454	0.27784389981447916	0.2375	0.2625	0.2525	0.0	1.3728091665665838	0.3874779839790977	108.0	16.0	16.0	6.0	0.15250831496365463	0.19974305555555558
120	0.15	1.7	0.25	joint_score_progression_risk_20pct	midpoint_imputed_time	1200	779	0.6491666666666667	76	0.06333333333333334	0.050897824447329904	0.07855564941239193	0.055	0.0725	0.06	0.0033333333333333335	0.6542912090572647	0.20631590057384938	108.0	11.0	16.0	6.0	0.15250831496365463	0.19974305555555558
120	0.15	1.7	0.25	score_dependent_20pct	ascertained_latent_time_oracle	1200	981	0.8175	135	0.1125	0.09584432365090222	0.13162870181621736	0.1025	0.1275	0.11083333333333334	0.0016666666666666668	0.8868256192598509	0.2842749751056997	108.0	12.0	16.0	4.0	0.16439829341658996	0.1999652777777778
120	0.15	1.7	0.25	score_dependent_20pct	detected_visit_time	1200	981	0.8175	128	0.10666666666666667	0.09043916661039864	0.1254044205304195	0.0975	0.12	0.105	0.0016666666666666668	0.8837939910137139	0.2850610969070567	108.0	12.0	16.0	4.0	0.16439829341658996	0.1999652777777778
120	0.15	1.7	0.25	score_dependent_20pct	full_latent_time_oracle	1200	1169	0.9741666666666666	352	0.29333333333333333	0.26826550855324405	0.31972010502921966	0.275	0.3075	0.29333333333333333	0.0	1.4362054041003067	0.3832554506769783	108.0	16.0	16.0	4.0	0.16439829341658996	0.1999652777777778
120	0.15	1.7	0.25	score_dependent_20pct	midpoint_imputed_time	1200	981	0.8175	128	0.10666666666666667	0.09043916661039864	0.1254044205304195	0.0975	0.1225	0.105	0.0016666666666666668	0.879782647910784	0.2838457801573835	108.0	12.0	16.0	4.0	0.16439829341658996	0.1999652777777778
120	0.15	1.7	0.5	complete	ascertained_latent_time_oracle	1200	997	0.8308333333333333	237	0.1975	0.17595560392228102	0.22097495144237364	0.1875	0.215	0.1975	0.0	1.2856392445878368	0.38607064592840834	108.0	13.0	16.0	3.0	0.25318922781902226	0.0
120	0.15	1.7	0.5	complete	detected_visit_time	1200	997	0.8308333333333333	216	0.18	0.159294768096585	0.20274747228916534	0.165	0.1975	0.18	0.0	1.2481351813886439	0.37496242930863677	108.0	13.0	16.0	3.0	0.25318922781902226	0.0
120	0.15	1.7	0.5	complete	full_latent_time_oracle	1200	1162	0.9683333333333334	322	0.2683333333333333	0.24403186677222335	0.2941132968403771	0.245	0.2925	0.2683333333333333	0.0	1.3405038641276978	0.3693951127682834	108.0	16.0	16.0	3.0	0.25318922781902226	0.0
120	0.15	1.7	0.5	complete	midpoint_imputed_time	1200	997	0.8308333333333333	216	0.18	0.159294768096585	0.20274747228916534	0.165	0.1975	0.18	0.0	1.2481351813886439	0.37496242930863677	108.0	13.0	16.0	3.0	0.25318922781902226	0.0
