analysis	disease_name	compartment	role	gene	candidate_class	metric	n_case_donors	n_control_donors	mean_case	mean_control	delta_case_minus_control	hedges_g	welch_t	p	fdr	positive_fdr10	positive_trend	negative_trend
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	HLA-DOA	hla_ii_loading_editing	mean_log_norm	6.0	6.0	0.004417327593305486	0.00028483829364087094	0.004132489299664615	1.0491315266291648	1.968578200272682	0.10404412996711584	0.3585304045027891	False	False	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	HLA-DOA	hla_ii_loading_editing	detection_fraction	6.0	6.0	0.005353138067779065	0.00019948134849391582	0.005153656719285149	1.0736569169645391	2.0145973575870366	0.09937090049595852	0.35607906011051804	False	True	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	HLA-DOB	hla_ii_loading_editing	mean_log_norm	6.0	6.0	0.0018744335175610762	0.00039364644152284806	0.0014807870760382281	0.9382464221260535	1.7605146792372106	0.13102502735594865	0.38082652973871867	False	False	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	HLA-DOB	hla_ii_loading_editing	detection_fraction	6.0	6.0	0.0031301028181040715	0.0005261553249900027	0.002603947493114069	1.0988061100331235	2.061787011098196	0.09037355489311895	0.33072875407694596	False	True	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	HLA-DPA1	state_markers_positive_controls	mean_log_norm	6.0	6.0	0.1749670719527363	0.043902432074423355	0.13106463987831296	0.9692064199440802	1.818607659228842	0.11304881334369737	0.3585304045027891	False	False	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	HLA-DPA1	state_markers_positive_controls	detection_fraction	6.0	6.0	0.13513399138440424	0.030283478064316038	0.1048505133200882	1.0889687677545477	2.0433283364070953	0.08482782731023286	0.3171823108121751	False	True	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	HLA-DPB1	state_markers_positive_controls	mean_log_norm	6.0	6.0	0.1419030560419509	0.03317136150117438	0.1087316945407765	0.9254543314474357	1.7365117489976167	0.13384494347791556	0.38082652973871867	False	False	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	HLA-DPB1	state_markers_positive_controls	detection_fraction	6.0	6.0	0.11540969647982778	0.023509894894929037	0.09189980158489874	0.9827971675024839	1.8441091799531726	0.11810740483590476	0.3585304045027891	False	False	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	HLA-DRA	state_markers_positive_controls	mean_log_norm	6.0	6.0	0.48100413803858194	0.1168972186894266	0.36410691934915534	1.3330099832332447	2.50124443611956	0.032778290315108316	0.21459136269199833	False	True	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	HLA-DRA	state_markers_positive_controls	detection_fraction	6.0	6.0	0.2945135015920473	0.06961641220835638	0.22489708938369093	1.5770500315886056	2.9591583458553643	0.015737318675641605	0.19334420087216828	False	True	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	HLA-DRB1	state_markers_positive_controls	mean_log_norm	6.0	6.0	0.31392430607292493	0.09046567670056559	0.22345862937235933	1.3613227801432395	2.554370239101424	0.028676961152109874	0.21459136269199833	False	True	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	HLA-DRB1	state_markers_positive_controls	detection_fraction	6.0	6.0	0.22419819295608567	0.05814437655316027	0.1660538164029254	1.5877236405365809	2.9791861816032146	0.014796291539510826	0.19334420087216828	False	True	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	IFI30	hla_ii_loading_editing	mean_log_norm	6.0	6.0	0.041767142009340785	0.039574345167430906	0.002192796841909879	0.10548449860925287	0.19792988691900076	0.8470686562777046	0.9163258420111018	False	False	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	IFI30	hla_ii_loading_editing	detection_fraction	6.0	6.0	0.03620294226501023	0.029744683317331613	0.006458258947678618	0.34781636859861165	0.6526385906266413	0.5295101366473	0.7068448380875625	False	False	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	IGF2R	lysosome_endosome_lipid	mean_log_norm	6.0	6.0	0.14227120065927387	0.1256244099953385	0.016646790663935374	0.45384048005798827	0.8515810008245428	0.4145336927224162	0.6146534064504792	False	False	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	IGF2R	lysosome_endosome_lipid	detection_fraction	6.0	6.0	0.14814335984052	0.11552312150694406	0.03262023833357593	0.5416688691401615	1.0163811690815654	0.3382528843995467	0.5817949611672203	False	False	False
