gene	target_chembl_id	molecule_chembl_id	canonical_smiles	standard_type	standard_relation	standard_value_nM	assay_type	document_chembl_id	bao_label
CTSH	CHEMBL4160	CHEMBL4228576	N#CC1(NC(=O)c2cc([N+](=O)[O-])c3cccnc3c2O)CC1	Ki	=	329000.0	B	CHEMBL4219118	assay format
CTSH	CHEMBL4160	CHEMBL4228921	O=C(NCC1CCN(c2nc3ccccc3o2)CC1)c1cc([N+](=O)[O-])c2cccnc2c1O	Ki	=	108000.0	B	CHEMBL4219118	assay format
CTSH	CHEMBL4160	CHEMBL4229176	Cc1ccc2c([N+](=O)[O-])ccc(O)c2n1	Ki	=	89000.0	B	CHEMBL4219118	assay format
CTSH	CHEMBL4160	CHEMBL4229176	Cc1ccc2c([N+](=O)[O-])ccc(O)c2n1	Ki	=	89000.0	B	CHEMBL4219118	assay format
CTSH	CHEMBL4160	CHEMBL4228126	N#CCNC(=O)c1cc([N+](=O)[O-])c2cccnc2c1O	Ki	=	462000.0	B	CHEMBL4219118	assay format
CTSH	CHEMBL4160	CHEMBL4292287	CSCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCCNC(=N)N)NC(=O)CNC(C)=O)C(=O)NNC(=O)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C)C(=O)N[C@H](CCCNC(=N)N)C(N)=O	Ki	=	7000.0	B	CHEMBL4251609	single protein format
CTSH	CHEMBL4160	CHEMBL4287663	N=C(N)NCCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CO)NC(=O)[C@H](Cc1ccccc1)NC(=O)NNC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)c1ccc(N)cc1)C(=O)N[C@@H](Cc1ccc(O)c([N+](=O)[O-])c1)C(N)=O	Ki	=	1300.0	B	CHEMBL4251609	single protein format
CTSH	CHEMBL4160	CHEMBL5095230	NCCCC[C@H](NC(=O)C1CCCC1)C(=O)COc1c(F)ccc(F)c1F	IC50	=	560.0	B	CHEMBL5727839	single protein format
CTSH	CHEMBL4160	CHEMBL5870472	NCCCCC(NC(=O)C1CCCC1)C(=O)COc1c(F)cccc1F	IC50	=	1550.0	B	CHEMBL5727839	single protein format
CTSH	CHEMBL4160	CHEMBL5848986	NCCCC[C@H](NC(=O)C1CCCC1)C(=O)COc1c(F)c(F)cc(F)c1F	IC50	=	110.0	B	CHEMBL5727839	single protein format
CTSH	CHEMBL4160	CHEMBL5848986	NCCCC[C@H](NC(=O)C1CCCC1)C(=O)COc1c(F)c(F)cc(F)c1F	IC50	=	110.0	B	CHEMBL5727839	single protein format
CTSH	CHEMBL4160	CHEMBL5095230	NCCCC[C@H](NC(=O)C1CCCC1)C(=O)COc1c(F)ccc(F)c1F	IC50	=	560.0	B	CHEMBL5727839	single protein format
CTSH	CHEMBL4160	CHEMBL5870472	NCCCCC(NC(=O)C1CCCC1)C(=O)COc1c(F)cccc1F	IC50	=	1550.0	B	CHEMBL5727839	single protein format
CTSH	CHEMBL4160	CHEMBL6007410	NCCCCC(NC(=O)C1CCCC1)C(=O)COC(C(F)(F)F)C(F)(F)F	IC50	>	10000.0	B	CHEMBL5727839	single protein format
CTSH	CHEMBL4160	CHEMBL5751174	COC(C)(C)C(=O)NC(CCCCN)C(=O)COc1c(F)ccc(F)c1F	IC50	>	10000.0	B	CHEMBL5727839	single protein format
CTSH	CHEMBL4160	CHEMBL5986403	NCCCCC(NC(=O)c1ccccn1)C(=O)COc1c(F)ccc(F)c1F	IC50	>	10000.0	B	CHEMBL5727839	single protein format
CTSH	CHEMBL4160	CHEMBL5764494	NCCCCC(NC(=O)c1ccc(F)nc1)C(=O)COc1ccon1	IC50	>	10000.0	B	CHEMBL5727839	single protein format
CTSH	CHEMBL4160	CHEMBL5817878	COC(C)(C)C(=O)NC(CCCCN)C(=O)COC(C(F)(F)F)C(F)(F)F	IC50	>	10000.0	B	CHEMBL5727839	single protein format
CTSH	CHEMBL4160	CHEMBL5783659	NCCCCC(NC(=O)C1CCCC1)C(=O)COc1c(F)ccc(F)c1F	IC50	=	560.0	B	CHEMBL5729097	single protein format
CTSH	CHEMBL4160	CHEMBL5870472	NCCCCC(NC(=O)C1CCCC1)C(=O)COc1c(F)cccc1F	IC50	=	1550.0	B	CHEMBL5729097	single protein format
CTSH	CHEMBL4160	CHEMBL5848986	NCCCC[C@H](NC(=O)C1CCCC1)C(=O)COc1c(F)c(F)cc(F)c1F	IC50	=	110.0	B	CHEMBL5729097	single protein format
CTSH	CHEMBL4160	CHEMBL5848986	NCCCC[C@H](NC(=O)C1CCCC1)C(=O)COc1c(F)c(F)cc(F)c1F	IC50	=	110.0	B	CHEMBL5729097	single protein format
CTSH	CHEMBL4160	CHEMBL5095230	NCCCC[C@H](NC(=O)C1CCCC1)C(=O)COc1c(F)ccc(F)c1F	IC50	=	560.0	B	CHEMBL5729097	single protein format
CTSH	CHEMBL4160	CHEMBL5870472	NCCCCC(NC(=O)C1CCCC1)C(=O)COc1c(F)cccc1F	IC50	=	1550.0	B	CHEMBL5729097	single protein format
CTSH	CHEMBL4160	CHEMBL6007410	NCCCCC(NC(=O)C1CCCC1)C(=O)COC(C(F)(F)F)C(F)(F)F	IC50	>	10000.0	B	CHEMBL5729097	single protein format
CTSH	CHEMBL4160	CHEMBL5751174	COC(C)(C)C(=O)NC(CCCCN)C(=O)COc1c(F)ccc(F)c1F	IC50	>	10000.0	B	CHEMBL5729097	single protein format
CTSH	CHEMBL4160	CHEMBL5986403	NCCCCC(NC(=O)c1ccccn1)C(=O)COc1c(F)ccc(F)c1F	IC50	>	10000.0	B	CHEMBL5729097	single protein format
CTSH	CHEMBL4160	CHEMBL5764494	NCCCCC(NC(=O)c1ccc(F)nc1)C(=O)COc1ccon1	IC50	>	10000.0	B	CHEMBL5729097	single protein format
