gene	bridge_link_count	bridge_link_disease_count	bridge_link_diseases	upregulated_bridge_link_count	upregulated_bridge_link_disease_count	upregulated_bridge_link_diseases	raw_up_tissue_disease_count	raw_down_tissue_disease_count	case_link_count	best_bridge_link	wave30_axis_count	best_wave30_axis	best_wave30_call	best_wave30_centrality	best_wave30_intervention_score	wave30_prior_blocking	best_wave30_gate_failures	bridge_score	wave103_call	wave103_call_priority
CCL7	0	0		0	0		2	0	0		1	CCL2_CCR2_MONOCYTE_RECRUITMENT	NO_GO_NICHE_DRIVER	2.75	-2.25	False	cross_disease_support_gate;residual_or_state_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	1.875	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
CCR2	1	1	psoriasis	0	0		0	0	0	psoriasis_skin_stromal->psoriasis_skin_apc|inflammatory_nfkb|rho_all=0.886|p_all=0.0188|rho_case=nan|p_case=nan|sender_delta=-0.0207|sender_p=0.347	1	CCL2_CCR2_MONOCYTE_RECRUITMENT	NO_GO_NICHE_DRIVER	2.75	-2.25	False	cross_disease_support_gate;residual_or_state_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	1.875	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
IFNGR2	1	1	Sjogren syndrome	0	0		0	0	0	sjogren_gland_stromal->sjogren_gland_apc|lysosomal_apc|rho_all=0.625|p_all=0.00187|rho_case=0.6|p_case=0.0876|sender_delta=0.0177|sender_p=0.79	1	IFNG_IFNGR_JAK_STAT1_CIITA	CENTRAL_STATE_DRIVER_NOT_SELECTIVE_THERAPEUTIC	20.64	-1.2000000000000002	True	selectivity_window_gate;prior_art_not_blocking_gate	1.8239999999999998	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
TLR9	0	0		0	0		0	0	0		1	SLC15A4_TASL_IRF5_ENDOLYSOSOMAL_TLR	NO_GO_NICHE_DRIVER	8.3	4.85	False	cross_disease_support_gate;residual_or_state_gate;perturbation_or_model_gate;druggable_correct_direction_gate;selectivity_window_gate;prior_art_not_blocking_gate	1.8	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
C3	0	0		0	0		1	0	0		1	ITGAM_CR3_COMPLEMENT_PHAGOCYTOSIS	NO_GO_NICHE_DRIVER	10.37	-3.25	False	cross_disease_support_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	1.637	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
FCER1G	0	0		0	0		1	0	0		1	ITGAM_CR3_COMPLEMENT_PHAGOCYTOSIS	NO_GO_NICHE_DRIVER	10.37	-3.25	False	cross_disease_support_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	1.637	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
PDCD1	1	1	Crohn disease	0	0		0	0	1	ibd_crohn_epithelial->ibd_crohn_myeloid|lysosomal_apc|rho_all=0.121|p_all=0.708|rho_case=0.845|p_case=0.0341|sender_delta=-0.000911|sender_p=0.973	1	CD274_PD1_TOLEROGENIC_CHECKPOINT	NO_GO_NICHE_DRIVER	8.5	-3.5	True	cross_disease_support_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	1.4500000000000002	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
ITGAM	0	0		0	0		0	0	0		2	SPP1_CD44_INTEGRIN_RETENTION	CENTRAL_STATE_DRIVER_NOT_SELECTIVE_THERAPEUTIC	12.01	-0.9500000000000002	False	target_causality_gate;selectivity_window_gate;prior_art_not_blocking_gate	1.0110000000000001	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
LRP1	3	2	Sjogren syndrome;ulcerative colitis	0	0		0	2	1	ibd_uc_epithelial->ibd_uc_myeloid|lysosomal_apc|rho_all=0.622|p_all=0.0307|rho_case=-0.0286|p_case=0.957|sender_delta=0.114|sender_p=0.104	0					False		1.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
PROS1	1	1	Sjogren syndrome	0	0		0	1	1	sjogren_gland_stromal->sjogren_gland_apc|lysosomal_apc|rho_all=0.773|p_all=2.47e-05|rho_case=0.867|p_case=0.0025|sender_delta=-0.0969|sender_p=0.275	0					False		1.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
TNFSF13B	0	0		0	0		3	1	0		0					False		1.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
IFI30	0	0		0	0		1	0	0		1	IFNG_IFNGR_JAK_STAT1_CIITA	CENTRAL_STATE_DRIVER_NOT_SELECTIVE_THERAPEUTIC	20.64	-1.2000000000000002	True	selectivity_window_gate;prior_art_not_blocking_gate	0.8239999999999998	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
C1QA	2	1	psoriasis	0	0		0	1	0	psoriasis_skin_stromal->psoriasis_skin_apc|lysosomal_apc|rho_all=1|p_all=0|rho_case=nan|p_case=nan|sender_delta=0.0805|sender_p=0.434	1	ITGAM_CR3_COMPLEMENT_PHAGOCYTOSIS	NO_GO_NICHE_DRIVER	10.37	-3.25	False	cross_disease_support_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	0.637	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
C1QB	2	1	psoriasis	0	0		0	1	0	psoriasis_keratinocyte->psoriasis_skin_apc|lysosomal_apc|rho_all=0.943|p_all=0.0048|rho_case=nan|p_case=nan|sender_delta=0.139|sender_p=0.369	1	ITGAM_CR3_COMPLEMENT_PHAGOCYTOSIS	NO_GO_NICHE_DRIVER	10.37	-3.25	False	cross_disease_support_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	0.637	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
CXCR3	0	0		0	0		0	0	0		1	CXCL10_CXCR3_RECRUITMENT	NO_GO_NICHE_DRIVER	9.14	-2.25	False	cross_disease_support_gate;residual_or_state_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	0.514	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
SIGLEC10	0	0		0	0		0	0	0		1	CD24_SIGLEC10_DAMP_CHECKPOINT	NO_GO_NICHE_DRIVER	7.3	-1.5	False	cross_disease_support_gate;residual_or_state_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	0.43	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
ADORA2A	0	0		0	0		0	0	0		0					False		0.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
ALOX5	0	0		0	0		0	0	0		0					False		0.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
CCR6	0	0		0	0		0	0	0		0					False		0.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
CD200R1	0	0		0	0		0	0	0		0					False		0.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
CD27	0	0		0	0		0	0	0		0					False		0.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
CFD	0	0		0	0		0	0	0		0					False		0.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
HMGB1	3	2	Crohn disease;Sjogren syndrome	0	0		0	2	0	sjogren_gland_stromal->sjogren_gland_apc|lipid_loader_repair|rho_all=0.565|p_all=0.00612|rho_case=0.383|p_case=0.308|sender_delta=-0.0328|sender_p=0.754	0					False		0.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
IL10	0	0		0	0		0	0	0		0					False		0.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
IL12A	0	0		0	0		0	0	0		0					False		0.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
IL12B	0	0		0	0		0	0	0		0					False		0.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
MMP12	0	0		0	0		0	0	0		0					False		0.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
SCARB1	0	0		0	0		0	0	0		0					False		0.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
TRAF2	1	1	Sjogren syndrome	0	0		0	0	0	sjogren_gland_stromal->sjogren_gland_apc|lysosomal_apc|rho_all=0.617|p_all=0.00221|rho_case=0.733|p_case=0.0246|sender_delta=-0.0189|sender_p=0.646	1	CD40_CD40LG_APC_LICENSING	NO_GO_NICHE_DRIVER	3.505569953951434	-3.485146789462844	True	cross_disease_support_gate;residual_or_state_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	-0.04944300460485662	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
IFNG	0	0		0	0		0	0	0		1	IFNG_IFNGR_JAK_STAT1_CIITA	CENTRAL_STATE_DRIVER_NOT_SELECTIVE_THERAPEUTIC	20.64	-1.2000000000000002	True	selectivity_window_gate;prior_art_not_blocking_gate	-0.17599999999999993	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
TNF	0	0		0	0		1	0	0		1	TNF_TNFR_NFKB	NO_GO_NICHE_DRIVER	7.320515880385907	-2.725290985637585	True	cross_disease_support_gate;residual_or_state_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	-0.6679484119614094	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
AXL	0	0		0	0		1	1	0		0					False		-1.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
C1S	0	0		0	0		2	2	0		0					False		-2.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
CD36	0	0		0	0		0	1	0		0					False		-2.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
MSR1	0	0		0	0		0	1	0		0					False		-2.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
CD40LG	0	0		0	0		0	0	0		1	CD40_CD40LG_APC_LICENSING	NO_GO_NICHE_DRIVER	3.505569953951434	-3.485146789462844	True	cross_disease_support_gate;residual_or_state_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	-2.0494430046048566	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
CCL13	0	0		0	0		0	2	0		0					False		-4.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
IL34	1	1	psoriasis	0	0		0	3	0	psoriasis_keratinocyte->psoriasis_skin_apc|inflammatory_nfkb|rho_all=0.886|p_all=0.0188|rho_case=nan|p_case=nan|sender_delta=-0.46|sender_p=0.0453	0					False		-4.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
CCL8	0	0		0	0		0	2	0		1	CCL2_CCR2_MONOCYTE_RECRUITMENT	NO_GO_NICHE_DRIVER	2.75	-2.25	False	cross_disease_support_gate;residual_or_state_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	-4.125	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
CCL2	0	0		0	0		1	3	0		1	CCL2_CCR2_MONOCYTE_RECRUITMENT	NO_GO_NICHE_DRIVER	2.75	-2.25	False	cross_disease_support_gate;residual_or_state_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	-5.125	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
LGALS3	1	1	psoriasis	0	0		0	4	0	psoriasis_keratinocyte->psoriasis_skin_apc|inflammatory_nfkb|rho_all=0.943|p_all=0.0048|rho_case=nan|p_case=nan|sender_delta=-0.903|sender_p=0.00363	0					False		-6.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
CXCL12	0	0		0	0		0	4	0		0					False		-8.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
