gene	mean_tweak	mean_vehicle	delta_log2	hedges_g	p_value	q_value_bh
BMP2	10.405448361062474	9.155923033309932	1.2495253277525418	7.665515031027873	0.0003157611135743601	0.03224516045489163
FLVCR2	6.6755503084169066	4.829879443708841	1.8456708647080653	8.456935797193074	0.00031709205941425156	0.03224516045489163
HNRNPU	12.687504077361998	12.324024360975537	0.36347971638646115	8.101481740932396	0.0003210177449398878	0.03246790824632562
TBC1D10A	9.486483754818083	8.722827894746047	0.7636558600720367	16.60953405096863	0.00032785295541477437	0.03280017553521415
NUAK2	9.3585179109191	7.809981345484107	1.5485365654349925	13.382838835678587	0.0003293896088728117	0.03280017553521415
HN1L	10.54977785416563	9.855712296992243	0.6940655571733867	7.840258334349399	0.0003295619154839538	0.03280017553521415
BCL2L13	11.915841201922047	12.295284965281638	-0.37944376335959085	-16.33742620896835	0.00033347267885469226	0.03301379520661454
TSHZ3	9.474128500969138	9.979748254910232	-0.5056197539410938	-7.4711413408225615	0.0003353432318814805	0.03302424848281253
S1PR2	10.170041189141022	9.218886241970061	0.951154947170961	17.74925020602336	0.000337526152826547	0.033065192908573404
TP53	11.141396381094973	10.32927125527009	0.8121251258248829	10.018179188344767	0.000341064009050479	0.03323775350699746
TIPARP	10.41921682084548	9.892230294440722	0.5269865264047571	9.268303739847168	0.0003446413410806642	0.03341235302051973
SUN2	10.898197815855468	10.345373559923521	0.552824255931947	8.955141150284781	0.0003468637608771963	0.033454473349346495
FMN2	9.203701657021131	9.909912608454913	-0.706210951433782	-13.4937721471645	0.00035357767899264	0.03380299077784304
ATCAY	5.8521948655846145	6.866196516628052	-1.0140016510434373	-7.718169138986503	0.00035477396220106396	0.03380299077784304
FOSL1	9.397636696539191	7.35172601383676	2.0459106827024307	17.052421184889333	0.0003558970222454748	0.03380299077784304
UBIAD1	9.155634298239983	8.815465388444373	0.34016890979560976	7.526166235955431	0.0003590517050357388	0.03393038612587732
USB1	10.79100659379642	9.999874638006103	0.7911319557903163	8.631691960966148	0.0003655177292119007	0.03418033883843883
CEP85L	7.906625065159116	8.634277215033542	-0.7276521498744257	-7.289877973775996	0.00036733874856019613	0.03418033883843883
SYNGR2	11.548060586811756	10.834379582291161	0.7136810045205948	11.074375739126065	0.00036735822487206176	0.03418033883843883
EFR3B	7.618585397450946	8.882491675132785	-1.2639062776818388	-7.738833493775997	0.0003690037114726441	0.03418033883843883
PFKFB3	11.045394497759526	11.456305847476285	-0.41091134971675913	-13.12179649889226	0.00038088869952541043	0.03510743082177318
ASZ1	0.0	1.1713846131325845	-1.1713846131325845	-33.291296529190674	0.0003847482024417022	0.035141379168158994
GSPT1	11.148114958119534	10.746070929131273	0.40204402898826075	16.570370981616378	0.00038501323977727504	0.035141379168158994
LOXL1	11.613464827666432	11.100280547857276	0.5131842798091562	8.158260869559742	0.0003917455197206506	0.03550565081343758
