path	check	status	detail
knowledge_external/records/ms_disease_course_ppms_context.json	not_project_grounded_marker	PASS	claim.ms_society_uk.ppms_course_context.2026-06-13
knowledge_external/records/ms_disease_course_ppms_context.json	why_unverifiable_present	PASS	claim.ms_society_uk.ppms_course_context.2026-06-13
knowledge_external/records/ms_disease_course_ppms_context.json	not_cited_as_project_evidence	PASS	claim.ms_society_uk.ppms_course_context.2026-06-13
knowledge_external/records/ms_disease_course_rrms_context.json	record_id_present	PASS	claim.national_ms_society.rrms_course_context.2026-06-13
knowledge_external/records/ms_disease_course_rrms_context.json	claim_present	PASS	claim.national_ms_society.rrms_course_context.2026-06-13
knowledge_external/records/ms_disease_course_rrms_context.json	epistemic_class_valid	PASS	claim.national_ms_society.rrms_course_context.2026-06-13
knowledge_external/records/ms_disease_course_rrms_context.json	source_present	PASS	claim.national_ms_society.rrms_course_context.2026-06-13
knowledge_external/records/ms_disease_course_rrms_context.json	date_accessed_present	PASS	claim.national_ms_society.rrms_course_context.2026-06-13
knowledge_external/records/ms_disease_course_rrms_context.json	relationship_valid	PASS	claim.national_ms_society.rrms_course_context.2026-06-13
knowledge_external/records/ms_disease_course_rrms_context.json	not_project_grounded_marker	PASS	claim.national_ms_society.rrms_course_context.2026-06-13
knowledge_external/records/ms_disease_course_rrms_context.json	why_unverifiable_present	PASS	claim.national_ms_society.rrms_course_context.2026-06-13
knowledge_external/records/ms_disease_course_rrms_context.json	not_cited_as_project_evidence	PASS	claim.national_ms_society.rrms_course_context.2026-06-13
knowledge_external/records/ms_disease_course_spms_context.json	record_id_present	PASS	claim.national_ms_society.spms_course_context.2026-06-13
knowledge_external/records/ms_disease_course_spms_context.json	claim_present	PASS	claim.national_ms_society.spms_course_context.2026-06-13
knowledge_external/records/ms_disease_course_spms_context.json	epistemic_class_valid	PASS	claim.national_ms_society.spms_course_context.2026-06-13
knowledge_external/records/ms_disease_course_spms_context.json	source_present	PASS	claim.national_ms_society.spms_course_context.2026-06-13
knowledge_external/records/ms_disease_course_spms_context.json	date_accessed_present	PASS	claim.national_ms_society.spms_course_context.2026-06-13
knowledge_external/records/ms_disease_course_spms_context.json	relationship_valid	PASS	claim.national_ms_society.spms_course_context.2026-06-13
knowledge_external/records/ms_disease_course_spms_context.json	not_project_grounded_marker	PASS	claim.national_ms_society.spms_course_context.2026-06-13
knowledge_external/records/ms_disease_course_spms_context.json	why_unverifiable_present	PASS	claim.national_ms_society.spms_course_context.2026-06-13
knowledge_external/records/ms_disease_course_spms_context.json	not_cited_as_project_evidence	PASS	claim.national_ms_society.spms_course_context.2026-06-13
