design	analysis_route	n_per_outcome_group_per_compartment	n_unique_subjects	n_samples	interaction_effect_sd	paired_residual_correlation	composition_imbalance	composition_reliability	alpha	n_simulated_cohorts	n_valid_fits	valid_fit_rate	conclusive_probability	conclusive_probability_ci_low	conclusive_probability_ci_high	minimum_seed_probability	maximum_seed_probability	median_interaction_estimate_across_seeds	median_interaction_se_across_seeds	maximum_design_condition
paired	composition_adjusted	15	30	60	0.0	0.5	0.5	1.0	0.05	750	750	1.0	0.042666666666666665	0.030382884716889838	0.059611447681364005	0.04	0.048	0.023848028691663914	0.3756425542403926	15.911247406665154
paired	composition_adjusted	15	30	60	0.0	0.8	0.0	0.7	0.05	750	750	1.0	0.06133333333333333	0.046295245145196444	0.08084217572659802	0.06	0.064	0.017501210476572354	0.27657089804442886	14.060472242248442
paired	composition_adjusted	15	30	60	0.0	0.8	0.0	1.0	0.05	750	750	1.0	0.052	0.03826992623985369	0.07029595039517048	0.048	0.056	0.011748542716487273	0.23545074401514834	12.639067061908298
paired	composition_adjusted	15	30	60	0.0	0.8	0.5	0.7	0.05	750	750	1.0	0.08	0.06265603433346555	0.10162447501186962	0.056	0.104	0.13717136279792352	0.28332546588382845	17.535881095658862
paired	composition_adjusted	15	30	60	0.0	0.8	0.5	1.0	0.05	750	750	1.0	0.052	0.03826992623985369	0.07029595039517048	0.036	0.068	0.027086398802336598	0.24299278193389665	22.32624972127245
paired	composition_adjusted	15	30	60	0.4	0.0	0.0	0.7	0.05	750	750	1.0	0.12	0.09865830025020086	0.14521454153843572	0.1	0.136	0.4290997323674597	0.5482968447486383	17.10034371183489
paired	composition_adjusted	15	30	60	0.4	0.0	0.0	1.0	0.05	750	750	1.0	0.12	0.09865830025020086	0.14521454153843572	0.108	0.136	0.4261895521661712	0.5179976249399371	11.04879249189897
paired	composition_adjusted	15	30	60	0.4	0.0	0.5	0.7	0.05	750	750	1.0	0.164	0.1392246160731368	0.19219979140313137	0.144	0.184	0.5253543802238732	0.5400186313700969	15.643684713684186
paired	composition_adjusted	15	30	60	0.4	0.0	0.5	1.0	0.05	750	750	1.0	0.136	0.1133146609275765	0.16239511383838065	0.128	0.148	0.4722968795671525	0.5306393887005564	15.949967090825902
paired	composition_adjusted	15	30	60	0.4	0.5	0.0	0.7	0.05	750	750	1.0	0.172	0.14668026275789273	0.20066261120703568	0.152	0.204	0.39066213057963206	0.3995405710835471	14.97604596422477
paired	composition_adjusted	15	30	60	0.4	0.5	0.0	1.0	0.05	750	750	1.0	0.18533333333333332	0.15915253704684845	0.2147211143991804	0.176	0.204	0.4121380918162465	0.3654002233908671	11.61847478099503
paired	composition_adjusted	15	30	60	0.4	0.5	0.5	0.7	0.05	750	750	1.0	0.21733333333333332	0.18929706107579586	0.24825045632487414	0.2	0.24	0.5327082875864335	0.40495711180981675	19.417835908680843
paired	composition_adjusted	15	30	60	0.4	0.5	0.5	1.0	0.05	750	750	1.0	0.18533333333333332	0.15915253704684845	0.2147211143991804	0.164	0.208	0.4087127161038677	0.37837574136966867	19.963051898658463
paired	composition_adjusted	15	30	60	0.4	0.8	0.0	0.7	0.05	750	750	1.0	0.2813333333333333	0.2503299598763322	0.31456528943362005	0.276	0.292	0.39614506326039045	0.27881327687660407	14.295766595320467
paired	composition_adjusted	15	30	60	0.4	0.8	0.0	1.0	0.05	750	750	1.0	0.3893333333333333	0.3550853535142641	0.4247091933926019	0.36	0.436	0.41762038982922545	0.23277001819117885	10.663046956796776
