analysis	dataset_path	disease_name	compartment	donor_id	disease	group	role	n_cells	cell_types	module	mean_score
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_3	normal	control	target	135	myeloid cell	tl1a_comparator	-0.05712845556093158
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_3	normal	control	target	135	myeloid cell	target_ifn_apc	0.13013198507059973
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_3	normal	control	target	135	myeloid cell	target_hla_ii_apc	0.15148079708991244
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_3	normal	control	target	135	myeloid cell	target_lysosomal_apc	0.07495149116678246
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_3	normal	control	target	135	myeloid cell	target_mif_cd74_receptor_state	0.15340435738371883
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_3	normal	control	target	135	myeloid cell	target_mixscale_validated_ifng_readout	0.07305205679189039
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_3	normal	control	target	135	myeloid cell	target_lipid_loader_repair	-0.0847353577402597
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_3	normal	control	target	135	myeloid cell	target_complement_phagocytosis	-0.0019256045160886304
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_3	normal	control	target	135	myeloid cell	target_hif_nampt_metabolic	-0.16028923267764364
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_3	normal	control	target	135	myeloid cell	target_inflammatory_nfkb	-0.2368520421645794
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_4	normal	control	target	75	myeloid cell	endothelial_entry	0.039735358926495025
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_4	normal	control	target	75	myeloid cell	stromal_retention_fibrosis	0.09242813493034066
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_4	normal	control	target	75	myeloid cell	epithelial_chemokine_entry	0.1804375376606914
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_4	normal	control	target	75	myeloid cell	tls_lymphoid_niche	0.04057181299292342
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_4	normal	control	target	75	myeloid cell	tl1a_comparator	0.17294168854328137
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_4	normal	control	target	75	myeloid cell	target_ifn_apc	0.06753128038178034
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_4	normal	control	target	75	myeloid cell	target_hla_ii_apc	0.2494901143426684
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_4	normal	control	target	75	myeloid cell	target_lysosomal_apc	0.19384977197993056
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_4	normal	control	target	75	myeloid cell	target_mif_cd74_receptor_state	0.21480689412019666
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_4	normal	control	target	75	myeloid cell	target_mixscale_validated_ifng_readout	0.14134903986659708
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_4	normal	control	target	75	myeloid cell	target_lipid_loader_repair	0.17688146543170247
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_4	normal	control	target	75	myeloid cell	target_complement_phagocytosis	0.2519023885551885
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_4	normal	control	target	75	myeloid cell	target_hif_nampt_metabolic	0.02655803823005117
