source	analysis	dataset	disease_name	compartment	axis_family	module	metric	compartment_plausible	n_case	n_control	mean_case	mean_control	delta_case_minus_control	hedges_g	welch_t	p	fdr
direct_h5ad	ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	OSM_OSMR	osm_ligand_inflammatory	high_fraction	True	6	6	0.5508518259537503	0.25718647262033184	0.2936653533334184	2.499427661502477	4.689897007862469	0.0010570510952107122	0.04484362281525638
direct_h5ad	ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	OSM_OSMR	osm_ligand_inflammatory	mean_score	True	6	6	0.5076171401206467	0.006429535582995379	0.5011876045376513	1.9482753648908937	3.65572124571964	0.008780660809372131	0.08495960720487966
direct_h5ad	ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	OSM_OSMR	osm_osmr_core	high_fraction	True	6	6	0.49292606645459647	0.24475392116573347	0.248172145288863	2.118970089082094	3.976010841843015	0.0034002388743276067	0.04484362281525638
direct_h5ad	ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	OSM_OSMR	osm_osmr_core	mean_score	True	6	6	0.36176887559381204	-0.0006163681639789488	0.362385243757791	1.9128908186701168	3.5893260945410557	0.010923378069198813	0.08495960720487966
direct_h5ad	ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	OSM_OSMR	osmr_receptor_response	high_fraction	True	6	6	0.48651588424502507	0.2703217303642061	0.21619415388081897	1.5145375020902438	2.841860562221153	0.019438198963731404	0.0890917452504356
direct_h5ad	ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	OSM_OSMR	osmr_receptor_response	mean_score	True	6	6	0.2962953451867126	0.023269045644593877	0.2730262995421187	1.4429050861518053	2.707450329690681	0.02592022803003604	0.14178517233108084
direct_h5ad	psoriasis_keratinocyte	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin keratinocyte	C1Q_COMPLEMENT	c1q_core	high_fraction	False	3	3	0.026613466881545273	0.007432780600909098	0.019180686280636176	0.8753522860720677	1.340104028784585	0.30651610290756165	0.5214073913144132
direct_h5ad	psoriasis_keratinocyte	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin keratinocyte	C1Q_COMPLEMENT	c1q_core	mean_score	False	3	3	0.1210896704964754	-0.0025845926798751524	0.12367426317635055	0.6999841976429079	1.0716275701478848	0.3905385554613892	0.6508975924356487
direct_h5ad	psoriasis_keratinocyte	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin keratinocyte	C1Q_COMPLEMENT	c1q_phagolysosomal	high_fraction	False	3	3	0.17187739421350598	0.2524696107760836	-0.08059221656257762	-3.572273557700929	-5.468904648752497	0.011136438039944355	0.07656301152461745
direct_h5ad	psoriasis_keratinocyte	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin keratinocyte	C1Q_COMPLEMENT	c1q_phagolysosomal	mean_score	False	3	3	-0.03298682582786548	0.001287296571057277	-0.03427412239892276	-0.9300270966028741	-1.423807396024475	0.2737406147331592	0.5806619100400346
direct_h5ad	psoriasis_keratinocyte	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin keratinocyte	OSM_OSMR	osm_ligand_inflammatory	high_fraction	False	3	3	0.15733371281918254	0.20569528996002318	-0.048361577140840634	-0.29722991832889833	-0.4550385226218239	0.6764118828818239	0.7742967797065495
direct_h5ad	psoriasis_keratinocyte	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin keratinocyte	OSM_OSMR	osm_ligand_inflammatory	mean_score	False	3	3	-0.12930481236174424	-0.045573335061403375	-0.08373147730034086	-0.47364569376165166	-0.7251189178641174	0.5103313349808266	0.7705963490887286
direct_h5ad	psoriasis_keratinocyte	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin keratinocyte	OSM_OSMR	osm_osmr_core	high_fraction	True	3	3	0.20348846917894	0.22250005971201983	-0.019011590533079825	-0.18312937185143385	-0.28035844872025856	0.8000129385639679	0.8461675311734277
direct_h5ad	psoriasis_keratinocyte	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin keratinocyte	OSM_OSMR	osm_osmr_core	mean_score	True	3	3	-0.03929053243540555	-0.03988574652565748	0.0005952140902519346	0.004135495629545215	0.006331158828684792	0.9954323374934156	0.998296617424732
direct_h5ad	psoriasis_keratinocyte	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin keratinocyte	OSM_OSMR	osmr_receptor_response	high_fraction	True	3	3	0.2869341341745036	0.216183750396958	0.07075038377754558	0.46789767800765136	0.71631910184488	0.5146689511115285	0.6904095685642456
direct_h5ad	psoriasis_keratinocyte	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin keratinocyte	OSM_OSMR	osmr_receptor_response	mean_score	True	3	3	0.0701265126354803	-0.0375172936798309	0.1076438063153112	0.5965014285124737	0.9132025816855108	0.4132593776031348	0.6637383685948316
direct_h5ad	psoriasis_skin_apc	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin APC	C1Q_COMPLEMENT	c1q_core	high_fraction	True	3	3	0.3064814814814815	0.23774566473988443	0.0687358167415971	0.2971554996182756	0.45492459270411045	0.6898280401021987	0.7742967797065495
direct_h5ad	psoriasis_skin_apc	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin APC	C1Q_COMPLEMENT	c1q_core	mean_score	True	3	3	0.055427007332753554	-0.03887457247727581	0.09430157981002937	0.14748293613299635	0.2257862120583257	0.8399503204423919	0.9332781338248799
direct_h5ad	psoriasis_skin_apc	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin APC	C1Q_COMPLEMENT	c1q_phagolysosomal	high_fraction	True	3	3	0.32604775828460036	0.23921772639691716	0.0868300318876832	0.40049904082288645	0.613136432806351	0.5990113153541806	0.7719264864970581
direct_h5ad	psoriasis_skin_apc	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin APC	C1Q_COMPLEMENT	c1q_phagolysosomal	mean_score	True	3	3	0.0502612607617696	-0.01493594242174766	0.06519720318351727	0.26310495679335866	0.4027955580879645	0.7236841514624407	0.9034762746509679
direct_h5ad	psoriasis_skin_apc	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin APC	OSM_OSMR	osm_ligand_inflammatory	high_fraction	True	3	3	0.14628411306042885	0.2353063583815029	-0.08902224532107406	-0.7387976851657317	-1.1310483448783848	0.3223245691761827	0.5214073913144132
direct_h5ad	psoriasis_skin_apc	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin APC	OSM_OSMR	osm_ligand_inflammatory	mean_score	True	3	3	-0.3138456201948609	-0.027076277468878585	-0.2867693427259823	-1.2667763876005407	-1.9393473548921571	0.14834176017437217	0.47199650964572964
direct_h5ad	psoriasis_skin_apc	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin APC	OSM_OSMR	osm_osmr_core	high_fraction	True	3	3	0.3112573099415205	0.2586242774566474	0.05263303248487311	0.6324985114299614	0.9683116350458242	0.39887226349495086	0.5867273556132847
direct_h5ad	psoriasis_skin_apc	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin APC	OSM_OSMR	osm_osmr_core	mean_score	True	3	3	0.029621685471287906	0.005181844632632905	0.024439840838655	0.2436184402847873	0.3729630441440142	0.7356878236443596	0.9034762746509679
direct_h5ad	psoriasis_skin_apc	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin APC	OSM_OSMR	osmr_receptor_response	high_fraction	True	3	3	0.18118908382066276	0.23633911368015414	-0.055150029859491384	-0.7038502585112181	-1.0775462429240728	0.34343101393646513	0.5396773076144452
direct_h5ad	psoriasis_skin_apc	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin APC	OSM_OSMR	osmr_receptor_response	mean_score	True	3	3	-0.14171681379608234	-0.01565993922553013	-0.1260568745705522	-0.9458761255958863	-1.4480711672441353	0.24974940725606065	0.5463268283726327
direct_h5ad	sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland APC	C1Q_COMPLEMENT	c1q_core	high_fraction	True	9	13	0.37121012195322173	0.27647918273825656	0.09473093921496517	0.5515549308315387	1.1946291620823628	0.2563947638023784	0.5012074660852259
direct_h5ad	sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland APC	C1Q_COMPLEMENT	c1q_core	mean_score	True	9	13	0.15775163929634753	0.16645236305111635	-0.008700723754768824	-0.030116070371814952	-0.07476069871640968	0.9411780839850492	0.9695216174182101
direct_h5ad	sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland APC	C1Q_COMPLEMENT	c1q_phagolysosomal	high_fraction	True	9	13	0.25281430759896034	0.32149556236547155	-0.06868125476651121	-0.5432526421035646	-1.3583066284589203	0.18988575977919947	0.5012074660852259
direct_h5ad	sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland APC	C1Q_COMPLEMENT	c1q_phagolysosomal	mean_score	True	9	13	0.053601099933214984	0.14205226534591195	-0.08845116541269696	-0.4808484321401355	-1.2852723871213807	0.21421030006506042	0.5463268283726327
direct_h5ad	sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland APC	OSM_OSMR	osm_ligand_inflammatory	high_fraction	True	9	13	0.2998396429394306	0.2893168393551465	0.01052280358428409	0.06755160914686034	0.1754439586393511	0.8625011420067165	0.8784733853772112
