seed	mode	effect	arrival	n_responders	n_nonresponders	mean_p	minimum_p	maximum_mean_e_factor	mean_unique_score_levels
57133	v42_plus_one_mc_tied	0.0	5	8	8	0.5202451894810518	9.999000099990002e-05	0.9803355794052105	4.86072
57133	v42_plus_one_mc_tied	0.0	6	10	10	0.5109982841715828	9.999000099990002e-05	0.9887168438649567	4.94164
57133	v42_plus_one_mc_tied	0.0	7	4	5	0.5513993660633937	0.0058994100589941	0.9456076139997838	4.33142
57133	v42_plus_one_mc_tied	0.0	8	5	5	0.5409764963503649	0.0026997300269973002	0.9560389456244806	4.46026
57133	v42_plus_one_mc_tied	0.0	9	6	6	0.5319155824417559	0.00029997000299970003	0.9672335764962281	4.65766
57133	v42_plus_one_mc_tied	0.0	10	7	7	0.5224793440655935	0.00019998000199980003	0.9746061737960535	4.7823
57133	v42_plus_one_mc_tied	0.0	11	8	8	0.5217244535546445	9.999000099990002e-05	0.9766561347170397	4.8565
57133	v42_plus_one_mc_tied	0.0	12	10	10	0.5114693870612939	9.999000099990002e-05	0.9862320384421009	4.94282
57133	v42_plus_one_mc_tied	0.5	1	4	5	0.36422993500649936	0.005499450054994501	1.211718785388435	4.274
57133	v42_plus_one_mc_tied	0.5	2	5	5	0.34523260073992607	0.0021997800219978004	1.317534140260216	4.38978
57133	v42_plus_one_mc_tied	0.5	3	6	6	0.3160611818818118	0.00039996000399960006	1.6801529993141386	4.5903
57133	v42_plus_one_mc_tied	0.5	4	7	7	0.29378897510248975	9.999000099990002e-05	2.1206063708394183	4.71964
57133	v42_plus_one_mc_tied	0.5	5	8	8	0.27247696830316964	9.999000099990002e-05	2.6654171604123196	4.80872
57133	v42_plus_one_mc_tied	0.5	6	10	10	0.24338494550544948	9.999000099990002e-05	3.741401707725617	4.91048
57133	v42_plus_one_mc_tied	0.5	7	4	5	0.36421342665733425	0.0053994600539946005	1.2156712341842923	4.27522
57133	v42_plus_one_mc_tied	0.5	8	5	5	0.34709400059994	0.0024997500249975004	1.3172737022705217	4.38912
57133	v42_plus_one_mc_tied	0.5	9	6	6	0.315111502849715	0.00039996000399960006	1.6551838912956787	4.5868
57133	v42_plus_one_mc_tied	0.5	10	7	7	0.29108334966503346	9.999000099990002e-05	2.148535677458655	4.72308
57133	v42_plus_one_mc_tied	0.5	11	8	8	0.2738129727027297	9.999000099990002e-05	2.59497424971994	4.80604
57133	v42_plus_one_mc_tied	0.5	12	10	10	0.24410892110788923	9.999000099990002e-05	3.580510679300045	4.90952
