n_simulated_cohorts	n_valid_fits	significant_count	significant_probability	significant_probability_ci_low	significant_probability_ci_high	positive_call_probability	negative_call_probability	median_z	median_one_step_log_hr	median_events	median_usable_n	stack	attendance_mode	death_mode	switch_mode	site_mode	route	n_requested	event_probability_before_ascertainment	molecular_progression_hr	median_latent_events	median_confirmable_events	median_missed_confirmations	median_false_confirmations	seed
800	800	45	0.05625	0.042302391206338136	0.07443886142619935	0.03125	0.025	-0.023350836939839296	-0.001752189105970674	181.0	1350.0	independent_false_2pct	none	independent	none	balanced	guarded_within_site_stratified	1500	0.15	1.0	225.0	174.5	0.0	26.0	55401
800	800	754	0.9425	0.9241539894028944	0.9566167051550823	0.9425	0.0	3.7279102656853733	0.2777412155745844	181.0	1350.0	independent_false_2pct	none	independent	none	balanced	guarded_within_site_stratified	1500	0.15	1.5	224.0	175.0	0.0	26.0	55401
800	800	49	0.06125	0.04663822513060468	0.08005523873987608	0.03375	0.0275	0.03607382172478817	0.0019590485283823675	345.0	1351.0	independent_false_2pct	none	independent	none	balanced	guarded_within_site_stratified	1500	0.3	1.0	450.0	360.0	0.0	23.0	55401
800	800	800	1.0	0.995221123794324	1.0	1.0	0.0	5.319381211884681	0.2870066566580963	347.0	1351.0	independent_false_2pct	none	independent	none	balanced	guarded_within_site_stratified	1500	0.3	1.5	450.0	363.0	0.0	23.0	55401
800	800	114	0.1425	0.11998309788985745	0.16843379859720092	0.14125	0.00125	0.8744335356793291	0.11996819603897778	54.0	405.0	score_false_2pct	none	score	none	balanced	guarded_within_site_stratified	450	0.15	1.0	67.0	52.0	0.0	8.0	55401
800	800	644	0.805	0.776114563409754	0.8309703221047838	0.805	0.0	2.8926264882968535	0.3916135066435268	55.0	405.0	score_false_2pct	none	score	none	balanced	guarded_within_site_stratified	450	0.15	1.5	68.0	53.0	0.0	8.0	55401
800	800	74	0.0925	0.07432404428805912	0.11457073981956688	0.08625	0.00625	0.6019733679968364	0.06034326905730597	104.0	405.0	score_false_2pct	none	score	none	balanced	guarded_within_site_stratified	450	0.3	1.0	135.0	108.0	0.0	7.0	55401
800	800	746	0.9325	0.9129668165719684	0.9478994555101219	0.9325	0.0	3.448250316838503	0.3435800997785212	104.0	405.0	score_false_2pct	none	score	none	balanced	guarded_within_site_stratified	450	0.3	1.5	135.0	109.0	0.0	7.0	55401
800	800	168	0.21	0.1831948079697225	0.23957694022956963	0.20875	0.00125	1.163193223155865	0.11321216811445528	109.0	810.0	score_false_2pct	none	score	none	balanced	guarded_within_site_stratified	900	0.15	1.0	135.0	105.0	0.0	16.0	55401
800	800	785	0.98125	0.96929547305938	0.9886048585926569	0.98125	0.0	4.015589256611485	0.3907176823519207	109.0	810.0	score_false_2pct	none	score	none	balanced	guarded_within_site_stratified	900	0.15	1.5	136.0	105.0	0.0	15.0	55401
800	800	105	0.13125	0.10960261260002592	0.1564218086016602	0.1225	0.00875	0.848433651949424	0.059366262732715586	207.0	810.0	score_false_2pct	none	score	none	balanced	guarded_within_site_stratified	900	0.3	1.0	270.0	217.0	0.0	14.0	55401
800	800	798	0.9975	0.9909308762821831	0.9993141418931695	0.9975	0.0	4.97575621862873	0.35210263596974856	208.0	810.0	score_false_2pct	none	score	none	balanced	guarded_within_site_stratified	900	0.3	1.5	270.0	217.0	0.0	14.0	55401
800	800	276	0.345	0.31287044705878697	0.37861100456497265	0.345	0.0	1.5329345591322765	0.1146961114719119	180.0	1351.0	score_false_2pct	none	score	none	balanced	guarded_within_site_stratified	1500	0.15	1.0	224.0	174.0	0.0	26.0	55401
800	800	800	1.0	0.995221123794324	1.0	1.0	0.0	5.203791006095662	0.38916393043963216	182.0	1351.0	score_false_2pct	none	score	none	balanced	guarded_within_site_stratified	1500	0.15	1.5	226.0	175.5	0.0	26.0	55401
800	800	146	0.1825	0.15727256211512325	0.21076202427548107	0.17875	0.00375	1.0048987282514652	0.05408181305610392	344.0	1350.0	score_false_2pct	none	score	none	balanced	guarded_within_site_stratified	1500	0.3	1.0	450.0	360.0	0.0	23.0	55401
800	800	800	1.0	0.995221123794324	1.0	1.0	0.0	6.290167086328794	0.34363310180432205	347.0	1351.0	score_false_2pct	none	score	none	balanced	guarded_within_site_stratified	1500	0.3	1.5	450.0	362.0	0.0	22.0	55401
800	800	56	0.07	0.05429745287534132	0.0898123806615401	0.0575	0.0125	0.24060481898127062	0.03583454805336697	49.0	405.0	mixed_joint_miss_score_false	joint	score	none	balanced	guarded_within_site_stratified	450	0.15	1.0	68.0	52.0	5.0	8.0	55401
800	800	474	0.5925	0.5580870075909802	0.6260289003109699	0.5925	0.0	2.1839250074137446	0.3150371686751344	49.0	405.5	mixed_joint_miss_score_false	joint	score	none	balanced	guarded_within_site_stratified	450	0.15	1.5	68.0	52.0	5.0	8.0	55401
800	800	51	0.06375	0.04881779223829133	0.08285177725116102	0.005	0.05875	-0.28215968405556174	-0.029070020877001643	94.0	405.0	mixed_joint_miss_score_false	joint	score	none	balanced	guarded_within_site_stratified	450	0.3	1.0	135.0	108.0	11.0	7.0	55401
800	800	524	0.655	0.6213889954350275	0.687129552941213	0.655	0.0	2.3461350700039407	0.24034144170926242	95.0	405.0	mixed_joint_miss_score_false	joint	score	none	balanced	guarded_within_site_stratified	450	0.3	1.5	135.0	109.0	11.0	7.0	55401
800	800	68	0.085	0.06760256509949727	0.10636390215121386	0.06625	0.01875	0.3518475127836673	0.03552464892298378	99.0	810.0	mixed_joint_miss_score_false	joint	score	none	balanced	guarded_within_site_stratified	900	0.15	1.0	135.0	105.0	10.0	16.0	55401
800	800	686	0.8575	0.8315662014027991	0.8800169021101427	0.8575	0.0	2.98074991503338	0.304352097958064	100.0	811.0	mixed_joint_miss_score_false	joint	score	none	balanced	guarded_within_site_stratified	900	0.15	1.5	135.0	105.0	11.0	15.5	55401
800	800	71	0.08875	0.07095812172603243	0.11047250395313614	0.0075	0.08125	-0.5502389546325699	-0.040676143237945696	189.0	810.0	mixed_joint_miss_score_false	joint	score	none	balanced	guarded_within_site_stratified	900	0.3	1.0	270.0	217.0	21.0	13.0	55401
800	800	722	0.9025	0.8799801171730091	0.9211728874814218	0.9025	0.0	3.315349279647898	0.24136403418551478	188.0	810.0	mixed_joint_miss_score_false	joint	score	none	balanced	guarded_within_site_stratified	900	0.3	1.5	270.0	218.0	22.0	14.0	55401
800	800	78	0.0975	0.07882711251857823	0.12001988282699101	0.0875	0.01	0.5055393193360673	0.03920404453479205	165.0	1351.0	mixed_joint_miss_score_false	joint	score	none	balanced	guarded_within_site_stratified	1500	0.15	1.0	225.0	175.0	17.0	26.0	55401
800	800	785	0.98125	0.96929547305938	0.9886048585926569	0.98125	0.0	3.940515341690802	0.30691279370224017	166.0	1350.0	mixed_joint_miss_score_false	joint	score	none	balanced	guarded_within_site_stratified	1500	0.15	1.5	226.0	175.0	17.0	27.0	55401
800	800	75	0.09375	0.07544822433653306	0.11593461258057874	0.005	0.08875	-0.6245213625291579	-0.03556123547028711	313.0	1350.0	mixed_joint_miss_score_false	joint	score	none	balanced	guarded_within_site_stratified	1500	0.3	1.0	449.0	361.0	36.0	23.0	55401
800	800	787	0.98375	0.972397248033771	0.9904791892372375	0.98375	0.0	4.381043076104734	0.2462398709487632	314.0	1350.0	mixed_joint_miss_score_false	joint	score	none	balanced	guarded_within_site_stratified	1500	0.3	1.5	449.0	362.0	36.0	23.0	55401
800	800	41	0.05125	0.038000874036155985	0.06878816735843825	0.02375	0.0275	0.005670972289890104	0.0008248128400786942	47.0	405.0	complete	none	none	none	balanced	guarded_within_site_stratified	450	0.15	1.0	67.0	52.0	0.0	0.0	55403
800	800	481	0.60125	0.566914074962409	0.6346182026059416	0.60125	0.0	2.24414666128152	0.32799805537435905	47.0	405.0	complete	none	none	none	balanced	guarded_within_site_stratified	450	0.15	1.5	67.0	52.0	0.0	0.0	55403
800	800	41	0.05125	0.038000874036155985	0.06878816735843825	0.0275	0.02375	0.010364502595554265	0.001025697752467282	97.0	405.0	complete	none	none	none	balanced	guarded_within_site_stratified	450	0.3	1.0	135.0	108.0	0.0	0.0	55403
800	800	689	0.86125	0.8355643198451779	0.8834829420962211	0.86125	0.0	2.972893193356389	0.3044029367960325	98.0	405.0	complete	none	none	none	balanced	guarded_within_site_stratified	450	0.3	1.5	135.0	109.0	0.0	0.0	55403
800	800	38	0.0475	0.03480005831285475	0.06452482465328206	0.015	0.0325	-0.008478251113664065	-0.0008871950842339346	94.0	810.0	complete	none	none	none	balanced	guarded_within_site_stratified	900	0.15	1.0	134.0	104.0	0.0	0.0	55403
800	800	693	0.86625	0.8409042179602448	0.8880952552190975	0.86625	0.0	3.024528062334765	0.308924452627976	95.0	810.0	complete	none	none	none	balanced	guarded_within_site_stratified	900	0.15	1.5	135.0	106.0	0.0	0.0	55403
800	800	31	0.03875	0.027431519536182523	0.05447699376355362	0.02125	0.0175	0.013963779622420007	0.0010242770535525926	194.0	810.0	complete	none	none	none	balanced	guarded_within_site_stratified	900	0.3	1.0	270.0	216.0	0.0	0.0	55403
800	800	794	0.9925	0.9837345257103466	0.9965582812270627	0.9925	0.0	4.290507008981969	0.3098518324994338	195.0	810.0	complete	none	none	none	balanced	guarded_within_site_stratified	900	0.3	1.5	269.5	217.0	0.0	0.0	55403
