predictor	analysis	disease_name	compartment	role	n_case	rho	p
gene:AGRN	psoriasis_skin_apc	psoriasis	skin APC	myeloid_apc	3	-0.5	0.6666666666666666
gene:AGRN	psoriasis_skin_stromal	psoriasis	skin stromal	tissue_resident	3	-0.5	0.6666666666666666
gene:AGRN	sjogren_gland_apc	Sjogren syndrome	salivary gland APC	myeloid_apc	9	0.31799441532717476	0.40432253596792306
gene:AGRN	sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	tissue_resident	11	0.6545454545454547	0.028864598957001896
gene:AGRN	sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	10	0.2606060606060606	0.46708905438634013
gene:AGRN	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	5	-0.49999999999999994	0.3910022189557703
gene:AGRN	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	3	0.5	0.6666666666666666
gene:AGRN	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	5	0.49999999999999994	0.3910022189557703
gene:AGRN	t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	5	0.9999999999999999	1.4042654220543602e-24
gene:AGRN	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	4	0.7999999999999999	0.2000000000000001
gene:ANGPTL4	ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	6	-0.7714285714285715	0.07239650145772594
gene:ANGPTL4	ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	6	-0.033806170189140665	0.9493100625278257
gene:ANGPTL4	ibd_crohn_stromal	Crohn disease	colon stromal	tissue_resident	6	-0.08571428571428573	0.8717434402332361
gene:ANGPTL4	ibd_uc_epithelial	ulcerative colitis	colon epithelial	tissue_resident	6	-0.6	0.208
gene:ANGPTL4	ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	6	-0.4058397249567139	0.42466250756136437
gene:ANGPTL4	ibd_uc_stromal	ulcerative colitis	colon stromal	tissue_resident	6	-0.3714285714285715	0.4684781341107872
gene:ANGPTL4	psoriasis_keratinocyte	psoriasis	skin keratinocyte	tissue_resident	3	-0.5	0.6666666666666666
gene:ANGPTL4	psoriasis_skin_apc	psoriasis	skin APC	myeloid_apc	3	1.0	0.0
gene:ANGPTL4	psoriasis_skin_stromal	psoriasis	skin stromal	tissue_resident	3	-0.5	0.6666666666666666
gene:ANGPTL4	sjogren_gland_apc	Sjogren syndrome	salivary gland APC	myeloid_apc	9	0.18257418583505536	0.6382401514757153
gene:ANGPTL4	sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	tissue_resident	11	0.5181818181818182	0.10249153979096377
gene:ANGPTL4	sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	10	0.32121212121212117	0.3654683104386705
gene:ANGPTL4	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	5	0.3	0.623837664781073
gene:ANGPTL4	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	3	1.0	0.0
gene:ANGPTL4	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	5	0.3	0.623837664781073
gene:ANGPTL4	t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	5	0.7999999999999999	0.10408803866182788
gene:ANGPTL4	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	4	0.7999999999999999	0.2000000000000001
gene:ANKRD22	ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	6	0.08571428571428573	0.8717434402332361
gene:ANKRD22	ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	6	-0.48571428571428577	0.3287230320699708
