predictor	analysis	disease_name	compartment	n_case	n_control	delta_case_minus_control_z	p	positive_nominal
gene:ITGA2	sjogren_gland_apc	Sjogren syndrome	salivary gland APC	9	13	0.18386180869549046	0.6948048166754883	False
gene:ITGA2	sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	11	14	-0.3547466786384504	0.37250791736224764	False
gene:ITGA2	sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	10	14	0.12778635821291076	0.7777277939317931	False
gene:ITGA2	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	5	18	0.776852928845286	0.42054226514246634	False
gene:ITGA2	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	3	19	1.9140694829097027	0.2472277903690289	False
gene:ITGA2	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	5	19	0.11692340170309365	0.8565540867329862	False
gene:ITGA2	t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	5	17	1.3280732704113143	0.09433238496758552	True
gene:ITGA2	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	4	17	1.308418751440997	0.2752862696258826	False
gene:SLPI	ibd_crohn_epithelial	Crohn disease	colon epithelial	6	6	0.7975337659028969	0.19080660817649361	False
gene:SLPI	ibd_crohn_myeloid	Crohn disease	colon myeloid	6	6	0.9528346357995842	0.1293645871155968	False
gene:SLPI	ibd_crohn_stromal	Crohn disease	colon stromal	6	6	0.057932233869911254	0.925876611459924	False
gene:SLPI	ibd_uc_epithelial	ulcerative colitis	colon epithelial	6	6	1.4227453253719833	0.010337815772631868	True
gene:SLPI	ibd_uc_myeloid	ulcerative colitis	colon myeloid	6	6	1.4774670464928619	0.011913321025324733	True
gene:SLPI	ibd_uc_stromal	ulcerative colitis	colon stromal	6	6	1.4137765675717073	0.016814916805598937	True
gene:SLPI	psoriasis_keratinocyte	psoriasis	skin keratinocyte	3	3	1.1849232427083787	0.18305165845863586	False
gene:SLPI	psoriasis_skin_apc	psoriasis	skin APC	3	3	0.009186249814624773	0.9925249558931034	False
gene:SLPI	psoriasis_skin_stromal	psoriasis	skin stromal	3	3	-1.488493246432678	0.09411091151898564	False
gene:SLPI	sjogren_gland_apc	Sjogren syndrome	salivary gland APC	9	13	0.5305578655478117	0.3003306987494115	False
gene:SLPI	sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	11	14	0.3988631915867922	0.3095120215442924	False
gene:SLPI	sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	10	14	0.5687540955833141	0.21604210795788972	False
gene:SLPI	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	5	18	1.1542440540361045	0.12113385134190102	False
gene:SLPI	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	3	19	0.2654959928564087	0.6242316784231215	False
gene:SLPI	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	5	19	0.003364164790289377	0.9933280198464759	False
gene:SLPI	t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	5	17	1.1210986333937782	0.09831271566367736	True
gene:SLPI	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	4	17	1.5017828577948744	0.1899045363347725	False
gene:MERTK	ibd_crohn_epithelial	Crohn disease	colon epithelial	6	6	-0.5818822662580478	0.33701720707270133	False
gene:MERTK	ibd_crohn_myeloid	Crohn disease	colon myeloid	6	6	-0.5576564188740827	0.3674437303019931	False
gene:MERTK	ibd_crohn_stromal	Crohn disease	colon stromal	6	6	0.576250508496666	0.35155437232116526	False
gene:MERTK	ibd_uc_epithelial	ulcerative colitis	colon epithelial	6	6	-1.4195015748551363	0.01727687176817724	False
gene:MERTK	ibd_uc_myeloid	ulcerative colitis	colon myeloid	6	6	0.00543307274341039	0.9930899018412107	False
gene:MERTK	ibd_uc_stromal	ulcerative colitis	colon stromal	6	6	-0.8294104753375389	0.17869597628954403	False
gene:MERTK	psoriasis_keratinocyte	psoriasis	skin keratinocyte	3	3	-0.43690056845554254	0.6492244786732602	False
gene:MERTK	psoriasis_skin_apc	psoriasis	skin APC	3	3	0.41002215296990574	0.6900786197742775	False
gene:MERTK	psoriasis_skin_stromal	psoriasis	skin stromal	3	3	-0.8506530644070991	0.3880459643287406	False
gene:MERTK	sjogren_gland_apc	Sjogren syndrome	salivary gland APC	9	13	-0.9778855116527021	0.01077917893015813	False
gene:MERTK	sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	11	14	-0.10510454777679232	0.8027489483473694	False
gene:MERTK	sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	10	14	-0.3816743560288708	0.3608078487768192	False
gene:MERTK	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	5	18	-0.4714973917568399	0.2396233417467621	False
gene:MERTK	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	3	19	0.33747607723439393	0.7422819213781361	False
gene:MERTK	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	5	19	-0.5408045091429864	0.11140087876306388	False
gene:MERTK	t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	5	17	-0.2991929161036615	0.3735480365898531	False
gene:MERTK	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	4	17	-0.4524756612083407	0.15083984606271605	False
gene:CALR	ibd_crohn_epithelial	Crohn disease	colon epithelial	6	6	1.533843418899804	0.0039274314924137715	True
gene:CALR	ibd_crohn_myeloid	Crohn disease	colon myeloid	6	6	0.1722729756743241	0.7830438830060794	False
gene:CALR	ibd_crohn_stromal	Crohn disease	colon stromal	6	6	1.3425337710252254	0.012971956490064574	True
gene:CALR	ibd_uc_epithelial	ulcerative colitis	colon epithelial	6	6	1.6545180523353296	0.0006908376066452162	True
gene:CALR	ibd_uc_myeloid	ulcerative colitis	colon myeloid	6	6	1.3527139448378043	0.01128940738920418	True
gene:CALR	ibd_uc_stromal	ulcerative colitis	colon stromal	6	6	0.6715872521297053	0.2781871287867375	False
gene:CALR	psoriasis_keratinocyte	psoriasis	skin keratinocyte	3	3	1.435961945809235	0.06372914603731465	True
gene:CALR	psoriasis_skin_apc	psoriasis	skin APC	3	3	1.2979873410589535	0.1278511247597248	False
gene:CALR	psoriasis_skin_stromal	psoriasis	skin stromal	3	3	1.5961395321275902	0.0365706580925543	True
gene:CALR	sjogren_gland_apc	Sjogren syndrome	salivary gland APC	9	13	-0.1404529109361332	0.7380973694774937	False
gene:CALR	sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	11	14	-0.3827454064443353	0.35953867432528175	False
gene:CALR	sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	10	14	-0.25665289933700375	0.5122417843546627	False
gene:CALR	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	5	18	1.0438904979893278	0.06691799923313194	True
gene:CALR	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	3	19	-0.39450985010234224	0.6383402482424764	False
gene:CALR	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	5	19	0.34703812802650447	0.5646416041176838	False
gene:CALR	t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	5	17	0.6698245312672914	0.3115850235012494	False
gene:CALR	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	4	17	0.513271902926717	0.5169303258843932	False
gene:GABARAPL2	ibd_crohn_epithelial	Crohn disease	colon epithelial	6	6	0.03944284049846049	0.9493444459101129	False
gene:GABARAPL2	ibd_crohn_myeloid	Crohn disease	colon myeloid	6	6	0.8525562367800855	0.149468695078369	False
gene:GABARAPL2	ibd_crohn_stromal	Crohn disease	colon stromal	6	6	0.853122414244085	0.15861816277355306	False
gene:GABARAPL2	ibd_uc_epithelial	ulcerative colitis	colon epithelial	6	6	-1.0336960476286137	0.07181368999857707	False
gene:GABARAPL2	ibd_uc_myeloid	ulcerative colitis	colon myeloid	6	6	0.19892963077760928	0.7481280649072584	False
gene:GABARAPL2	ibd_uc_stromal	ulcerative colitis	colon stromal	6	6	0.043459026320505814	0.9442887835565048	False
gene:GABARAPL2	psoriasis_keratinocyte	psoriasis	skin keratinocyte	3	3	-1.7639520288274153	0.011509295516024323	False
gene:GABARAPL2	psoriasis_skin_apc	psoriasis	skin APC	3	3	-0.3823813390363715	0.7046352337325051	False
gene:GABARAPL2	psoriasis_skin_stromal	psoriasis	skin stromal	3	3	-0.9688881126901298	0.27936340847692526	False
gene:GABARAPL2	sjogren_gland_apc	Sjogren syndrome	salivary gland APC	9	13	0.35596135172936527	0.38024284299438454	False
gene:GABARAPL2	sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	11	14	0.0015943357359951187	0.9969795087966355	False
gene:GABARAPL2	sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	10	14	0.2785695056572659	0.47476012438934834	False
gene:GABARAPL2	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	5	18	1.0741745065765085	0.16853587358372388	False
gene:GABARAPL2	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	3	19	-0.2572664091259592	0.7428250952481962	False
gene:GABARAPL2	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	5	19	0.8077255819012771	0.26181953351941667	False
gene:GABARAPL2	t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	5	17	-0.3327827085084954	0.43153430620941896	False
gene:GABARAPL2	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	4	17	0.10411368183187257	0.8655222952885613	False
gene:SERPINB1	ibd_crohn_epithelial	Crohn disease	colon epithelial	6	6	1.1873161639998115	0.03663475934423052	True
gene:SERPINB1	ibd_crohn_myeloid	Crohn disease	colon myeloid	6	6	0.6116529735090763	0.311953972586267	False
gene:SERPINB1	ibd_crohn_stromal	Crohn disease	colon stromal	6	6	-0.39585979265649024	0.5223226077019697	False
gene:SERPINB1	ibd_uc_epithelial	ulcerative colitis	colon epithelial	6	6	1.4604043356073928	0.009036277104686203	True
gene:SERPINB1	ibd_uc_myeloid	ulcerative colitis	colon myeloid	6	6	1.3997538033327261	0.00854267692688269	True
gene:SERPINB1	ibd_uc_stromal	ulcerative colitis	colon stromal	6	6	0.12247086522092798	0.843693885470305	False
gene:SERPINB1	psoriasis_keratinocyte	psoriasis	skin keratinocyte	3	3	1.6809034466297095	0.040134384485399556	True
gene:SERPINB1	psoriasis_skin_apc	psoriasis	skin APC	3	3	0.4892960091970082	0.6231401146775498	False
gene:SERPINB1	psoriasis_skin_stromal	psoriasis	skin stromal	3	3	-1.524945704936549	0.07994407020694239	False
gene:SERPINB1	sjogren_gland_apc	Sjogren syndrome	salivary gland APC	9	13	-0.3823321873120278	0.3649984016413712	False
gene:SERPINB1	sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	11	14	-0.24316096123834058	0.5371195195197648	False
gene:SERPINB1	sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	10	14	-0.08160763205799555	0.8540889396043524	False
gene:SERPINB1	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	5	18	0.02280511790854267	0.9766768866338491	False
gene:SERPINB1	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	3	19	-0.17007040583109717	0.8329838868878413	False
gene:SERPINB1	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	5	19	-0.18976998517709998	0.7695932167893063	False
gene:SERPINB1	t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	5	17	0.24234186460032894	0.533228182162247	False
gene:SERPINB1	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	4	17	0.810621104256867	0.35410176637677665	False
gene:PLEK2	ibd_crohn_epithelial	Crohn disease	colon epithelial	6	6	1.2939829477015972	0.01833664178741201	True
gene:PLEK2	ibd_crohn_myeloid	Crohn disease	colon myeloid	6	6	0.9936508111679329	0.08443372443513619	True
gene:PLEK2	ibd_crohn_stromal	Crohn disease	colon stromal	6	6	0.6411169942803538	0.30376635947404096	False
gene:PLEK2	ibd_uc_epithelial	ulcerative colitis	colon epithelial	6	6	1.083754992500843	0.07360112280388713	True
gene:PLEK2	ibd_uc_myeloid	ulcerative colitis	colon myeloid	6	6	0.7195813556410116	0.23008636606297125	False
gene:PLEK2	ibd_uc_stromal	ulcerative colitis	colon stromal	6	6	0.4966261301614343	0.41961926649295417	False
gene:PLEK2	psoriasis_keratinocyte	psoriasis	skin keratinocyte	3	3	-0.8281729995051352	0.3894980800875112	False
gene:PLEK2	psoriasis_skin_apc	psoriasis	skin APC	3	3	-0.9330966138891343	0.30013429524501845	False
gene:PLEK2	psoriasis_skin_stromal	psoriasis	skin stromal	3	3	-0.4511149589303626	0.6415990870323016	False
gene:PLEK2	sjogren_gland_apc	Sjogren syndrome	salivary gland APC	9	13	0.4575995413873494	0.36889827079250054	False
gene:PLEK2	sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	11	14	-0.2758727588972155	0.5042385615404209	False
gene:PLEK2	sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	10	14	0.23760859227354614	0.5762282043535056	False
gene:PLEK2	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	5	18	0.8421229624442814	0.1889818295674676	False
gene:PLEK2	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	3	19	1.049152350895761	0.4054538833691392	False
gene:PLEK2	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	5	19	0.34211825353604114	0.28390133418669605	False
gene:PLEK2	t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	5	17	0.12775654255249005	0.7235320784036224	False
gene:PLEK2	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	4	17	1.304103782504101	0.1632700993381299	False
gene:ASPM	ibd_crohn_epithelial	Crohn disease	colon epithelial	6	6	1.4707782780624794	0.00969020271949954	True
gene:ASPM	ibd_crohn_myeloid	Crohn disease	colon myeloid	6	6	1.2774145222422608	0.03659722412860805	True
gene:ASPM	ibd_crohn_stromal	Crohn disease	colon stromal	6	6	0.41727354816460105	0.49733524172754634	False
gene:ASPM	ibd_uc_epithelial	ulcerative colitis	colon epithelial	6	6	0.8270998733331625	0.18804571025866626	False
gene:ASPM	ibd_uc_myeloid	ulcerative colitis	colon myeloid	6	6	0.7032258623172001	0.26709122181811196	False
gene:ASPM	ibd_uc_stromal	ulcerative colitis	colon stromal	6	6	0.11032139266122601	0.8588488292728121	False
gene:ASPM	psoriasis_keratinocyte	psoriasis	skin keratinocyte	3	3	1.4853275414283988	0.10351389979781196	False
gene:ASPM	psoriasis_skin_apc	psoriasis	skin APC	3	3	1.4971622894801722	0.07298464647455126	True
gene:ASPM	psoriasis_skin_stromal	psoriasis	skin stromal	3	3	1.5829877830425017	0.07027896659323299	True
gene:ASPM	sjogren_gland_apc	Sjogren syndrome	salivary gland APC	9	13	0.4225652434399	0.3409159016025154	False
gene:ASPM	sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	11	14	-0.38985445004817243	0.3161801292239066	False
gene:ASPM	sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	10	14	0.7883158104855508	0.09589942419645364	True
gene:ASPM	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	5	18	0.14348248284006804	0.7015345814688257	False
gene:ASPM	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	3	19	1.5137518816181337	0.10535922176845348	False
gene:ASPM	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	5	19	-0.3933745009728339	0.1565304437994187	False
gene:ASPM	t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	5	17	-0.36160401199347597	0.2062809436337941	False
gene:ASPM	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	4	17	-0.40496993265291437	0.2085333078023049	False
gene:PPIF	ibd_crohn_epithelial	Crohn disease	colon epithelial	6	6	1.034243252266507	0.0764324167183422	True
gene:PPIF	ibd_crohn_myeloid	Crohn disease	colon myeloid	6	6	1.3691552433987588	0.020740618928578796	True
gene:PPIF	ibd_crohn_stromal	Crohn disease	colon stromal	6	6	-0.22941517642463877	0.7119238292461554	False
gene:PPIF	ibd_uc_epithelial	ulcerative colitis	colon epithelial	6	6	0.19700887236288603	0.754840388085189	False
gene:PPIF	ibd_uc_myeloid	ulcerative colitis	colon myeloid	6	6	1.521031850274154	0.007544294584669197	True
gene:PPIF	ibd_uc_stromal	ulcerative colitis	colon stromal	6	6	-0.13230938407430914	0.8314974009431365	False
gene:PPIF	psoriasis_keratinocyte	psoriasis	skin keratinocyte	3	3	1.7170266797883675	0.006406279995962175	True
gene:PPIF	psoriasis_skin_apc	psoriasis	skin APC	3	3	-0.8027518567846292	0.3842585207852551	False
gene:PPIF	psoriasis_skin_stromal	psoriasis	skin stromal	3	3	0.8496358682444152	0.40304046368769825	False
gene:PPIF	sjogren_gland_apc	Sjogren syndrome	salivary gland APC	9	13	0.44812940710819904	0.32806217419038	False
gene:PPIF	sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	11	14	-0.4671443061243113	0.2349693362296783	False
gene:PPIF	sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	10	14	-0.025669303726920077	0.9557531690603326	False
gene:PPIF	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	5	18	-0.15641416290458565	0.716068512448029	False
gene:PPIF	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	3	19	-0.697198888464985	0.4187529073780763	False
gene:PPIF	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	5	19	-0.10355642958178736	0.8113229759444031	False
gene:PPIF	t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	5	17	0.025735663053382214	0.9471161547789617	False
gene:PPIF	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	4	17	0.16461931424264573	0.8088327123689889	False
gene:ITGB4	ibd_crohn_epithelial	Crohn disease	colon epithelial	6	6	1.1295191612653792	0.0436974608099144	True
gene:ITGB4	ibd_crohn_myeloid	Crohn disease	colon myeloid	6	6	1.0840641644429907	0.0819528872632465	True
gene:ITGB4	ibd_crohn_stromal	Crohn disease	colon stromal	6	6	0.6101810587423626	0.31606826332675964	False
gene:ITGB4	ibd_uc_epithelial	ulcerative colitis	colon epithelial	6	6	1.2182225179288042	0.03386212597951484	True
gene:ITGB4	ibd_uc_stromal	ulcerative colitis	colon stromal	6	6	0.37217564392204877	0.5537763346601442	False
gene:ITGB4	psoriasis_keratinocyte	psoriasis	skin keratinocyte	3	3	1.6974503842299509	0.009053682934448685	True
gene:ITGB4	psoriasis_skin_apc	psoriasis	skin APC	3	3	0.8868953705215212	0.3693710299524558	False
gene:ITGB4	psoriasis_skin_stromal	psoriasis	skin stromal	3	3	0.559213751074867	0.5642811791950242	False
gene:ITGB4	sjogren_gland_apc	Sjogren syndrome	salivary gland APC	9	13	0.11855221955966976	0.7982910623483893	False
gene:ITGB4	sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	11	14	-0.4410809820984991	0.25829275593033524	False
gene:ITGB4	sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	10	14	-0.46377109864646926	0.25237501560618414	False
gene:ITGB4	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	5	18	0.7043854860777716	0.3256479753877473	False
gene:ITGB4	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	3	19	1.6327866844304242	0.3740769780534467	False
gene:ITGB4	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	5	19	-0.14063404578835573	0.7430824080256847	False
gene:ITGB4	t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	5	17	-0.0984091553229539	0.8487241836294807	False
gene:ITGB4	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	4	17	0.6739006550736499	0.021579548687399645	True
gene:PDIA4	ibd_crohn_epithelial	Crohn disease	colon epithelial	6	6	1.4539157548987665	0.010640571152687208	True
gene:PDIA4	ibd_crohn_myeloid	Crohn disease	colon myeloid	6	6	-0.5964610430111736	0.32670232465546567	False
gene:PDIA4	ibd_crohn_stromal	Crohn disease	colon stromal	6	6	0.5689833698429576	0.34939195647803417	False
gene:PDIA4	ibd_uc_epithelial	ulcerative colitis	colon epithelial	6	6	1.5980440494220318	0.0025913360086236535	True
gene:PDIA4	ibd_uc_myeloid	ulcerative colitis	colon myeloid	6	6	-0.21652429305150123	0.730297269745938	False
gene:PDIA4	ibd_uc_stromal	ulcerative colitis	colon stromal	6	6	0.15687318930852828	0.8002528679000183	False
gene:PDIA4	psoriasis_keratinocyte	psoriasis	skin keratinocyte	3	3	1.6538619437439144	0.03158403881666896	True
gene:PDIA4	psoriasis_skin_apc	psoriasis	skin APC	3	3	1.1368707936078977	0.23584936004354495	False
gene:PDIA4	psoriasis_skin_stromal	psoriasis	skin stromal	3	3	1.2621902629713806	0.1887438808004935	False
gene:PDIA4	sjogren_gland_apc	Sjogren syndrome	salivary gland APC	9	13	-0.6571440134636015	0.09652475956079011	False
gene:PDIA4	sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	11	14	-0.5564781976940962	0.15818680615805178	False
gene:PDIA4	sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	10	14	-0.1594177136954528	0.6856138148003839	False
gene:PDIA4	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	5	18	0.2654236915293823	0.6266917219936071	False
gene:PDIA4	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	3	19	0.006329297102229438	0.9921795206181818	False
gene:PDIA4	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	5	19	0.8860400421031773	0.08740381161504757	True
gene:PDIA4	t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	5	17	0.624102469995275	0.2890362765757926	False
gene:PDIA4	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	4	17	1.1147582090124788	0.1488201775026954	False
gene:PTGS2	ibd_crohn_epithelial	Crohn disease	colon epithelial	6	6	-0.014162110510553244	0.9818004761477515	False
gene:PTGS2	ibd_crohn_myeloid	Crohn disease	colon myeloid	6	6	1.1298008057376356	0.048258621040624367	True
gene:PTGS2	ibd_crohn_stromal	Crohn disease	colon stromal	6	6	-0.5507870019059559	0.3661533451625114	False
gene:PTGS2	ibd_uc_epithelial	ulcerative colitis	colon epithelial	6	6	0.5997009121954081	0.34330800336427925	False
gene:PTGS2	ibd_uc_myeloid	ulcerative colitis	colon myeloid	6	6	1.0147360533295677	0.09574555365989754	True
gene:PTGS2	ibd_uc_stromal	ulcerative colitis	colon stromal	6	6	-0.6692193433416675	0.2736429198522118	False
gene:PTGS2	psoriasis_keratinocyte	psoriasis	skin keratinocyte	3	3	-0.7033392706589083	0.487922929482388	False
gene:PTGS2	psoriasis_skin_apc	psoriasis	skin APC	3	3	0.19923360551083535	0.8423025117919579	False
gene:PTGS2	psoriasis_skin_stromal	psoriasis	skin stromal	3	3	-0.04747807477582644	0.9621602891582426	False
gene:PTGS2	sjogren_gland_apc	Sjogren syndrome	salivary gland APC	9	13	0.025006698539424995	0.955313385384969	False
gene:PTGS2	sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	11	14	0.3386343176997595	0.4370356226736343	False
gene:PTGS2	sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	10	14	0.4550580150248283	0.28105507833904037	False
gene:PTGS2	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	5	18	0.4941455049207452	0.39137060873879675	False
gene:PTGS2	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	3	19	-0.56194042552912	0.31197576902703417	False
gene:PTGS2	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	5	19	0.4050369160410877	0.2832087568313573	False
gene:PTGS2	t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	5	17	0.2471780378276733	0.5658149814835906	False
gene:PTGS2	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	4	17	0.35607294973072456	0.5490428606493203	False
gene:SBNO2	ibd_crohn_epithelial	Crohn disease	colon epithelial	6	6	1.6257047827419653	0.001610884127590746	True
gene:SBNO2	ibd_crohn_myeloid	Crohn disease	colon myeloid	6	6	1.284125558275035	0.023677970169987423	True
gene:SBNO2	ibd_crohn_stromal	Crohn disease	colon stromal	6	6	0.5652489503000035	0.35206884915672276	False
gene:SBNO2	ibd_uc_epithelial	ulcerative colitis	colon epithelial	6	6	1.4958794570192038	0.008288008736131329	True
gene:SBNO2	ibd_uc_myeloid	ulcerative colitis	colon myeloid	6	6	1.2092746763862012	0.03999766134092628	True
gene:SBNO2	ibd_uc_stromal	ulcerative colitis	colon stromal	6	6	-0.3985527825931563	0.5182121148869825	False
gene:SBNO2	psoriasis_keratinocyte	psoriasis	skin keratinocyte	3	3	1.6384235786002308	0.016456773641748853	True
gene:SBNO2	psoriasis_skin_apc	psoriasis	skin APC	3	3	1.450290709789133	0.06198170979108179	True
gene:SBNO2	psoriasis_skin_stromal	psoriasis	skin stromal	3	3	1.3223549286237968	0.10518383034863202	False
gene:SBNO2	sjogren_gland_apc	Sjogren syndrome	salivary gland APC	9	13	-0.3736752324104115	0.3606750012149796	False
gene:SBNO2	sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	11	14	-0.6779754926887516	0.07552897568852926	False
gene:SBNO2	sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	10	14	-0.4659199780111893	0.2422963390882434	False
gene:SBNO2	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	5	18	-0.3671068412235525	0.4637669843928917	False
gene:SBNO2	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	3	19	0.7069147052674559	0.5399999570625108	False
gene:SBNO2	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	5	19	0.20560099352364086	0.6548422091400588	False
gene:SBNO2	t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	5	17	-0.22998725977154824	0.4533085804183917	False
gene:SBNO2	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	4	17	0.6830403417098606	0.09319900686385711	True
gene:ZWILCH	ibd_crohn_epithelial	Crohn disease	colon epithelial	6	6	1.602324903820155	0.0014095039225921332	True
gene:ZWILCH	ibd_crohn_myeloid	Crohn disease	colon myeloid	6	6	-0.04204324094158379	0.9463032025506173	False
gene:ZWILCH	ibd_crohn_stromal	Crohn disease	colon stromal	6	6	0.17382619535532096	0.7816049978205576	False
gene:ZWILCH	ibd_uc_epithelial	ulcerative colitis	colon epithelial	6	6	0.2114079041008669	0.7382389017696571	False
gene:ZWILCH	ibd_uc_myeloid	ulcerative colitis	colon myeloid	6	6	0.08442597797889317	0.8922859187624619	False
gene:ZWILCH	ibd_uc_stromal	ulcerative colitis	colon stromal	6	6	1.1757279955378015	0.04603785560084845	True
gene:ZWILCH	psoriasis_keratinocyte	psoriasis	skin keratinocyte	3	3	1.4095235005198183	0.13284426044594594	False
gene:ZWILCH	psoriasis_skin_apc	psoriasis	skin APC	3	3	0.7572727755403857	0.4565699022046294	False
gene:ZWILCH	psoriasis_skin_stromal	psoriasis	skin stromal	3	3	1.6133583914347964	0.06086209988814162	True
gene:ZWILCH	sjogren_gland_apc	Sjogren syndrome	salivary gland APC	9	13	-0.4930083400450431	0.21631016374708795	False
