samplegroup	module	contrast	n_test	n_reference	mean_test	mean_reference	delta_test_minus_reference	hedges_g	welch_p
SNRA	lysosomal_apc	postpartum_6mo_vs_trimester_3	8	7	-0.5403365602613492	-0.0863955327571909	-0.4539410275041583	-0.4894514923795151	0.34954284727527846
SNRA	lysosomal_apc	postpartum_12mo_vs_trimester_3	3	7	-0.4581796256229275	-0.0863955327571909	-0.3717840928657366	-0.3655022352680283	0.44468865920504363
SNRA	lysosomal_apc	trimester_3_vs_trimester_1	7	7	-0.0863955327571909	-0.02013232376374516	-0.06626320899344575	-0.06998306109243825	0.8913821636596231
SNRA	monocyte_cd64	postpartum_6wk_vs_trimester_3	10	7	-0.2593000985324935	0.12838505708103415	-0.3876851556135276	-0.4543177914619055	0.376720950310587
SNRA	monocyte_cd64	postpartum_6mo_vs_trimester_3	8	7	-0.6184474485660225	0.12838505708103415	-0.7468325056470566	-0.8964438173701829	0.10334499850379011
SNRA	monocyte_cd64	postpartum_12mo_vs_trimester_3	3	7	-0.6201708618007017	0.12838505708103415	-0.7485559188817359	-0.7885712679330996	0.1587693582134872
SNRA	monocyte_cd64	trimester_3_vs_trimester_1	7	7	0.12838505708103415	-0.33184545034192825	0.4602305074229624	0.5451407427910299	0.3009299532310588
SNRA	regulatory_pregnancy	postpartum_6wk_vs_trimester_3	10	7	0.06968845474246937	-0.48435254461647315	0.5540409993589426	0.8832891853272259	0.09697211879959579
SNRA	regulatory_pregnancy	postpartum_6mo_vs_trimester_3	8	7	-0.14130386766197128	-0.48435254461647315	0.34304867695450186	0.5108352315271462	0.3186479180364166
SNRA	regulatory_pregnancy	postpartum_12mo_vs_trimester_3	3	7	-0.12543574429713764	-0.48435254461647315	0.3589168003193355	0.5420215203969765	0.2670112217263538
SNRA	regulatory_pregnancy	trimester_3_vs_trimester_1	7	7	-0.48435254461647315	-0.10532870981653066	-0.3790238347999425	-0.6927650020686933	0.2040330327494867
SPRA	decoupling_hla_minus_cd64	postpartum_6wk_vs_trimester_3	17	14	0.26029910653470195	-0.5152655307461989	0.7755646372809009	1.701433851016524	6.780984659326123e-05
