analysis	disease_name	compartment	role	gene	metric	n_case_donors	n_control_donors	mean_case	mean_control	delta_case_minus_control	hedges_g	welch_t	p	fdr
psoriasis_keratinocyte	psoriasis	skin keratinocyte	tissue_resident	TASL_CXorf21	detection_fraction	3.0	3.0	0.0003260024999155434	0.0012426501788203915	-0.0009166476789048482	-0.756438502650433	-1.1580552208053136	0.357189314327736	0.7387473918287242
psoriasis_keratinocyte	psoriasis	skin keratinocyte	tissue_resident	TLR7	mean_z_vs_controls	3.0	3.0	0.030581011694900417	0.004120485647136009	0.02646052604776441	0.6879650003777211	1.053227007386908	0.3560583340811222	0.7387473918287242
psoriasis_keratinocyte	psoriasis	skin keratinocyte	tissue_resident	TLR7	detection_fraction	3.0	3.0	0.0019108197752036454	0.0015277198869193414	0.000383099888284304	0.4695427673249511	0.71883762022531	0.5134762613356385	0.8678472022574172
psoriasis_keratinocyte	psoriasis	skin keratinocyte	tissue_resident	TLR8	mean_z_vs_controls	3.0	3.0	0.0006204823625623603	0.0	0.0006204823625623603	0.870066266164336	1.3320114965694996	0.31436595353618296	0.7387473918287242
psoriasis_keratinocyte	psoriasis	skin keratinocyte	tissue_resident	TLR8	detection_fraction	3.0	3.0	0.0008895337347691483	0.0	0.0008895337347691483	2.746198075746042	4.20424001136927	0.05218597107621505	0.5986735394077064
psoriasis_keratinocyte	psoriasis	skin keratinocyte	tissue_resident	TLR9	mean_z_vs_controls	3.0	3.0	0.0	0.0	0.0				1.0
psoriasis_keratinocyte	psoriasis	skin keratinocyte	tissue_resident	TLR9	detection_fraction	3.0	3.0	0.0	0.0	0.0				1.0
psoriasis_keratinocyte	psoriasis	skin keratinocyte	tissue_resident	UNC93B1	mean_z_vs_controls	3.0	3.0	0.1444911137352803	0.019886996484034362	0.12460411725124595	0.7369331542476782	1.1281938765290882	0.35373854224114326	0.7387473918287242
psoriasis_keratinocyte	psoriasis	skin keratinocyte	tissue_resident	UNC93B1	detection_fraction	3.0	3.0	0.16818001527395535	0.11226102830234952	0.05591898697160583	1.0133486777275296	1.5513669949727997	0.24432891678014146	0.7387473918287242
psoriasis_skin_apc	psoriasis	skin APC	myeloid_apc	IRF5	mean_z_vs_controls	3.0	3.0	0.09622253069689717	0.007872542417548848	0.08834998827934831	0.6775675317045865	1.0373091993458128	0.36108694319874285	0.7387473918287242
psoriasis_skin_apc	psoriasis	skin APC	myeloid_apc	IRF5	detection_fraction	3.0	3.0	0.17450048732943468	0.14171483622350675	0.03278565110592793	0.5335722057056221	0.8168622780688232	0.49149040043418435	0.8438982189293189
psoriasis_skin_apc	psoriasis	skin APC	myeloid_apc	SLC15A4	mean_z_vs_controls	3.0	3.0	-0.012113055485931912	-0.008159058058464437	-0.003953997427467475	-0.054138608028314855	-0.08288247815869765	0.9379787914012784	1.0
psoriasis_skin_apc	psoriasis	skin APC	myeloid_apc	SLC15A4	detection_fraction	3.0	3.0	0.1978801169590643	0.1661695568400771	0.03171056011898721	0.48404958840906265	0.7410465636290112	0.5240609727802908	0.8795428913795091
psoriasis_skin_apc	psoriasis	skin APC	myeloid_apc	TASL_CXorf21	mean_z_vs_controls	3.0	3.0	0.22092177220620088	-0.0193544032941738	0.24027617550037467	1.97393050132517	3.021951572476788	0.049548795775160526	0.5986735394077064
