seed	analysis_window	n_requested	event_probability_before_censoring	effect_pattern	early_hazard_ratio_per_latent_sd	late_hazard_ratio_per_latent_sd	censoring_mechanism	dropout_target	n_simulated_cohorts	n_valid_fits	valid_fit_rate	significant_count	significant_probability	significant_probability_ci_low	significant_probability_ci_high	positive_call_probability	negative_call_probability	median_score_z	median_one_step_log_hr	median_usable_n	median_observed_events	median_assigned_dropout	median_observed_pre_event_dropout
54901	late_landmark_diagnostic	120	0.3	null	1.0	1.0	independent	0.25	500	382	0.764	15	0.03	0.018263213197913384	0.04890366683594573	0.018	0.012	0.011637060049424471	0.00343991869287058	79.0	12.0	0.14864864864864866	0.136986301369863
54901	whole_followup	120	0.3	null	1.0	1.0	score_dependent	0.25	500	500	1.0	27	0.054	0.03737435018105752	0.07742656151064709	0.026	0.028	0.06269706419879474	0.012893749928210189	108.0	29.0	0.25	0.2018348623853211
54901	early_window_diagnostic	120	0.3	null	1.0	1.0	score_dependent	0.25	500	494	0.988	26	0.052	0.035730265115705276	0.07510114393784553	0.028	0.024	0.07510726799563838	0.021602155034300154	108.0	17.0	0.25	0.2018348623853211
54901	late_landmark_diagnostic	120	0.3	null	1.0	1.0	score_dependent	0.25	500	385	0.77	24	0.048	0.03246520694135317	0.07042719683589006	0.026	0.022	0.019046468857382218	0.006427519509714782	80.0	12.0	0.14285714285714285	0.12964094728800613
54901	whole_followup	120	0.3	null	1.0	1.0	event_risk_dependent	0.25	500	450	0.9	26	0.052	0.035730265115705276	0.07510114393784553	0.026	0.026	0.04296517452978833	0.012663919947927704	108.0	14.0	0.25	0.25
54901	early_window_diagnostic	120	0.3	null	1.0	1.0	event_risk_dependent	0.25	500	34	0.068	2	0.004	0.0010976305226827934	0.014465715215177033	0.0	0.004	0.1967164541825888	0.06409929783110375	108.0	5.0	0.25	0.25
54901	late_landmark_diagnostic	120	0.3	null	1.0	1.0	event_risk_dependent	0.25	500	203	0.406	12	0.024	0.013781314655496986	0.041477057463900756	0.012	0.012	-0.011051840680109351	-0.003038802823169016	82.0	9.0	0.06704119850187265	0.06704119850187265
54901	whole_followup	120	0.3	null	1.0	1.0	joint_score_event_risk	0.25	500	498	0.996	171	0.342	0.3017655066658599	0.38464378491999074	0.0	0.342	-1.6328718324599976	-0.43136518865062434	108.0	18.0	0.24761904761904763	0.24761904761904763
54901	early_window_diagnostic	120	0.3	null	1.0	1.0	joint_score_event_risk	0.25	500	209	0.418	70	0.14	0.11232266018786358	0.17316686494445405	0.0	0.14	-1.6270229718481999	-0.5341179397146176	108.0	9.0	0.24761904761904763	0.24761904761904763
54901	late_landmark_diagnostic	120	0.3	null	1.0	1.0	joint_score_event_risk	0.25	500	239	0.478	39	0.078	0.05758139347616159	0.10485354987338852	0.0	0.078	-0.917526908803013	-0.29310999403703225	80.0	9.0	0.0931782945736434	0.0931782945736434
54901	whole_followup	120	0.3	proportional	1.7	1.7	administrative_only	0.0	500	500	1.0	274	0.548	0.50417540112498	0.591092662190711	0.546	0.002	2.1050339734223478	0.41756714197873784	108.0	32.0	0.0	0.0
54901	early_window_diagnostic	120	0.3	proportional	1.7	1.7	administrative_only	0.0	500	497	0.994	181	0.362	0.32107604417818575	0.40502827378920275	0.362	0.0	1.5823404834928436	0.41157372029887607	108.0	18.0	0.0	0.0
54901	late_landmark_diagnostic	120	0.3	proportional	1.7	1.7	administrative_only	0.0	500	461	0.922	123	0.246	0.2102809916856707	0.2855921732687978	0.246	0.0	1.315988252673193	0.3683485676903325	90.0	14.0	0.0	0.0
54901	whole_followup	120	0.3	proportional	1.7	1.7	independent	0.25	500	500	1.0	251	0.502	0.45832636322986225	0.5456431394082917	0.502	0.0	1.9620834642785918	0.41355607140063344	108.0	29.0	0.25	0.2083190394511149
54901	early_window_diagnostic	120	0.3	proportional	1.7	1.7	independent	0.25	500	492	0.984	152	0.304	0.26530206305726467	0.34568667840366385	0.304	0.0	1.4430633477837325	0.38490141353983687	108.0	17.0	0.25	0.2083190394511149
54901	late_landmark_diagnostic	120	0.3	proportional	1.7	1.7	independent	0.25	500	368	0.736	101	0.202	0.16914122067557874	0.23940288623950645	0.202	0.0	1.384481391857142	0.43062850389314444	79.0	11.0	0.14473684210526316	0.13172353961827646
54901	whole_followup	120	0.3	proportional	1.7	1.7	score_dependent	0.25	500	500	1.0	237	0.474	0.43059811407349635	0.5177983516305045	0.474	0.0	1.8636185331999877	0.41543421147642867	108.0	28.0	0.24774701631890883	0.18421052631578946
54901	early_window_diagnostic	120	0.3	proportional	1.7	1.7	score_dependent	0.25	500	495	0.99	172	0.344	0.3036929655617379	0.38668582866226636	0.344	0.0	1.5399140275177055	0.41764844605395013	108.0	17.0	0.24774701631890883	0.18421052631578946
54901	late_landmark_diagnostic	120	0.3	proportional	1.7	1.7	score_dependent	0.25	500	295	0.59	73	0.146	0.11774876682646929	0.1796492662203097	0.146	0.0	1.103104087449923	0.3552302305910885	80.0	10.0	0.12941176470588237	0.11258802816901409
54901	whole_followup	120	0.3	proportional	1.7	1.7	event_risk_dependent	0.25	500	445	0.89	139	0.278	0.2405366075286252	0.31884859963630413	0.278	0.0	1.4316610317203482	0.4179655467519647	108.0	14.0	0.2523364485981308	0.2523364485981308
54901	early_window_diagnostic	120	0.3	proportional	1.7	1.7	event_risk_dependent	0.25	500	42	0.084	10	0.02	0.010899183596210813	0.036420183246879345	0.02	0.0	1.0940365337290587	0.3681946850183798	108.0	6.0	0.2523364485981308	0.2523364485981308
54901	late_landmark_diagnostic	120	0.3	proportional	1.7	1.7	event_risk_dependent	0.25	500	185	0.37	53	0.106	0.08195705027297034	0.13605093001073285	0.106	0.0	1.2312299026446363	0.40549587980901963	81.0	8.0	0.07058823529411765	0.07058823529411765
54901	whole_followup	120	0.3	proportional	1.7	1.7	joint_score_event_risk	0.25	500	483	0.966	26	0.052	0.035730265115705276	0.07510114393784553	0.018	0.034	-0.1377933178512475	-0.03893254077004605	108.0	16.0	0.2464896489648965	0.2464896489648965
54901	early_window_diagnostic	120	0.3	proportional	1.7	1.7	joint_score_event_risk	0.25	500	132	0.264	8	0.016	0.008129253033388314	0.03125110853339426	0.004	0.012	-0.5291940589809419	-0.17347258288666723	108.0	7.0	0.2464896489648965	0.2464896489648965
54901	late_landmark_diagnostic	120	0.3	proportional	1.7	1.7	joint_score_event_risk	0.25	500	202	0.404	9	0.018	0.009498193296197078	0.033851670908739286	0.014	0.004	0.16642405863353033	0.053041562202286945	80.0	9.0	0.08054054054054055	0.08054054054054055
54901	whole_followup	120	0.3	early_only	2.2	1.0	administrative_only	0.0	500	500	1.0	237	0.474	0.43059811407349635	0.5177983516305045	0.474	0.0	1.884096943407163	0.36067407446771715	108.0	33.0	0.0	0.0
54901	early_window_diagnostic	120	0.3	early_only	2.2	1.0	administrative_only	0.0	500	500	1.0	321	0.642	0.5990422907102082	0.682792396598711	0.642	0.0	2.299919351795526	0.580684464225379	108.0	20.0	0.0	0.0
54901	late_landmark_diagnostic	120	0.3	early_only	2.2	1.0	administrative_only	0.0	500	386	0.772	20	0.04	0.026040797389777257	0.060973595834850805	0.016	0.024	-0.03853938594580181	-0.011966919366824922	87.0	12.0	0.0	0.0
