gene	source	query	hit_count	url	notes
C1QB	ClinicalTrials.gov	C1q autoimmune	10	https://clinicaltrials.gov/search?term=C1q+autoimmune	"[{""conditions"": ""Lupus Nephritis"", ""interventions"": ""different serum and urine biomarkers"", ""nct_id"": ""NCT04534647"", ""phase"": """", ""status"": ""UNKNOWN"", ""title"": ""Serological and Urinary Biomarkers in Latin American Patients With Systemic Lupus Erythematosus: GLADEL 2.0 Cohort""}, {""conditions"": ""Purpura, Thrombocytopenic, Idiopathic"", ""interventions"": ""BIVV009 6.5 grams;BIVV009 7.5 grams"", ""nct_id"": ""NCT03275454"", ""phase"": ""PHASE1"", ""status"": ""COMPLETED"", ""title"": ""A Study to Assess Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of Multiple- Dose BIVV009 in Participants With Chronic Immune Thrombocytopenia (ITP)""}, {""conditions"": ""Systemic Lupus Erythematosus"", ""interventions"": """", ""nct_id"": ""NCT04951427"", ""phase"": """", ""status"": ""UNKNOWN"", ""title"": ""PRediction Of Flares In Lupus With autoantibodiEs and Chemokines""}, {""conditions"": ""Lupus Nephritis (LN)"", ""interventions"": ""Vonsetamig;Odronextamab"", ""nct_id"": ""NCT06975787"", ""phase"": ""PHASE1"", ""status"": ""RECRUITING"", ""title"": ""Dose Escalation Study With Bispecific Antibodies in Adult Patients With Lupus Nephritis""}, {""conditions"": ""Lupus Erythematosus, Systemic"", ""interventions"": ""Autoantibodies evaluation in lupus"", ""nct_id"": ""NCT05193591"", ""phase"": """", ""status"": ""RECRUITING"", ""title"": ""Anti-C1s, Anti-HMGB1 and Anti-C1q Autoantibodies in Systemic Lupus Erythematosus (DYSALARM-322)""}, {""conditions"": ""Chronic Immune Thrombocytopenia;Primary Immune Thrombocytopenia;Adult Immune Thrombocytopenia"", ""interventions"": ""No intervention"", ""nct_id"": ""NCT06665308"", ""phase"": """", ""status"": ""COMPLETED"", ""title"": ""Cognitive Status, Fatigue and Inflammation in Patients With Immune Thrombocytopenia (ITP)""}, {""conditions"": ""Lupus Erythematosus, Systemic"", ""interventions"": ""Biological analysis"", ""nct_id"": ""NCT02625831"", ""phase"": """", ""status"": ""COMPLETED"", ""title"": ""Anti-ficolin-3 Autoantibodies in Lupus Nephritis""}, {""conditions"": ""Guillain-Barre Syndrome"", ""interventions"": ""Tanruprubart"", ""nct_id"": ""NCT07020819"", ""phase"": ""PHASE3"", ""status"": ""RECRUITING"", ""title"": ""An Open Label Clinical Study to Evaluate Tanruprubart (Also Commonly Known as ANX005) in Participants With Guillain-Barr\u00e9 Syndrome (FORWARD Study)""}, {""conditions"": ""Lupus Nephritis"", ""interventions"": ""ANX009"", ""nct_id"": ""NCT05780515"", ""phase"": ""PHASE1"", ""status"": ""COMPLETED"", ""title"": ""A Study of ANX009 in Adult Participants With Lupus Nephritis""}, {""conditions"": ""Lupus Erythematosus, Systemic"", ""interventions"": ""BIological analysis"", ""nct_id"": ""NCT03063281"", ""phase"": """", ""status"": ""COMPLETED"", ""title"": ""Anti-ficolin-2 Autoantibodies in Lupus Nephritis""}]"
C1QB	ChEMBL	C1QB		https://www.ebi.ac.uk/chembl/g/#search_results/all/query=C1QB	"{""best_target"": {}, ""n_search_hits"": 0}"
C1QB	Google Patents	anti-C1q autoimmune lupus nephritis	NA_browser	https://patents.google.com/?q=anti-C1q+autoimmune+lupus+nephritis	query URL recorded; no unauthenticated count API used
C1QB	OpenTargets	C1QB	1	https://platform.opentargets.org/search?q=C1QB	local opentargets_candidate_disease_hits.tsv row count used for selected autoimmune panel
MSR1	EuropePMC	"(""MSR1"" OR ""scavenger receptor A"" OR CD204) autoimmune"	6103	https://europepmc.org/search?query=%28%22MSR1%22+OR+%22scavenger+receptor+A%22+OR+CD204%29+autoimmune	"[{""doi"": ""10.1177/0271678x261431219"", ""id"": ""41834464"", ""journal"": ""J Cereb Blood Flow Metab"", ""source"": ""MED"", ""title"": ""Efferocytosis: Gateway for tissue resolution."", ""year"": ""2026""}, {""doi"": ""10.1159/000550803"", ""id"": ""41883862"", ""journal"": ""Kidney Dis (Basel)"", ""source"": ""MED"", ""title"": ""ANGPTL3 in Podocytes Contributes to the Pathogenesis of Lupus Nephritis by Activating MSR1 in Macrophages."", ""year"": ""2026""}, {""doi"": ""10.1186/s13073-025-01519-4"", ""id"": ""40826098"", ""journal"": ""Genome Med"", ""source"": ""MED"", ""title"": ""Single-nucleus transcriptomics reveals a distinct microglial state and increased MSR1-mediated phagocytosis as common features across dementia subtypes."", ""year"": ""2025""}]"
MSR1	ClinicalTrials.gov	MSR1 autoimmune	0	https://clinicaltrials.gov/search?term=MSR1+autoimmune	[]
MSR1	ChEMBL	MSR1	2	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL5811	"{""best_target"": {""accessions"": ""P21757"", ""gene_symbols"": ""MSR1"", ""organism"": ""Homo sapiens"", ""pref_name"": ""Macrophage scavenger receptor types I and II"", ""target_chembl_id"": ""CHEMBL5811"", ""target_type"": ""SINGLE PROTEIN""}, ""n_search_hits"": 2}"
MSR1	Google Patents	MSR1 CD204 autoimmune antibody	NA_browser	https://patents.google.com/?q=MSR1+CD204+autoimmune+antibody	query URL recorded; no unauthenticated count API used
MSR1	OpenTargets	MSR1	0	https://platform.opentargets.org/search?q=MSR1	local opentargets_candidate_disease_hits.tsv row count used for selected autoimmune panel
MERTK	EuropePMC	"(""MERTK"" OR MerTK) autoimmune"	2713	https://europepmc.org/search?query=%28%22MERTK%22+OR+MerTK%29+autoimmune	"[{""doi"": ""10.1038/s41598-026-52639-9"", ""id"": ""42168453"", ""journal"": ""Sci Rep"", ""source"": ""MED"", ""title"": ""m\u2076A-associated GAS6 expression is associated with pathogenic activation of fibroblast-like synoviocytes in rheumatoid arthritis."", ""year"": ""2026""}, {""doi"": ""10.2147/jir.s582297"", ""id"": ""41978837"", ""journal"": ""J Inflamm Res"", ""source"": ""MED"", ""title"": ""Impaired Macrophage Efferocytosis: Shared Mechanisms and Therapeutic Implications in Immune-Mediated Inflammatory Diseases."", ""year"": ""2026""}, {""doi"": ""10.7150/thno.128155"", ""id"": ""41993634"", ""journal"": ""Theranostics"", ""source"": ""MED"", ""title"": ""Advancements in nanomedicine for the therapeutic regulation of efferocytosis: opportunities and challenges."", ""year"": ""2026""}]"
MERTK	ClinicalTrials.gov	MERTK autoimmune	2	https://clinicaltrials.gov/search?term=MERTK+autoimmune	"[{""conditions"": ""Acute Pancreatic Necrosis;Acute Pancreatitis (AP)"", ""interventions"": """", ""nct_id"": ""NCT07023055"", ""phase"": """", ""status"": ""COMPLETED"", ""title"": ""Serum TAM Receptor Tyrosine Kinase Ligands in Acute Pancreatitis""}, {""conditions"": ""Rheumatoid Arthritis"", ""interventions"": ""EF-M2"", ""nct_id"": ""NCT07349420"", ""phase"": ""PHASE1;PHASE2"", ""status"": ""COMPLETED"", ""title"": ""EF-M2 (Immutalon) Multiple Ascending Dose Study in Moderate-to-Severe Rheumatoid Arthritis""}]"
MERTK	ChEMBL	MERTK	4425	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL5331	"{""best_target"": {""accessions"": ""Q12866"", ""gene_symbols"": ""MERTK"", ""organism"": ""Homo sapiens"", ""pref_name"": ""Tyrosine-protein kinase Mer"", ""target_chembl_id"": ""CHEMBL5331"", ""target_type"": ""SINGLE PROTEIN""}, ""n_search_hits"": 4}"
MERTK	Google Patents	MERTK autoimmune agonist efferocytosis	NA_browser	https://patents.google.com/?q=MERTK+autoimmune+agonist+efferocytosis	query URL recorded; no unauthenticated count API used
MERTK	OpenTargets	MERTK	0	https://platform.opentargets.org/search?q=MERTK	local opentargets_candidate_disease_hits.tsv row count used for selected autoimmune panel
AXL	EuropePMC	"(""AXL"" OR ""AXL receptor"") autoimmune"	3006	https://europepmc.org/search?query=%28%22AXL%22+OR+%22AXL+receptor%22%29+autoimmune	"[{""doi"": ""10.18388/pb.2021_619"", ""id"": ""41263792"", ""journal"": ""Postepy Biochem"", ""source"": ""MED"", ""title"": ""At the intersection of immunology and oncology: TAM receptors in the regulation of immune responses and tumorigenesis-related processes"", ""year"": ""2025""}, {""doi"": ""10.1016/j.phymed.2025.156544"", ""id"": ""40023067"", ""journal"": ""Phytomedicine"", ""source"": ""MED"", ""title"": ""Novel anti-inflammatory compounds that alleviate experimental autoimmune encephalomyelitis."", ""year"": ""2025""}, {""doi"": ""10.1093/oxfimm/iqag001"", ""id"": ""41623683"", ""journal"": ""Oxf Open Immunol"", ""source"": ""MED"", ""title"": ""Therapeutic potential of TAM receptors in autoimmune diseases: insights from original studies."", ""year"": ""2026""}]"
AXL	ClinicalTrials.gov	AXL autoimmune	3	https://clinicaltrials.gov/search?term=AXL+autoimmune	"[{""conditions"": ""Acute Pancreatic Necrosis;Acute Pancreatitis (AP)"", ""interventions"": """", ""nct_id"": ""NCT07023055"", ""phase"": """", ""status"": ""COMPLETED"", ""title"": ""Serum TAM Receptor Tyrosine Kinase Ligands in Acute Pancreatitis""}, {""conditions"": ""Refractory Cutaneous Melanoma"", ""interventions"": ""Ipilimumab;Nivolumab;Cabozantinib"", ""nct_id"": ""NCT05200143"", ""phase"": ""PHASE2"", ""status"": ""TERMINATED"", ""title"": ""Study of Ipilimumab, Nivolumab, and Cabozantinib in Patients With Cutaneous Melanoma""}, {""conditions"": ""IgA Nephropathy"", ""interventions"": ""AVB-S6-500"", ""nct_id"": ""NCT04042623"", ""phase"": ""PHASE2"", ""status"": ""TERMINATED"", ""title"": ""Study of Safety and Efficacy of AVB-S6-500 in Patients With IgA Nephropathy""}]"
AXL	ChEMBL	AXL	4937	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL4895	"{""best_target"": {""accessions"": ""P30530"", ""gene_symbols"": ""AXL"", ""organism"": ""Homo sapiens"", ""pref_name"": ""Tyrosine-protein kinase receptor UFO"", ""target_chembl_id"": ""CHEMBL4895"", ""target_type"": ""SINGLE PROTEIN""}, ""n_search_hits"": 10}"
AXL	Google Patents	AXL autoimmune efferocytosis	NA_browser	https://patents.google.com/?q=AXL+autoimmune+efferocytosis	query URL recorded; no unauthenticated count API used
AXL	OpenTargets	AXL	0	https://platform.opentargets.org/search?q=AXL	local opentargets_candidate_disease_hits.tsv row count used for selected autoimmune panel
LGALS3	EuropePMC	"(""LGALS3"" OR ""galectin-3"") autoimmune"	4459	https://europepmc.org/search?query=%28%22LGALS3%22+OR+%22galectin-3%22%29+autoimmune	"[{""doi"": ""10.1016/j.prp.2026.156424"", ""id"": ""41791134"", ""journal"": ""Pathol Res Pract"", ""source"": ""MED"", ""title"": ""LGALS3BP promotes M1 polarization of macrophages and interacts with LGALS3, damaging endothelial function and exacerbating pulmonary arterial hypertension in systemic lupus erythematosus."", ""year"": ""2026""}, {""doi"": ""10.1126/sciadv.adz7916"", ""id"": ""41477833"", ""journal"": ""Sci Adv"", ""source"": ""MED"", ""title"": ""Galectin-3 exacerbates autoimmune diabetes by limiting regulatory T cell differentiation and function."", ""year"": ""2026""}, {""doi"": ""10.2147/jir.s572637"", ""id"": ""41859377"", ""journal"": ""J Inflamm Res"", ""source"": ""MED"", ""title"": ""The Role of Galectin-3 in Liver Inflammation and Fibrosis."", ""year"": ""2026""}]"
LGALS3	ClinicalTrials.gov	galectin-3 inhibitor autoimmune	0	https://clinicaltrials.gov/search?term=galectin-3+inhibitor+autoimmune	[]
LGALS3	ChEMBL	LGALS3	1282	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL4531	"{""best_target"": {""accessions"": ""P17931"", ""gene_symbols"": ""LGALS3"", ""organism"": ""Homo sapiens"", ""pref_name"": ""Galectin-3"", ""target_chembl_id"": ""CHEMBL4531"", ""target_type"": ""SINGLE PROTEIN""}, ""n_search_hits"": 2}"
LGALS3	Google Patents	galectin-3 inhibitor autoimmune disease	NA_browser	https://patents.google.com/?q=galectin-3+inhibitor+autoimmune+disease	query URL recorded; no unauthenticated count API used
LGALS3	OpenTargets	LGALS3	0	https://platform.opentargets.org/search?q=LGALS3	local opentargets_candidate_disease_hits.tsv row count used for selected autoimmune panel
LGALS9	EuropePMC	"(""LGALS9"" OR ""galectin-9"") autoimmune"	2649	https://europepmc.org/search?query=%28%22LGALS9%22+OR+%22galectin-9%22%29+autoimmune	"[{""doi"": ""10.1007/s00109-026-02649-x"", ""id"": ""41663853"", ""journal"": ""J Mol Med (Berl)"", ""source"": ""MED"", ""title"": ""Galectin-9 potentiates salivary gland damage by inducing ferroptosis in Sjogren's disease."", ""year"": ""2026""}, {""doi"": ""10.1111/jgh.70234"", ""id"": ""41539656"", ""journal"": ""J Gastroenterol Hepatol"", ""source"": ""MED"", ""title"": ""ATF3 Mediates the Immunoregulatory Role of the Tim-3 Pathway in Primary Biliary Cholangitis."", ""year"": ""2026""}, {""doi"": ""10.1182/bloodadvances.2025017107"", ""id"": ""40924921"", ""journal"": ""Blood Adv"", ""source"": ""MED"", ""title"": ""Tumor microenvironment differences between diagnostic and relapsed classic Hodgkin lymphoma revealed by scRNA-seq."", ""year"": ""2026""}]"
LGALS9	ClinicalTrials.gov	galectin-9 autoimmune	3	https://clinicaltrials.gov/search?term=galectin-9+autoimmune	"[{""conditions"": ""Rheumatoid Arthritis"", ""interventions"": """", ""nct_id"": ""NCT05422313"", ""phase"": """", ""status"": ""UNKNOWN"", ""title"": ""Assessment of Galectin-9 in Rheumatoid Arthritis and Its Correlation With Disease Activity""}, {""conditions"": ""Systemic Lupus Erythematosus"", ""interventions"": ""Serum galectin-9 level"", ""nct_id"": ""NCT04558814"", ""phase"": ""NA"", ""status"": ""UNKNOWN"", ""title"": ""Evaluation of Serum Galectin-9 Level in Systemic Lupus Erythematosus Patients and it's Association With Disease Activity and Organ Damage""}, {""conditions"": ""Multiple Sclerosis (MS);Clinically Isolated Syndrome (CIS)"", ""interventions"": """", ""nct_id"": ""NCT05010902"", ""phase"": """", ""status"": ""RECRUITING"", ""title"": ""Pregnancy Cohort in Multiple Sclerosis (MS)""}]"
LGALS9	ChEMBL	LGALS9	191	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL5474	"{""best_target"": {""accessions"": ""O00182"", ""gene_symbols"": ""LGALS9"", ""organism"": ""Homo sapiens"", ""pref_name"": ""Galectin-9"", ""target_chembl_id"": ""CHEMBL5474"", ""target_type"": ""SINGLE PROTEIN""}, ""n_search_hits"": 1}"
LGALS9	Google Patents	galectin-9 autoimmune disease	NA_browser	https://patents.google.com/?q=galectin-9+autoimmune+disease	query URL recorded; no unauthenticated count API used
LGALS9	OpenTargets	LGALS9	0	https://platform.opentargets.org/search?q=LGALS9	local opentargets_candidate_disease_hits.tsv row count used for selected autoimmune panel
