artifact_type	geo_accession	sample_id	url	target_path	required_for
sample_chp	GSE228330	GSM7119017	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7119nnn/GSM7119017/suppl/GSM7119017_O7_Clariom_D_Human_.sst-rma-combined-dabg.chp.gz	data/quarantine/gse228330_pharmacodynamic/raw/GSM7119017_O7_Clariom_D_Human_.sst-rma-combined-dabg.chp.gz	raw_reprocessing_or_audit
sample_raw_cel	GSE228330	GSM7119018	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7119nnn/GSM7119018/suppl/GSM7119018_O11_Clariom_D_Human_2.CEL.gz	data/quarantine/gse228330_pharmacodynamic/raw/GSM7119018_O11_Clariom_D_Human_2.CEL.gz	raw_reprocessing_or_audit
sample_chp	GSE228330	GSM7119018	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7119nnn/GSM7119018/suppl/GSM7119018_O11_Clariom_D_Human_2.sst-rma-combined-dabg.chp.gz	data/quarantine/gse228330_pharmacodynamic/raw/GSM7119018_O11_Clariom_D_Human_2.sst-rma-combined-dabg.chp.gz	raw_reprocessing_or_audit
sample_raw_cel	GSE228330	GSM7119019	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7119nnn/GSM7119019/suppl/GSM7119019_O15_Clariom_D_Human_.CEL.gz	data/quarantine/gse228330_pharmacodynamic/raw/GSM7119019_O15_Clariom_D_Human_.CEL.gz	raw_reprocessing_or_audit
sample_chp	GSE228330	GSM7119019	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7119nnn/GSM7119019/suppl/GSM7119019_O15_Clariom_D_Human_.sst-rma-combined-dabg.chp.gz	data/quarantine/gse228330_pharmacodynamic/raw/GSM7119019_O15_Clariom_D_Human_.sst-rma-combined-dabg.chp.gz	raw_reprocessing_or_audit
sample_raw_cel	GSE228330	GSM7119020	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7119nnn/GSM7119020/suppl/GSM7119020_O18_Clariom_D_Human_.CEL.gz	data/quarantine/gse228330_pharmacodynamic/raw/GSM7119020_O18_Clariom_D_Human_.CEL.gz	raw_reprocessing_or_audit
sample_chp	GSE228330	GSM7119020	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7119nnn/GSM7119020/suppl/GSM7119020_O18_Clariom_D_Human_.sst-rma-combined-dabg.chp.gz	data/quarantine/gse228330_pharmacodynamic/raw/GSM7119020_O18_Clariom_D_Human_.sst-rma-combined-dabg.chp.gz	raw_reprocessing_or_audit
sample_raw_cel	GSE228330	GSM7119021	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7119nnn/GSM7119021/suppl/GSM7119021_O21_Clariom_D_Human_.CEL.gz	data/quarantine/gse228330_pharmacodynamic/raw/GSM7119021_O21_Clariom_D_Human_.CEL.gz	raw_reprocessing_or_audit
sample_chp	GSE228330	GSM7119021	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7119nnn/GSM7119021/suppl/GSM7119021_O21_Clariom_D_Human_.sst-rma-combined-dabg.chp.gz	data/quarantine/gse228330_pharmacodynamic/raw/GSM7119021_O21_Clariom_D_Human_.sst-rma-combined-dabg.chp.gz	raw_reprocessing_or_audit
sample_raw_cel	GSE228330	GSM7119022	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7119nnn/GSM7119022/suppl/GSM7119022_O24_Clariom_D_Human_.CEL.gz	data/quarantine/gse228330_pharmacodynamic/raw/GSM7119022_O24_Clariom_D_Human_.CEL.gz	raw_reprocessing_or_audit
sample_chp	GSE228330	GSM7119022	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7119nnn/GSM7119022/suppl/GSM7119022_O24_Clariom_D_Human_.sst-rma-combined-dabg.chp.gz	data/quarantine/gse228330_pharmacodynamic/raw/GSM7119022_O24_Clariom_D_Human_.sst-rma-combined-dabg.chp.gz	raw_reprocessing_or_audit
sample_raw_cel	GSE228330	GSM7119023	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7119nnn/GSM7119023/suppl/GSM7119023_O27_Clariom_D_Human_.CEL.gz	data/quarantine/gse228330_pharmacodynamic/raw/GSM7119023_O27_Clariom_D_Human_.CEL.gz	raw_reprocessing_or_audit
sample_chp	GSE228330	GSM7119023	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7119nnn/GSM7119023/suppl/GSM7119023_O27_Clariom_D_Human_.sst-rma-combined-dabg.chp.gz	data/quarantine/gse228330_pharmacodynamic/raw/GSM7119023_O27_Clariom_D_Human_.sst-rma-combined-dabg.chp.gz	raw_reprocessing_or_audit
sample_raw_cel	GSE228330	GSM7119024	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7119nnn/GSM7119024/suppl/GSM7119024_O30_Clariom_D_Human_.CEL.gz	data/quarantine/gse228330_pharmacodynamic/raw/GSM7119024_O30_Clariom_D_Human_.CEL.gz	raw_reprocessing_or_audit
sample_chp	GSE228330	GSM7119024	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7119nnn/GSM7119024/suppl/GSM7119024_O30_Clariom_D_Human_.sst-rma-combined-dabg.chp.gz	data/quarantine/gse228330_pharmacodynamic/raw/GSM7119024_O30_Clariom_D_Human_.sst-rma-combined-dabg.chp.gz	raw_reprocessing_or_audit
sample_raw_cel	GSE228330	GSM7119025	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7119nnn/GSM7119025/suppl/GSM7119025_O34_Clariom_D_Human_.CEL.gz	data/quarantine/gse228330_pharmacodynamic/raw/GSM7119025_O34_Clariom_D_Human_.CEL.gz	raw_reprocessing_or_audit
sample_chp	GSE228330	GSM7119025	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7119nnn/GSM7119025/suppl/GSM7119025_O34_Clariom_D_Human_.sst-rma-combined-dabg.chp.gz	data/quarantine/gse228330_pharmacodynamic/raw/GSM7119025_O34_Clariom_D_Human_.sst-rma-combined-dabg.chp.gz	raw_reprocessing_or_audit
